,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,8005,8005,8005
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-4.3460000000E-08,-4.3460000000E-08,-4.3460000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-4.3525526800E-08,-4.3525526800E-08,-4.3525526800E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.40000009536743E+00,0.0E+00,2.94499993324280E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-3.28354070588684E+00,2.32918585010111E-02,3.03816743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,28 NOV 2024,28 NOV 2024,28 NOV 2024
Time:               ,14:28:48,14:28:48,14:28:48
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-4.35255E-08, 2.293172E-02, 1.0703E-04, 9.3861E-04
-4.35005E-08, -5.52238E-03, -1.36837E-03, 3.0630E-04
-4.34755E-08, -3.186877E-02, -2.84376E-03, -2.8386E-04
-4.34505E-08, -4.662276E-02, -4.42455E-03, -4.1032E-04
-4.34255E-08, -4.873047E-02, -6.21610E-03, 1.122E-05
-4.34005E-08, -3.661112E-02, -8.53459E-03, 9.8077E-04
-4.33755E-08, -1.606094E-02, -1.043153E-02, 2.41401E-03
-4.33505E-08, 4.48925E-03, -1.232847E-02, 3.80510E-03
-4.33255E-08, 1.871630E-02, -1.348771E-02, 4.85896E-03
-4.33005E-08, 2.029708E-02, -1.359309E-02, 5.11188E-03
-4.32755E-08, 9.23160E-03, -1.232847E-02, 4.60603E-03
-4.32505E-08, -9.73780E-03, -1.043153E-02, 3.59433E-03
-4.32255E-08, -2.923414E-02, -7.90227E-03, 2.45617E-03
-4.32005E-08, -4.029962E-02, -6.00533E-03, 1.36016E-03
-4.31755E-08, -3.924577E-02, -4.63532E-03, 7.7000E-04
-4.31505E-08, -2.501871E-02, -4.10839E-03, 7.7000E-04
-4.31255E-08, -2.36081E-03, -4.31916E-03, 1.02292E-03
-4.31005E-08, 2.082401E-02, -4.95148E-03, 1.36016E-03
-4.30755E-08, 3.610492E-02, -5.58379E-03, 1.73954E-03
-4.30505E-08, 3.873956E-02, -6.21610E-03, 1.86601E-03
-4.30255E-08, 2.767408E-02, -6.21610E-03, 1.95032E-03
-4.30005E-08, 8.70467E-03, -6.63764E-03, 1.86601E-03
-4.29755E-08, -1.289937E-02, -7.16457E-03, 2.03462E-03
-4.29505E-08, -2.923414E-02, -8.32381E-03, 2.28755E-03
-4.29255E-08, -3.819191E-02, -9.90460E-03, 2.70909E-03
-4.29005E-08, -3.661112E-02, -1.169615E-02, 3.17279E-03
-4.28755E-08, -2.818028E-02, -1.327694E-02, 3.34140E-03
-4.28505E-08, -1.922251E-02, -1.412002E-02, 3.51002E-03
-4.28255E-08, -1.395323E-02, -1.348771E-02, 3.34140E-03
-4.28005E-08, -1.289937E-02, -1.201231E-02, 3.00417E-03
-4.27755E-08, -1.711480E-02, -9.79921E-03, 2.66694E-03
-4.27505E-08, -2.185715E-02, -7.16457E-03, 2.32970E-03
-4.27255E-08, -2.554564E-02, -4.95148E-03, 2.03462E-03
-4.27005E-08, -2.291100E-02, -3.47608E-03, 1.69739E-03
-4.26755E-08, -1.395323E-02, -2.31684E-03, 1.27585E-03
-4.26505E-08, -1.30696E-03, -1.47375E-03, 8.5431E-04
-4.26255E-08, 9.23160E-03, -5.2528E-04, 3.0630E-04
-4.26005E-08, 1.555473E-02, 9.5012E-04, -1.1524E-04
-4.25755E-08, 1.555473E-02, 2.63629E-03, -3.6817E-04
-4.25505E-08, 7.65082E-03, 4.63861E-03, -3.2601E-04
-4.25255E-08, -3.94160E-03, 6.00862E-03, 1.7984E-04
-4.25005E-08, -1.869558E-02, 6.00862E-03, 6.8569E-04
-4.24755E-08, -3.081492E-02, 4.53323E-03, 1.02292E-03
-4.24505E-08, -3.871884E-02, 2.00397E-03, 1.10723E-03
-4.24255E-08, -4.029962E-02, -1.57914E-03, 6.4353E-04
-4.24005E-08, -3.503034E-02, -4.84609E-03, -1.9955E-04
-4.23755E-08, -2.449179E-02, -7.37534E-03, -1.04263E-03
-4.23505E-08, -1.026473E-02, -7.79689E-03, -1.63279E-03
-4.23255E-08, 5.54310E-03, -6.63764E-03, -1.50633E-03
-4.23005E-08, 2.082401E-02, -4.10839E-03, -8.3186E-04
-4.22755E-08, 3.083564E-02, -1.36837E-03, 4.3276E-04
-4.22505E-08, 3.663185E-02, 2.1242E-04, 1.90816E-03
-4.22255E-08, 3.452414E-02, 1.0703E-04, 3.21494E-03
-4.22005E-08, 2.556636E-02, -2.31684E-03, 3.72079E-03
-4.21755E-08, 1.292009E-02, -6.42687E-03, 3.51002E-03
-4.21505E-08, -2.88774E-03, -1.074768E-02, 2.62478E-03
-4.21255E-08, -1.816865E-02, -1.422541E-02, 1.52877E-03
-4.21005E-08, -2.712642E-02, -1.559542E-02, 4.3276E-04
-4.20755E-08, -3.028799E-02, -1.401463E-02, -1.9955E-04
-4.20505E-08, -2.818028E-02, -1.000998E-02, 1.122E-05
-4.20255E-08, -2.027636E-02, -4.95148E-03, 8.1215E-04
-4.20005E-08, -1.184552E-02, 2.1242E-04, 2.03462E-03
-4.19755E-08, -3.94160E-03, 4.00630E-03, 3.21494E-03
-4.19505E-08, 8.0075E-04, 5.16554E-03, 4.14234E-03
-4.19255E-08, 8.0075E-04, 3.37398E-03, 4.64819E-03
-4.19005E-08, -1.30696E-03, -5.2528E-04, 4.52172E-03
-4.18755E-08, -5.52238E-03, -5.79456E-03, 3.88941E-03
-4.18505E-08, -1.026473E-02, -1.043153E-02, 2.91986E-03
-4.18255E-08, -1.500708E-02, -1.380386E-02, 1.90816E-03
-4.18005E-08, -1.658787E-02, -1.506849E-02, 1.14939E-03
-4.17755E-08, -1.974943E-02, -1.348771E-02, 7.2784E-04
-4.17505E-08, -2.343793E-02, -1.053691E-02, 6.8569E-04
-4.17255E-08, -2.659950E-02, -6.84842E-03, 1.31800E-03
-4.17005E-08, -2.870721E-02, -3.47608E-03, 2.24539E-03
-4.16755E-08, -2.923414E-02, -1.26298E-03, 3.55218E-03
-4.16505E-08, -2.607257E-02, -5.2528E-04, 4.81680E-03
-4.16255E-08, -2.080329E-02, -1.47375E-03, 5.78635E-03
-4.16005E-08, -8.68395E-03, -3.15992E-03, 6.25005E-03
-4.15755E-08, 4.48925E-03, -4.95148E-03, 5.99712E-03
-4.15505E-08, 1.871630E-02, -6.32149E-03, 5.23835E-03
-4.15255E-08, 3.083564E-02, -6.63764E-03, 4.14234E-03
-4.15005E-08, 3.768570E-02, -6.21610E-03, 3.08848E-03
-4.14755E-08, 3.715878E-02, -4.95148E-03, 2.41401E-03
-4.14505E-08, 3.030871E-02, -3.47608E-03, 2.45617E-03
-4.14255E-08, 1.766245E-02, -2.31684E-03, 3.04633E-03
-4.14005E-08, 8.0075E-04, -1.68452E-03, 4.01587E-03
-4.13755E-08, -1.500708E-02, -1.78991E-03, 4.94327E-03
-4.13505E-08, -2.765335E-02, -2.52761E-03, 5.65989E-03
-4.13255E-08, -3.239570E-02, -3.58146E-03, 5.65989E-03
-4.13005E-08, -2.765335E-02, -4.84609E-03, 5.02757E-03
-4.12755E-08, -1.448016E-02, -6.00533E-03, 3.84726E-03
-4.12505E-08, 3.96232E-03, -7.05919E-03, 2.54047E-03
-4.12255E-08, 2.345865E-02, -7.37534E-03, 1.31800E-03
-4.12005E-08, 4.295498E-02, -7.26996E-03, 3.4845E-04
-4.11755E-08, 5.349354E-02, -6.32149E-03, -4.1032E-04
-4.11505E-08, 5.612818E-02, -4.84609E-03, -4.9463E-04
-4.11255E-08, 4.822426E-02, -2.84376E-03, -5.3678E-04
-4.11005E-08, 3.452414E-02, -4.1990E-04, -3.2601E-04
-4.10755E-08, 1.713552E-02, 1.68782E-03, 5.338E-05
-4.10505E-08, -1.30696E-03, 3.26860E-03, 6.4353E-04
-4.10255E-08, -1.764172E-02, 4.00630E-03, 1.52877E-03
-4.10005E-08, -2.923414E-02, 3.90091E-03, 2.37186E-03
-4.09755E-08, -3.555727E-02, 2.95244E-03, 2.96202E-03
-4.09505E-08, -3.766498E-02, 2.10936E-03, 3.25710E-03
-4.09255E-08, -3.819191E-02, 9.5012E-04, 2.70909E-03
-4.09005E-08, -3.555727E-02, 4.2319E-04, 1.57093E-03
-4.08755E-08, -3.292263E-02, 5.2857E-04, -3.093E-05
-4.08505E-08, -2.923414E-02, 1.05550E-03, -1.59064E-03
-4.08255E-08, -2.818028E-02, 2.00397E-03, -2.64450E-03
-4.08005E-08, -2.607257E-02, 3.05783E-03, -2.98173E-03
-4.07755E-08, -2.712642E-02, 3.69014E-03, -2.22295E-03
-4.07505E-08, -2.870721E-02, 3.26860E-03, -7.8971E-04
-4.07255E-08, -3.239570E-02, 2.21474E-03, 1.23369E-03
-4.07005E-08, -3.450342E-02, 5.2857E-04, 2.96202E-03
-4.06755E-08, -3.503034E-02, -1.57914E-03, 4.18449E-03
-4.06505E-08, -3.239570E-02, -4.10839E-03, 4.60603E-03
-4.06255E-08, -2.396486E-02, -6.21610E-03, 4.10018E-03
-4.06005E-08, -1.079166E-02, -7.79689E-03, 3.13063E-03
-4.05755E-08, 5.54310E-03, -8.63997E-03, 1.95032E-03
-4.05505E-08, 2.187787E-02, -8.74536E-03, 1.27585E-03
-4.05255E-08, 3.399721E-02, -8.00766E-03, 1.19154E-03
-4.05005E-08, 4.242805E-02, -6.32149E-03, 1.86601E-03
-4.04755E-08, 4.506269E-02, -4.31916E-03, 3.21494E-03
-4.04505E-08, 3.979342E-02, -2.10606E-03, 4.98542E-03
-4.04255E-08, 3.136257E-02, 3.1780E-04, 6.67159E-03
-4.04005E-08, 2.240480E-02, 2.32013E-03, 7.68329E-03
-4.03755E-08, 1.186624E-02, 4.00630E-03, 7.89406E-03
-4.03505E-08, 3.96232E-03, 5.06015E-03, 7.09313E-03
-4.03255E-08, -3.94160E-03, 5.90324E-03, 5.44912E-03
-4.03005E-08, -7.63009E-03, 6.21940E-03, 3.34140E-03
-4.02755E-08, -1.079166E-02, 6.00862E-03, 1.23369E-03
-4.02505E-08, -1.237244E-02, 5.27093E-03, -3.2601E-04
-4.02255E-08, -1.237244E-02, 3.79553E-03, -1.16910E-03
-4.02005E-08, -8.68395E-03, 1.47704E-03, -1.04263E-03
-4.01755E-08, -3.94160E-03, -1.57914E-03, -1.9955E-04
-4.01505E-08, 2.38154E-03, -4.95148E-03, 1.06508E-03
-4.01255E-08, 8.17774E-03, -7.69150E-03, 2.54047E-03
-4.01005E-08, 1.344702E-02, -1.032614E-02, 3.76295E-03
-4.00755E-08, 1.713552E-02, -1.116922E-02, 4.56388E-03
-4.00505E-08, 1.977016E-02, -1.074768E-02, 5.19619E-03
-4.00255E-08, 1.871630E-02, -9.27228E-03, 5.49127E-03
-4.00005E-08, 1.555473E-02, -7.48073E-03, 5.44912E-03
-3.99755E-08, 1.239317E-02, -5.58379E-03, 5.44912E-03
-3.99505E-08, 8.17774E-03, -5.05686E-03, 5.23835E-03
-3.99255E-08, 4.48925E-03, -5.68917E-03, 4.90111E-03
-3.99005E-08, 1.85461E-03, -7.69150E-03, 4.31095E-03
-3.98755E-08, -2.5310E-04, -1.064230E-02, 3.76295E-03
-3.98505E-08, -1.30696E-03, -1.412002E-02, 3.25710E-03
-3.98255E-08, -2.88774E-03, -1.717620E-02, 2.91986E-03
-3.98005E-08, -3.41467E-03, -1.907314E-02, 2.87771E-03
-3.97755E-08, -3.94160E-03, -1.938930E-02, 3.00417E-03
-3.97505E-08, -5.52238E-03, -1.823006E-02, 3.29925E-03
-3.97255E-08, -7.63009E-03, -1.591158E-02, 3.42571E-03
-3.97005E-08, -1.079166E-02, -1.253924E-02, 3.42571E-03
-3.96755E-08, -1.553401E-02, -8.95613E-03, 3.04633E-03
-3.96505E-08, -2.238407E-02, -5.58379E-03, 2.58263E-03
-3.96255E-08, -2.765335E-02, -3.26531E-03, 2.20324E-03
-3.96005E-08, -3.239570E-02, -2.00068E-03, 1.78170E-03
-3.95755E-08, -3.766498E-02, -1.89529E-03, 1.57093E-03
-3.95505E-08, -4.082655E-02, -2.84376E-03, 1.52877E-03
-3.95255E-08, -4.135348E-02, -4.42455E-03, 1.61308E-03
-3.95005E-08, -4.135348E-02, -6.11072E-03, 1.48662E-03
-3.94755E-08, -3.871884E-02, -7.48073E-03, 1.10723E-03
-3.94505E-08, -3.503034E-02, -8.11304E-03, 6.4353E-04
-3.94255E-08, -2.923414E-02, -7.58611E-03, 2.6415E-04
-3.94005E-08, -2.185715E-02, -6.11072E-03, 1.122E-05
-3.93755E-08, -1.342630E-02, -4.10839E-03, 3.9061E-04
-3.93505E-08, -4.46853E-03, -2.10606E-03, 1.10723E-03
-3.93255E-08, 3.43539E-03, -1.05221E-03, 2.20324E-03
-3.93005E-08, 1.133931E-02, -1.05221E-03, 3.04633E-03
-3.92755E-08, 1.660859E-02, -2.52761E-03, 3.34140E-03
-3.92505E-08, 1.818937E-02, -4.63532E-03, 3.04633E-03
-3.92255E-08, 1.818937E-02, -7.05919E-03, 1.90816E-03
-3.92005E-08, 2.029708E-02, -9.06151E-03, 2.6415E-04
-3.91755E-08, 2.345865E-02, -9.90460E-03, -1.37987E-03
-3.91505E-08, 3.188950E-02, -9.37767E-03, -2.47588E-03
-3.91255E-08, 4.295498E-02, -7.90227E-03, -2.72880E-03
-3.91005E-08, 5.718204E-02, -5.89995E-03, -2.09649E-03
-3.90755E-08, 6.982830E-02, -4.10839E-03, -8.3186E-04
-3.90505E-08, 7.667837E-02, -2.52761E-03, 7.7000E-04
-3.90255E-08, 7.246295E-02, -1.78991E-03, 2.20324E-03
-3.90005E-08, 5.928975E-02, -1.36837E-03, 2.96202E-03
-3.89755E-08, 3.452414E-02, -1.05221E-03, 3.25710E-03
-3.89505E-08, 3.96232E-03, -5.2528E-04, 3.04633E-03
-3.89255E-08, -2.501871E-02, 4.2319E-04, 2.58263E-03
-3.89005E-08, -4.504197E-02, 1.89859E-03, 2.03462E-03
-3.88755E-08, -5.347282E-02, 2.74167E-03, 1.73954E-03
-3.88505E-08, -4.609583E-02, 2.84706E-03, 1.69739E-03
-3.88255E-08, -2.712642E-02, 1.47704E-03, 1.69739E-03
-3.88005E-08, -2.36081E-03, -8.4144E-04, 1.65524E-03
-3.87755E-08, 2.187787E-02, -4.63532E-03, 1.44446E-03
-3.87505E-08, 3.663185E-02, -8.21843E-03, 1.19154E-03
-3.87255E-08, 4.084727E-02, -1.095845E-02, 8.5431E-04
-3.87005E-08, 3.294335E-02, -1.253924E-02, 6.4353E-04
-3.86755E-08, 1.766245E-02, -1.180154E-02, 7.2784E-04
-3.86505E-08, -7.8003E-04, -9.06151E-03, 9.3861E-04
-3.86255E-08, -1.500708E-02, -5.16225E-03, 1.40231E-03
-3.86005E-08, -2.291100E-02, -8.4144E-04, 1.99247E-03
-3.85755E-08, -2.238407E-02, 2.63629E-03, 2.37186E-03
-3.85505E-08, -1.711480E-02, 4.74400E-03, 2.75125E-03
-3.85255E-08, -1.079166E-02, 5.69247E-03, 2.87771E-03
-3.85005E-08, -3.94160E-03, 5.27093E-03, 2.62478E-03
-3.84755E-08, -2.88774E-03, 4.21707E-03, 2.11893E-03
-3.84505E-08, -4.99545E-03, 2.95244E-03, 1.23369E-03
-3.84255E-08, -9.21088E-03, 1.79320E-03, 1.122E-05
-3.84005E-08, -1.131859E-02, 1.37166E-03, -1.50633E-03
-3.83755E-08, -9.73780E-03, 7.3935E-04, -2.81311E-03
-3.83505E-08, -3.41467E-03, 4.2319E-04, -3.69835E-03
-3.83255E-08, 3.96232E-03, -6.3067E-04, -3.95128E-03
-3.83005E-08, 1.133931E-02, -2.00068E-03, -3.10819E-03
-3.82755E-08, 1.344702E-02, -4.21378E-03, -1.42202E-03
-3.82505E-08, 7.65082E-03, -6.21610E-03, 9.8077E-04
-3.82255E-08, -5.52238E-03, -7.58611E-03, 3.59433E-03
-3.82005E-08, -2.185715E-02, -8.11304E-03, 5.57558E-03
-3.81755E-08, -3.661112E-02, -6.84842E-03, 6.54513E-03
-3.81505E-08, -4.504197E-02, -4.52993E-03, 6.20789E-03
-3.81255E-08, -4.504197E-02, -1.47375E-03, 4.69034E-03
-3.81005E-08, -3.555727E-02, 1.58243E-03, 2.45617E-03
-3.80755E-08, -1.922251E-02, 4.11168E-03, 3.0630E-04
-3.80505E-08, -1.30696E-03, 4.63861E-03, -1.25341E-03
-3.80255E-08, 1.397395E-02, 3.26860E-03, -1.46418E-03
-3.80005E-08, 2.556636E-02, 3.1780E-04, -6.6325E-04
-3.79755E-08, 2.872793E-02, -3.47608E-03, 8.5431E-04
-3.79505E-08, 2.767408E-02, -7.37534E-03, 2.62478E-03
-3.79255E-08, 2.398558E-02, -1.011537E-02, 3.93156E-03
-3.79005E-08, 1.818937E-02, -1.095845E-02, 4.35311E-03
-3.78755E-08, 1.344702E-02, -9.90460E-03, 3.97372E-03
-3.78505E-08, 7.12389E-03, -7.16457E-03, 3.00417E-03
-3.78255E-08, 8.0075E-04, -3.58146E-03, 2.16109E-03
-3.78005E-08, -4.46853E-03, -3.1451E-04, 1.73954E-03
-3.77755E-08, -9.73780E-03, 1.58243E-03, 2.32970E-03
-3.77505E-08, -1.184552E-02, 2.00397E-03, 3.76295E-03
-3.77255E-08, -9.21088E-03, 4.2319E-04, 5.82850E-03
-3.77005E-08, -7.8003E-04, -2.52761E-03, 7.85191E-03
-3.76755E-08, 1.133931E-02, -5.37302E-03, 9.28515E-03
-3.76505E-08, 2.398558E-02, -7.48073E-03, 9.95962E-03
-3.76255E-08, 3.399721E-02, -8.11304E-03, 9.62238E-03
-3.76005E-08, 3.821263E-02, -6.53226E-03, 8.48422E-03
