,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,8005,8005,8005
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-4.3460000000E-08,-4.3460000000E-08,-4.3460000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-4.3486700863E-08,-4.3486700863E-08,-4.3486700863E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.40000009536743E+00,0.0E+00,2.94499993324280E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-3.28354070588684E+00,2.32918585010111E-02,3.03816743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,28 NOV 2024,28 NOV 2024,28 NOV 2024
Time:               ,14:32:53,14:32:53,14:32:53
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-4.34867E-08, 1.977016E-02, 8.64326E-03, -6.6325E-04
-4.34617E-08, 1.608166E-02, 8.32711E-03, -1.37987E-03
-4.34367E-08, 3.43539E-03, 8.64326E-03, -1.80141E-03
-4.34117E-08, -1.448016E-02, 9.06481E-03, -2.01218E-03
-4.33867E-08, -3.397649E-02, 1.011866E-02, -1.46418E-03
-4.33617E-08, -4.820354E-02, 1.096175E-02, -2.8386E-04
-4.33367E-08, -5.821517E-02, 1.096175E-02, 1.73954E-03
-4.33117E-08, -6.243059E-02, 1.032943E-02, 3.88941E-03
-4.32867E-08, -5.926903E-02, 9.17019E-03, 5.82850E-03
-4.32617E-08, -5.031125E-02, 7.16787E-03, 6.92451E-03
-4.32367E-08, -3.977269E-02, 5.27093E-03, 6.88236E-03
-4.32117E-08, -2.923414E-02, 3.47937E-03, 5.74420E-03
-4.31867E-08, -1.974943E-02, 2.10936E-03, 3.84726E-03
-4.31617E-08, -1.342630E-02, 1.16089E-03, 1.52877E-03
-4.31367E-08, -1.184552E-02, 6.3396E-04, -5.3678E-04
-4.31117E-08, -1.606094E-02, 1.0703E-04, -1.80141E-03
-4.30867E-08, -2.449179E-02, -7.3605E-04, -2.26511E-03
-4.30617E-08, -3.555727E-02, -2.31684E-03, -2.05434E-03
-4.30367E-08, -4.714968E-02, -4.52993E-03, -1.63279E-03
-4.30117E-08, -5.610746E-02, -7.05919E-03, -1.12694E-03
-4.29867E-08, -5.716131E-02, -1.011537E-02, -9.5833E-04
-4.29617E-08, -4.978433E-02, -1.285539E-02, -9.5833E-04
-4.29367E-08, -3.397649E-02, -1.485772E-02, -1.21125E-03
-4.29117E-08, -1.131859E-02, -1.591158E-02, -1.46418E-03
-4.28867E-08, 1.186624E-02, -1.517388E-02, -1.29556E-03
-4.28617E-08, 3.505107E-02, -1.275001E-02, -9.1617E-04
-4.28367E-08, 5.085890E-02, -9.58844E-03, -2.8386E-04
-4.28117E-08, 5.823589E-02, -6.00533E-03, 3.9061E-04
-4.27867E-08, 5.612818E-02, -3.15992E-03, 9.3861E-04
-4.27617E-08, 4.875119E-02, -1.78991E-03, 1.14939E-03
-4.27367E-08, 3.663185E-02, -2.42222E-03, 1.06508E-03
-4.27117E-08, 2.345865E-02, -5.16225E-03, 8.5431E-04
-4.26867E-08, 1.502781E-02, -8.85074E-03, 6.4353E-04
-4.26617E-08, 8.17774E-03, -1.232847E-02, 5.5923E-04
-4.26367E-08, 3.96232E-03, -1.475233E-02, 3.9061E-04
-4.26117E-08, -1.30696E-03, -1.527926E-02, 1.7984E-04
-4.25867E-08, -9.73780E-03, -1.338232E-02, -2.4170E-04
-4.25617E-08, -2.133022E-02, -1.000998E-02, -8.3186E-04
-4.25367E-08, -3.503034E-02, -6.00533E-03, -1.67495E-03
-4.25117E-08, -4.873047E-02, -2.84376E-03, -2.39157E-03
-4.24867E-08, -6.243059E-02, -1.36837E-03, -2.89742E-03
-4.24617E-08, -6.717294E-02, -2.00068E-03, -2.93958E-03
-4.24367E-08, -6.559216E-02, -4.21378E-03, -2.47588E-03
-4.24117E-08, -5.663439E-02, -6.42687E-03, -1.67495E-03
-4.23867E-08, -4.398812E-02, -8.00766E-03, -3.6817E-04
-4.23617E-08, -3.028799E-02, -7.69150E-03, 5.1707E-04
-4.23367E-08, -1.922251E-02, -5.89995E-03, 1.10723E-03
-4.23117E-08, -1.289937E-02, -2.73838E-03, 1.14939E-03
-4.22867E-08, -1.237244E-02, 6.3396E-04, 7.7000E-04
-4.22617E-08, -1.289937E-02, 2.95244E-03, 2.6415E-04
-4.22367E-08, -1.448016E-02, 3.37398E-03, -1.1524E-04
-4.22117E-08, -1.289937E-02, 2.21474E-03, 1.122E-05
-4.21867E-08, -1.026473E-02, -8.4144E-04, 6.8569E-04
-4.21617E-08, -3.94160E-03, -3.89762E-03, 1.82385E-03
-4.21367E-08, 1.32768E-03, -6.42687E-03, 3.17279E-03
-4.21117E-08, 2.38154E-03, -7.26996E-03, 4.39526E-03
-4.20867E-08, -7.8003E-04, -6.00533E-03, 5.11188E-03
-4.20617E-08, -1.079166E-02, -3.58146E-03, 5.02757E-03
-4.20367E-08, -2.343793E-02, -5.2528E-04, 4.35311E-03
-4.20117E-08, -3.608420E-02, 2.32013E-03, 3.08848E-03
-4.19867E-08, -4.451504E-02, 4.00630E-03, 1.61308E-03
-4.19617E-08, -4.504197E-02, 4.32246E-03, 1.3768E-04
-4.19367E-08, -3.871884E-02, 2.95244E-03, -1.00048E-03
-4.19117E-08, -2.501871E-02, 1.05550E-03, -1.63279E-03
-4.18867E-08, -7.63009E-03, -8.4144E-04, -1.71710E-03
-4.18617E-08, 6.59696E-03, -2.00068E-03, -1.50633E-03
-4.18367E-08, 1.660859E-02, -1.89529E-03, -1.00048E-03
-4.18117E-08, 1.871630E-02, -8.4144E-04, -4.5248E-04
-4.17867E-08, 1.502781E-02, 6.3396E-04, 1.122E-05
-4.17617E-08, 6.59696E-03, 1.89859E-03, 5.1707E-04
-4.17367E-08, -7.8003E-04, 2.00397E-03, 9.3861E-04
-4.17117E-08, -7.10317E-03, 8.4473E-04, 1.52877E-03
-4.16867E-08, -9.73780E-03, -1.78991E-03, 2.24539E-03
-4.16617E-08, -8.15702E-03, -5.37302E-03, 3.04633E-03
-4.16367E-08, -3.41467E-03, -9.16690E-03, 3.84726E-03
-4.16117E-08, 1.32768E-03, -1.222308E-02, 4.43741E-03
-4.15867E-08, 5.01618E-03, -1.359309E-02, 4.69034E-03
-4.15617E-08, 8.70467E-03, -1.348771E-02, 4.47957E-03
-4.15367E-08, 1.081238E-02, -1.138000E-02, 3.67864E-03
-4.15117E-08, 1.239317E-02, -8.00766E-03, 2.45617E-03
-4.14867E-08, 1.239317E-02, -4.21378E-03, 1.14939E-03
-4.14617E-08, 1.292009E-02, -6.3067E-04, -1.1524E-04
-4.14367E-08, 1.292009E-02, 2.00397E-03, -9.5833E-04
-4.14117E-08, 1.081238E-02, 2.95244E-03, -1.21125E-03
-4.13867E-08, 4.48925E-03, 2.42551E-03, -6.2109E-04
-4.13617E-08, -1.30696E-03, 5.2857E-04, 6.4353E-04
-4.13367E-08, -1.184552E-02, -2.31684E-03, 2.20324E-03
-4.13117E-08, -2.238407E-02, -5.47840E-03, 3.88941E-03
-4.12867E-08, -3.186877E-02, -8.63997E-03, 5.23835E-03
-4.12617E-08, -3.608420E-02, -1.106384E-02, 5.99712E-03
-4.12367E-08, -3.608420E-02, -1.243385E-02, 5.99712E-03
-4.12117E-08, -3.134185E-02, -1.306616E-02, 5.23835E-03
-4.11867E-08, -2.080329E-02, -1.275001E-02, 4.10018E-03
-4.11617E-08, -7.63009E-03, -1.180154E-02, 2.58263E-03
-4.11367E-08, 6.07003E-03, -1.074768E-02, 1.10723E-03
-4.11117E-08, 1.713552E-02, -9.90460E-03, -3.093E-05
-4.10867E-08, 2.451251E-02, -9.58844E-03, -7.8971E-04
-4.10617E-08, 2.925486E-02, -9.69383E-03, -1.16910E-03
-4.10367E-08, 2.820100E-02, -9.79921E-03, -1.25341E-03
-4.10117E-08, 2.240480E-02, -1.022075E-02, -1.12694E-03
-4.09867E-08, 1.555473E-02, -9.90460E-03, -9.1617E-04
-4.09617E-08, 6.07003E-03, -9.27228E-03, -1.00048E-03
-4.09367E-08, -2.5310E-04, -7.90227E-03, -1.12694E-03
-4.09117E-08, -6.04931E-03, -6.32149E-03, -1.21125E-03
-4.08867E-08, -5.52238E-03, -4.84609E-03, -1.16910E-03
-4.08617E-08, -7.8003E-04, -3.58146E-03, -8.7402E-04
-4.08367E-08, 1.081238E-02, -3.05454E-03, -4.5248E-04
-4.08117E-08, 2.451251E-02, -3.05454E-03, 3.4845E-04
-4.07867E-08, 3.821263E-02, -3.47608E-03, 1.40231E-03
-4.07617E-08, 5.033197E-02, -4.21378E-03, 2.28755E-03
-4.07367E-08, 5.718204E-02, -4.10839E-03, 3.13063E-03
-4.07117E-08, 5.296661E-02, -3.58146E-03, 3.38356E-03
-4.06867E-08, 3.979342E-02, -2.21145E-03, 3.17279E-03
-4.06617E-08, 2.187787E-02, -2.0912E-04, 2.37186E-03
-4.06367E-08, -7.8003E-04, 2.00397E-03, 1.23369E-03
-4.06117E-08, -2.291100E-02, 3.69014E-03, 9.553E-05
-4.05867E-08, -3.766498E-02, 4.95477E-03, -5.7894E-04
-4.05617E-08, -4.398812E-02, 4.63861E-03, -7.4756E-04
-4.05367E-08, -4.135348E-02, 3.26860E-03, -2.8386E-04
-4.05117E-08, -3.292263E-02, 1.05550E-03, 8.5431E-04
-4.04867E-08, -2.133022E-02, -1.68452E-03, 2.11893E-03
-4.04617E-08, -1.289937E-02, -4.21378E-03, 3.17279E-03
-4.04367E-08, -9.73780E-03, -5.68917E-03, 3.67864E-03
-4.04117E-08, -1.500708E-02, -5.89995E-03, 3.25710E-03
-4.03867E-08, -2.554564E-02, -4.95148E-03, 2.16109E-03
-4.03617E-08, -3.766498E-02, -3.58146E-03, 7.7000E-04
-4.03367E-08, -4.714968E-02, -1.78991E-03, -4.9463E-04
-4.03117E-08, -4.873047E-02, -4.1990E-04, -1.25341E-03
-4.02867E-08, -4.082655E-02, 3.1780E-04, -1.08479E-03
-4.02617E-08, -2.712642E-02, -1.0374E-04, -2.8386E-04
-4.02367E-08, -8.68395E-03, -1.36837E-03, 1.14939E-03
-4.02117E-08, 7.65082E-03, -2.73838E-03, 2.37186E-03
-4.01867E-08, 1.871630E-02, -3.79223E-03, 3.25710E-03
-4.01617E-08, 2.187787E-02, -4.42455E-03, 3.00417E-03
-4.01367E-08, 1.871630E-02, -4.42455E-03, 1.90816E-03
-4.01117E-08, 9.75853E-03, -4.31916E-03, 2.2199E-04
-4.00867E-08, 8.0075E-04, -4.21378E-03, -1.59064E-03
-4.00617E-08, -4.46853E-03, -4.84609E-03, -3.10819E-03
-4.00367E-08, -6.57624E-03, -6.63764E-03, -3.69835E-03
-4.00117E-08, -4.99545E-03, -8.74536E-03, -3.52973E-03
-3.99867E-08, -2.88774E-03, -1.095845E-02, -2.47588E-03
-3.99617E-08, -3.94160E-03, -1.253924E-02, -1.12694E-03
-3.99367E-08, -7.63009E-03, -1.338232E-02, 3.0630E-04
-3.99117E-08, -1.816865E-02, -1.253924E-02, 1.40231E-03
-3.98867E-08, -3.028799E-02, -1.032614E-02, 2.20324E-03
-3.98617E-08, -3.977269E-02, -7.48073E-03, 2.58263E-03
-3.98367E-08, -4.082655E-02, -4.52993E-03, 2.66694E-03
-3.98117E-08, -3.608420E-02, -2.31684E-03, 2.58263E-03
-3.97867E-08, -2.238407E-02, -1.15759E-03, 2.28755E-03
-3.97617E-08, -2.88774E-03, -1.47375E-03, 1.82385E-03
-3.97367E-08, 1.660859E-02, -2.84376E-03, 1.14939E-03
-3.97117E-08, 3.083564E-02, -4.74070E-03, 2.6415E-04
-3.96867E-08, 3.610492E-02, -6.74303E-03, -6.6325E-04
-3.96617E-08, 3.188950E-02, -8.11304E-03, -1.67495E-03
-3.96367E-08, 1.977016E-02, -9.06151E-03, -2.18080E-03
-3.96117E-08, 2.90846E-03, -9.90460E-03, -2.09649E-03
-3.95867E-08, -1.342630E-02, -1.032614E-02, -1.46418E-03
-3.95617E-08, -2.501871E-02, -1.064230E-02, -5.3678E-04
-3.95367E-08, -2.923414E-02, -1.095845E-02, 3.9061E-04
-3.95117E-08, -2.712642E-02, -1.085307E-02, 1.10723E-03
-3.94867E-08, -1.869558E-02, -9.37767E-03, 1.36016E-03
-3.94617E-08, -8.68395E-03, -6.53226E-03, 9.3861E-04
-3.94367E-08, 8.0075E-04, -2.84376E-03, 1.7984E-04
-3.94117E-08, 8.70467E-03, 1.26627E-03, -5.3678E-04
-3.93867E-08, 1.502781E-02, 4.74400E-03, -9.5833E-04
-3.93617E-08, 2.029708E-02, 6.53555E-03, -1.00048E-03
-3.93367E-08, 2.398558E-02, 5.90324E-03, -4.9463E-04
-3.93117E-08, 2.662022E-02, 2.74167E-03, 4.3276E-04
-3.92867E-08, 2.820100E-02, -2.31684E-03, 1.36016E-03
-3.92617E-08, 3.030871E-02, -8.32381E-03, 2.16109E-03
-3.92367E-08, 3.030871E-02, -1.306616E-02, 2.58263E-03
-3.92117E-08, 2.872793E-02, -1.549003E-02, 2.58263E-03
-3.91867E-08, 2.609329E-02, -1.496311E-02, 2.41401E-03
-3.91617E-08, 2.240480E-02, -1.190692E-02, 2.07678E-03
-3.91367E-08, 2.029708E-02, -7.16457E-03, 1.61308E-03
-3.91117E-08, 1.766245E-02, -2.21145E-03, 1.19154E-03
-3.90867E-08, 1.344702E-02, 1.26627E-03, 8.1215E-04
-3.90617E-08, 1.081238E-02, 2.32013E-03, 5.1707E-04
-3.90367E-08, 3.43539E-03, 1.47704E-03, 2.2199E-04
-3.90117E-08, -6.04931E-03, -1.47375E-03, 1.122E-05
-3.89867E-08, -1.711480E-02, -5.47840E-03, 1.122E-05
-3.89617E-08, -2.870721E-02, -9.16690E-03, 1.3768E-04
-3.89367E-08, -3.871884E-02, -1.159077E-02, 7.2784E-04
-3.89117E-08, -4.556890E-02, -1.306616E-02, 1.44446E-03
-3.88867E-08, -4.873047E-02, -1.296078E-02, 2.58263E-03
-3.88617E-08, -4.662276E-02, -1.190692E-02, 3.67864E-03
-3.88367E-08, -4.240733E-02, -9.79921E-03, 4.47957E-03
-3.88117E-08, -3.977269E-02, -7.90227E-03, 4.94327E-03
-3.87867E-08, -3.766498E-02, -5.68917E-03, 4.90111E-03
-3.87617E-08, -3.661112E-02, -4.00301E-03, 4.22664E-03
-3.87367E-08, -3.766498E-02, -2.52761E-03, 3.17279E-03
-3.87117E-08, -3.871884E-02, -2.00068E-03, 1.73954E-03
-3.86867E-08, -3.713806E-02, -2.42222E-03, 3.9061E-04
-3.86617E-08, -3.081492E-02, -3.89762E-03, -8.3186E-04
-3.86367E-08, -2.027636E-02, -5.79456E-03, -1.46418E-03
-3.86117E-08, -6.57624E-03, -8.53459E-03, -1.46418E-03
-3.85867E-08, 8.17774E-03, -1.043153E-02, -7.8971E-04
-3.85617E-08, 2.135094E-02, -1.148538E-02, 3.0630E-04
-3.85367E-08, 2.872793E-02, -1.138000E-02, 1.48662E-03
-3.85117E-08, 2.872793E-02, -1.032614E-02, 2.62478E-03
-3.84867E-08, 2.082401E-02, -8.21843E-03, 3.29925E-03
-3.84617E-08, 7.12389E-03, -6.00533E-03, 3.46787E-03
-3.84367E-08, -1.184552E-02, -3.89762E-03, 3.25710E-03
-3.84117E-08, -3.292263E-02, -2.73838E-03, 2.62478E-03
-3.83867E-08, -5.294589E-02, -2.52761E-03, 1.99247E-03
-3.83617E-08, -6.875373E-02, -3.05454E-03, 1.48662E-03
-3.83367E-08, -7.981921E-02, -3.79223E-03, 1.27585E-03
-3.83117E-08, -8.456156E-02, -4.52993E-03, 1.44446E-03
-3.82867E-08, -8.456156E-02, -4.52993E-03, 2.07678E-03
-3.82617E-08, -8.034614E-02, -3.79223E-03, 2.83555E-03
-3.82367E-08, -7.138836E-02, -2.00068E-03, 3.67864E-03
-3.82117E-08, -6.084981E-02, 1.65E-06, 4.43741E-03
-3.81867E-08, -5.136511E-02, 2.00397E-03, 4.90111E-03
-3.81617E-08, -4.293426E-02, 3.37398E-03, 4.94327E-03
-3.81367E-08, -3.344956E-02, 4.21707E-03, 4.60603E-03
-3.81117E-08, -2.396486E-02, 4.42784E-03, 3.93156E-03
-3.80867E-08, -1.606094E-02, 3.58476E-03, 2.91986E-03
-3.80617E-08, -8.68395E-03, 2.74167E-03, 1.86601E-03
-3.80367E-08, -2.88774E-03, 1.58243E-03, 7.7000E-04
-3.80117E-08, 8.0075E-04, 7.3935E-04, 5.338E-05
-3.79867E-08, 1.32768E-03, 1.65E-06, -2.4170E-04
-3.79617E-08, -2.5310E-04, -8.4144E-04, -4.1032E-04
-3.79367E-08, -5.52238E-03, -2.00068E-03, -2.4170E-04
-3.79117E-08, -1.026473E-02, -3.47608E-03, 1.122E-05
-3.78867E-08, -1.448016E-02, -5.05686E-03, 1.7984E-04
-3.78617E-08, -1.711480E-02, -6.53226E-03, 2.2199E-04
-3.78367E-08, -1.553401E-02, -7.48073E-03, 2.6415E-04
-3.78117E-08, -1.342630E-02, -7.37534E-03, 3.4845E-04
-3.77867E-08, -7.63009E-03, -5.58379E-03, 8.1215E-04
-3.77617E-08, -3.94160E-03, -2.84376E-03, 1.48662E-03
-3.77367E-08, -7.8003E-04, 9.5012E-04, 2.54047E-03
-3.77117E-08, -2.88774E-03, 4.74400E-03, 3.84726E-03
-3.76867E-08, -7.63009E-03, 7.37864E-03, 4.98542E-03
-3.76617E-08, -1.289937E-02, 8.32711E-03, 5.70204E-03
-3.76367E-08, -1.711480E-02, 7.48402E-03, 5.74420E-03
-3.76117E-08, -2.080329E-02, 4.84938E-03, 4.98542E-03
-3.75867E-08, -2.291100E-02, 1.58243E-03, 3.63648E-03
-3.75617E-08, -2.027636E-02, -1.05221E-03, 1.90816E-03
