,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,8005,8005,8005
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-4.3460000000E-08,-4.3460000000E-08,-4.3460000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-4.3465731762E-08,-4.3465731762E-08,-4.3465731762E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.40000009536743E+00,0.0E+00,2.94499993324280E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-3.28354070588684E+00,2.32918585010111E-02,3.03816743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,28 NOV 2024,28 NOV 2024,28 NOV 2024
Time:               ,14:29:40,14:29:40,14:29:40
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-4.34657E-08, 1.660859E-02, -1.78991E-03, 1.99247E-03
-4.34407E-08, 1.028545E-02, 8.4473E-04, 2.75125E-03
-4.34157E-08, 7.12389E-03, 2.53090E-03, 3.51002E-03
-4.33907E-08, 7.65082E-03, 3.26860E-03, 3.97372E-03
-4.33657E-08, 1.028545E-02, 2.42551E-03, 4.22664E-03
-4.33407E-08, 1.450088E-02, 6.3396E-04, 4.10018E-03
-4.33157E-08, 1.608166E-02, -1.57914E-03, 3.72079E-03
-4.32907E-08, 1.397395E-02, -4.10839E-03, 2.91986E-03
-4.32657E-08, 5.54310E-03, -6.63764E-03, 1.90816E-03
-4.32407E-08, -6.57624E-03, -8.42920E-03, 6.0138E-04
-4.32157E-08, -1.974943E-02, -9.48306E-03, -7.0540E-04
-4.31907E-08, -3.081492E-02, -9.79921E-03, -1.71710E-03
-4.31657E-08, -3.661112E-02, -9.90460E-03, -2.18080E-03
-4.31407E-08, -3.239570E-02, -9.58844E-03, -1.84357E-03
-4.31157E-08, -2.291100E-02, -9.37767E-03, -6.2109E-04
-4.30907E-08, -8.15702E-03, -8.85074E-03, 1.40231E-03
-4.30657E-08, 7.65082E-03, -8.32381E-03, 3.84726E-03
-4.30407E-08, 2.029708E-02, -7.37534E-03, 5.95497E-03
-4.30157E-08, 2.662022E-02, -6.53226E-03, 7.47252E-03
-4.29907E-08, 2.345865E-02, -5.47840E-03, 7.80975E-03
-4.29657E-08, 1.239317E-02, -4.21378E-03, 6.96667E-03
-4.29407E-08, -2.88774E-03, -3.15992E-03, 5.11188E-03
-4.29157E-08, -1.922251E-02, -2.00068E-03, 2.79340E-03
-4.28907E-08, -3.450342E-02, -1.26298E-03, 6.4353E-04
-4.28657E-08, -4.188041E-02, -6.3067E-04, -7.8971E-04
-4.28407E-08, -4.293426E-02, -5.2528E-04, -1.25341E-03
-4.28157E-08, -3.766498E-02, -5.2528E-04, -7.0540E-04
-4.27907E-08, -2.870721E-02, -1.15759E-03, 3.9061E-04
-4.27657E-08, -1.711480E-02, -2.10606E-03, 1.52877E-03
-4.27407E-08, -6.57624E-03, -4.00301E-03, 2.20324E-03
-4.27157E-08, 2.7382E-04, -6.42687E-03, 2.24539E-03
-4.26907E-08, 8.0075E-04, -9.06151E-03, 1.52877E-03
-4.26657E-08, -2.36081E-03, -1.169615E-02, 5.5923E-04
-4.26407E-08, -9.73780E-03, -1.390925E-02, -2.8386E-04
-4.26157E-08, -1.764172E-02, -1.496311E-02, -2.8386E-04
-4.25907E-08, -2.501871E-02, -1.496311E-02, 6.4353E-04
-4.25657E-08, -2.870721E-02, -1.317155E-02, 2.41401E-03
-4.25407E-08, -2.659950E-02, -1.032614E-02, 4.56388E-03
-4.25157E-08, -2.027636E-02, -7.16457E-03, 6.50297E-03
-4.24907E-08, -1.289937E-02, -4.00301E-03, 7.76760E-03
-4.24657E-08, -7.8003E-04, -1.68452E-03, 7.89406E-03
-4.24407E-08, 7.12389E-03, -1.05221E-03, 6.88236E-03
-4.24157E-08, 1.239317E-02, -1.47375E-03, 5.06973E-03
-4.23907E-08, 1.344702E-02, -2.84376E-03, 3.04633E-03
-4.23657E-08, 1.133931E-02, -4.10839E-03, 1.48662E-03
-4.23407E-08, 7.12389E-03, -4.95148E-03, 7.2784E-04
-4.23157E-08, 1.32768E-03, -4.31916E-03, 9.8077E-04
-4.22907E-08, -3.94160E-03, -2.52761E-03, 2.07678E-03
-4.22657E-08, -9.21088E-03, -1.0374E-04, 3.38356E-03
-4.22407E-08, -1.342630E-02, 2.74167E-03, 4.35311E-03
-4.22157E-08, -1.764172E-02, 4.95477E-03, 4.69034E-03
-4.21907E-08, -2.396486E-02, 5.58708E-03, 4.18449E-03
-4.21657E-08, -3.028799E-02, 5.06015E-03, 2.96202E-03
-4.21407E-08, -3.555727E-02, 3.47937E-03, 9.3861E-04
-4.21157E-08, -4.029962E-02, 1.58243E-03, -1.00048E-03
-4.20907E-08, -4.135348E-02, 4.2319E-04, -2.56019E-03
-4.20657E-08, -3.766498E-02, 2.1242E-04, -3.40327E-03
-4.20407E-08, -3.239570E-02, 9.5012E-04, -3.36112E-03
-4.20157E-08, -2.765335E-02, 2.42551E-03, -2.64450E-03
-4.19907E-08, -2.554564E-02, 3.16321E-03, -1.42202E-03
-4.19657E-08, -2.501871E-02, 3.05783E-03, -2.4170E-04
-4.19407E-08, -3.081492E-02, 1.05550E-03, 6.4353E-04
-4.19157E-08, -3.871884E-02, -2.42222E-03, 9.3861E-04
-4.18907E-08, -4.662276E-02, -7.16457E-03, 5.1707E-04
-4.18657E-08, -5.083818E-02, -1.222308E-02, -4.1032E-04
-4.18407E-08, -5.136511E-02, -1.654389E-02, -1.63279E-03
-4.18157E-08, -4.504197E-02, -1.896776E-02, -2.68665E-03
-4.17907E-08, -3.661112E-02, -1.970546E-02, -3.15035E-03
-4.17657E-08, -2.554564E-02, -1.823006E-02, -3.06604E-03
-4.17407E-08, -1.764172E-02, -1.559542E-02, -2.26511E-03
-4.17157E-08, -1.395323E-02, -1.253924E-02, -9.1617E-04
-4.16907E-08, -1.500708E-02, -9.79921E-03, 7.2784E-04
-4.16657E-08, -2.027636E-02, -7.58611E-03, 2.32970E-03
-4.16407E-08, -2.712642E-02, -5.79456E-03, 3.42571E-03
-4.16157E-08, -3.450342E-02, -4.42455E-03, 3.88941E-03
-4.15907E-08, -3.924577E-02, -3.26531E-03, 3.84726E-03
-4.15657E-08, -4.188041E-02, -1.89529E-03, 3.21494E-03
-4.15407E-08, -4.082655E-02, -2.0912E-04, 2.20324E-03
-4.15157E-08, -3.977269E-02, 1.68782E-03, 1.10723E-03
-4.14907E-08, -3.871884E-02, 3.16321E-03, 1.7984E-04
-4.14657E-08, -3.871884E-02, 3.79553E-03, -4.1032E-04
-4.14407E-08, -3.924577E-02, 2.95244E-03, -7.8971E-04
-4.14157E-08, -4.029962E-02, 1.05550E-03, -4.9463E-04
-4.13907E-08, -4.135348E-02, -2.00068E-03, 2.2199E-04
-4.13657E-08, -4.240733E-02, -5.37302E-03, 1.31800E-03
-4.13407E-08, -4.188041E-02, -7.90227E-03, 2.58263E-03
-4.13157E-08, -4.029962E-02, -9.06151E-03, 3.84726E-03
-4.12907E-08, -3.766498E-02, -8.42920E-03, 4.94327E-03
-4.12657E-08, -3.450342E-02, -6.00533E-03, 5.49127E-03
-4.12407E-08, -3.028799E-02, -2.52761E-03, 5.44912E-03
-4.12157E-08, -2.818028E-02, 8.4473E-04, 4.90111E-03
-4.11907E-08, -2.712642E-02, 3.26860E-03, 3.80510E-03
-4.11657E-08, -2.923414E-02, 3.69014E-03, 2.70909E-03
-4.11407E-08, -3.397649E-02, 2.21474E-03, 1.48662E-03
-4.11157E-08, -4.240733E-02, -7.3605E-04, 6.0138E-04
-4.10907E-08, -5.347282E-02, -4.52993E-03, 9.553E-05
-4.10657E-08, -6.295752E-02, -7.90227E-03, -3.093E-05
-4.10407E-08, -6.769987E-02, -9.90460E-03, -7.309E-05
-4.10157E-08, -6.453831E-02, -9.90460E-03, -7.309E-05
-4.09907E-08, -5.399975E-02, -8.53459E-03, -1.9955E-04
-4.09657E-08, -3.450342E-02, -5.89995E-03, -4.1032E-04
-4.09407E-08, -9.21088E-03, -3.15992E-03, -6.6325E-04
-4.09157E-08, 1.713552E-02, -6.3067E-04, -5.3678E-04
-4.08907E-08, 3.715878E-02, 8.4473E-04, 9.553E-05
-4.08657E-08, 4.611655E-02, 1.26627E-03, 1.27585E-03
-4.08407E-08, 4.032034E-02, 1.37166E-03, 2.91986E-03
-4.08157E-08, 2.135094E-02, 8.4473E-04, 4.69034E-03
-4.07907E-08, -6.04931E-03, 1.05550E-03, 6.37651E-03
-4.07657E-08, -3.555727E-02, 1.68782E-03, 7.34606E-03
-4.07407E-08, -5.821517E-02, 2.32013E-03, 7.43036E-03
-4.07157E-08, -6.664602E-02, 2.95244E-03, 6.54513E-03
-4.06907E-08, -5.979595E-02, 2.84706E-03, 4.94327E-03
-4.06657E-08, -4.135348E-02, 1.89859E-03, 2.91986E-03
-4.06407E-08, -1.764172E-02, 1.0703E-04, 8.5431E-04
-4.06157E-08, 2.90846E-03, -2.63299E-03, -8.7402E-04
-4.05907E-08, 1.186624E-02, -5.47840E-03, -1.97003E-03
-4.05657E-08, 6.07003E-03, -8.00766E-03, -2.43372E-03
-4.05407E-08, -1.342630E-02, -9.48306E-03, -2.30726E-03
-4.05157E-08, -4.188041E-02, -9.90460E-03, -1.80141E-03
-4.04907E-08, -7.138836E-02, -9.48306E-03, -1.08479E-03
-4.04657E-08, -9.457319E-02, -7.90227E-03, -1.5740E-04
-4.04407E-08, -1.0563868E-01, -6.11072E-03, 4.7492E-04
-4.04157E-08, -1.0036940E-01, -4.42455E-03, 1.10723E-03
-4.03907E-08, -8.561542E-02, -3.26531E-03, 1.40231E-03
-4.03657E-08, -6.506523E-02, -2.73838E-03, 1.65524E-03
-4.03407E-08, -4.346119E-02, -3.15992E-03, 1.78170E-03
-4.03157E-08, -2.396486E-02, -4.52993E-03, 1.95032E-03
-4.02907E-08, -9.21088E-03, -5.89995E-03, 2.20324E-03
-4.02657E-08, 4.48925E-03, -7.26996E-03, 2.62478E-03
-4.02407E-08, 1.502781E-02, -7.90227E-03, 3.21494E-03
-4.02157E-08, 2.609329E-02, -7.37534E-03, 3.88941E-03
-4.01907E-08, 3.399721E-02, -6.00533E-03, 4.69034E-03
-4.01657E-08, 3.821263E-02, -3.89762E-03, 5.32265E-03
-4.01407E-08, 3.663185E-02, -1.36837E-03, 5.44912E-03
-4.01157E-08, 2.556636E-02, 1.05550E-03, 5.23835E-03
-4.00907E-08, 7.65082E-03, 2.63629E-03, 4.22664E-03
-4.00657E-08, -1.658787E-02, 2.84706E-03, 2.83555E-03
-4.00407E-08, -4.029962E-02, 1.47704E-03, 9.8077E-04
-4.00157E-08, -5.716131E-02, -1.05221E-03, -8.7402E-04
-3.99907E-08, -6.559216E-02, -4.21378E-03, -2.39157E-03
-3.99657E-08, -6.506523E-02, -6.95380E-03, -3.36112E-03
-3.99407E-08, -5.874210E-02, -9.37767E-03, -3.86697E-03
-3.99157E-08, -4.978433E-02, -1.053691E-02, -3.65620E-03
-3.98907E-08, -4.714968E-02, -1.074768E-02, -3.06604E-03
-3.98657E-08, -5.083818E-02, -9.79921E-03, -2.01218E-03
-3.98407E-08, -5.874210E-02, -8.42920E-03, -1.08479E-03
-3.98157E-08, -6.875373E-02, -6.74303E-03, -7.309E-05
-3.97907E-08, -7.454994E-02, -5.79456E-03, 8.5431E-04
-3.97657E-08, -7.033451E-02, -5.37302E-03, 1.57093E-03
-3.97407E-08, -5.558053E-02, -5.47840E-03, 2.16109E-03
-3.97157E-08, -3.397649E-02, -6.53226E-03, 2.75125E-03
-3.96907E-08, -9.73780E-03, -7.90227E-03, 3.34140E-03
-3.96657E-08, 7.12389E-03, -9.79921E-03, 4.01587E-03
-3.96407E-08, 1.555473E-02, -1.138000E-02, 4.35311E-03
-3.96157E-08, 1.028545E-02, -1.232847E-02, 4.73249E-03
-3.95907E-08, -3.41467E-03, -1.232847E-02, 4.81680E-03
-3.95657E-08, -2.080329E-02, -1.138000E-02, 4.77465E-03
-3.95407E-08, -3.292263E-02, -9.06151E-03, 4.47957E-03
-3.95157E-08, -3.608420E-02, -5.79456E-03, 4.05803E-03
-3.94907E-08, -2.712642E-02, -2.00068E-03, 3.63648E-03
-3.94657E-08, -9.73780E-03, 1.05550E-03, 3.21494E-03
-3.94407E-08, 1.081238E-02, 3.90091E-03, 2.66694E-03
-3.94157E-08, 2.820100E-02, 5.16554E-03, 2.24539E-03
-3.93907E-08, 3.452414E-02, 5.27093E-03, 1.95032E-03
-3.93657E-08, 2.978179E-02, 3.79553E-03, 1.61308E-03
-3.93407E-08, 1.766245E-02, 1.79320E-03, 1.19154E-03
-3.93157E-08, 2.7382E-04, -6.3067E-04, 9.8077E-04
-3.92907E-08, -1.658787E-02, -2.94915E-03, 8.5431E-04
-3.92657E-08, -2.607257E-02, -5.26763E-03, 8.1215E-04
-3.92407E-08, -2.870721E-02, -7.16457E-03, 1.02292E-03
-3.92157E-08, -2.291100E-02, -8.63997E-03, 1.23369E-03
-3.91907E-08, -1.448016E-02, -1.011537E-02, 1.69739E-03
-3.91657E-08, -5.52238E-03, -1.106384E-02, 2.28755E-03
-3.91407E-08, -1.83389E-03, -1.148538E-02, 2.79340E-03
-3.91157E-08, -1.30696E-03, -1.106384E-02, 3.21494E-03
-3.90907E-08, -6.57624E-03, -9.90460E-03, 3.42571E-03
-3.90657E-08, -1.289937E-02, -7.48073E-03, 3.34140E-03
-3.90407E-08, -1.711480E-02, -4.74070E-03, 2.96202E-03
-3.90157E-08, -1.764172E-02, -1.68452E-03, 2.49832E-03
-3.89907E-08, -1.658787E-02, 9.5012E-04, 1.78170E-03
-3.89657E-08, -1.606094E-02, 2.84706E-03, 1.14939E-03
-3.89407E-08, -1.658787E-02, 3.90091E-03, 6.8569E-04
-3.89157E-08, -2.238407E-02, 4.11168E-03, 3.4845E-04
-3.88907E-08, -3.450342E-02, 3.79553E-03, 2.6415E-04
-3.88657E-08, -4.978433E-02, 3.05783E-03, 4.3276E-04
-3.88407E-08, -6.348445E-02, 1.89859E-03, 4.7492E-04
-3.88157E-08, -7.086144E-02, 6.3396E-04, 7.7000E-04
-3.87907E-08, -6.980758E-02, -8.4144E-04, 1.02292E-03
-3.87657E-08, -5.874210E-02, -2.31684E-03, 1.44446E-03
-3.87407E-08, -3.713806E-02, -4.10839E-03, 1.99247E-03
-3.87157E-08, -1.184552E-02, -5.58379E-03, 2.79340E-03
-3.86907E-08, 1.239317E-02, -6.21610E-03, 3.84726E-03
-3.86657E-08, 3.241643E-02, -6.00533E-03, 4.94327E-03
-3.86407E-08, 4.717040E-02, -4.31916E-03, 5.87066E-03
-3.86157E-08, 5.085890E-02, -1.47375E-03, 6.46082E-03
-3.85907E-08, 4.717040E-02, 1.47704E-03, 6.54513E-03
-3.85657E-08, 3.873956E-02, 4.42784E-03, 5.99712E-03
-3.85407E-08, 2.503943E-02, 6.21940E-03, 4.85896E-03
-3.85157E-08, 1.239317E-02, 5.58708E-03, 3.46787E-03
-3.84907E-08, -1.30696E-03, 3.47937E-03, 2.11893E-03
-3.84657E-08, -1.237244E-02, -6.3067E-04, 8.9646E-04
-3.84407E-08, -1.816865E-02, -5.47840E-03, 5.338E-05
-3.84157E-08, -1.816865E-02, -9.69383E-03, -4.5248E-04
-3.83907E-08, -1.184552E-02, -1.317155E-02, -7.4756E-04
-3.83657E-08, 2.7382E-04, -1.475233E-02, -8.7402E-04
-3.83407E-08, 1.397395E-02, -1.454156E-02, -1.08479E-03
-3.83157E-08, 2.556636E-02, -1.317155E-02, -1.16910E-03
-3.82907E-08, 3.083564E-02, -1.095845E-02, -1.16910E-03
-3.82657E-08, 2.556636E-02, -9.27228E-03, -9.1617E-04
-3.82407E-08, 9.75853E-03, -8.53459E-03, -2.8386E-04
-3.82157E-08, -1.395323E-02, -9.06151E-03, 6.8569E-04
-3.81907E-08, -4.188041E-02, -1.074768E-02, 1.90816E-03
-3.81657E-08, -6.453831E-02, -1.275001E-02, 3.00417E-03
-3.81407E-08, -7.560379E-02, -1.475233E-02, 3.55218E-03
-3.81157E-08, -7.349608E-02, -1.549003E-02, 3.55218E-03
-3.80907E-08, -6.032288E-02, -1.475233E-02, 2.91986E-03
-3.80657E-08, -3.977269E-02, -1.253924E-02, 1.73954E-03
-3.80407E-08, -1.922251E-02, -8.63997E-03, 2.2199E-04
-3.80157E-08, -5.52238E-03, -4.63532E-03, -1.04263E-03
-3.79907E-08, 8.0075E-04, -9.4682E-04, -1.97003E-03
-3.79657E-08, -2.88774E-03, 1.37166E-03, -2.13864E-03
-3.79407E-08, -1.131859E-02, 2.32013E-03, -1.80141E-03
-3.79157E-08, -1.974943E-02, 1.05550E-03, -8.7402E-04
-3.78907E-08, -2.501871E-02, -1.47375E-03, 1.7984E-04
-3.78657E-08, -2.343793E-02, -4.52993E-03, 1.40231E-03
-3.78407E-08, -1.658787E-02, -7.79689E-03, 2.37186E-03
-3.78157E-08, -9.21088E-03, -9.69383E-03, 3.00417E-03
-3.77907E-08, -2.88774E-03, -1.000998E-02, 3.38356E-03
-3.77657E-08, -2.88774E-03, -8.74536E-03, 3.55218E-03
-3.77407E-08, -7.63009E-03, -5.58379E-03, 3.46787E-03
-3.77157E-08, -1.658787E-02, -1.57914E-03, 3.25710E-03
-3.76907E-08, -2.765335E-02, 2.63629E-03, 3.08848E-03
-3.76657E-08, -3.503034E-02, 5.90324E-03, 2.91986E-03
-3.76407E-08, -3.871884E-02, 7.48402E-03, 2.75125E-03
-3.76157E-08, -3.819191E-02, 7.06248E-03, 2.58263E-03
-3.75907E-08, -3.713806E-02, 4.74400E-03, 2.49832E-03
-3.75657E-08, -3.503034E-02, 1.16089E-03, 2.37186E-03
-3.75407E-08, -3.397649E-02, -2.73838E-03, 2.07678E-03
