,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,4005,4005,4005
Count:              ,1,1,1
XDispRange:         ,1.00000E-07,1.00000E-07,1.00000E-07
XDispOrg:           ,-2.4836000000E-08,-2.4836000000E-08,-2.4836000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-2.4864678832E-08,-2.4864678832E-08,-2.4864678832E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,8.00000E-01
YDispOrg:           ,-3.40000009536743E+00,-1.89999997615814E-01,3.01999986171722E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.3173196748539E-05
YOrg:               ,-3.28354070588684E+00,-1.66708141498989E-01,3.13645929250506E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,14 JAN 2025,14 JAN 2025,14 JAN 2025
Time:               ,10:53:02,10:53:02,10:53:02
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-2.48647E-08, 7.825915E-02, -3.423848E-02, 3.86503E-03
-2.48397E-08, 6.403210E-02, -4.330163E-02, 3.86503E-03
-2.48147E-08, 4.032034E-02, -4.825476E-02, 3.02195E-03
-2.47897E-08, 1.344702E-02, -4.867630E-02, 1.86271E-03
-2.47647E-08, -9.21088E-03, -4.509319E-02, 5.9808E-04
-2.47397E-08, -2.291100E-02, -3.834851E-02, -4.0308E-04
-2.47147E-08, -2.765335E-02, -2.981228E-02, -9.8270E-04
-2.46897E-08, -2.607257E-02, -2.085451E-02, -9.3001E-04
-2.46647E-08, -2.291100E-02, -1.326675E-02, -3.5039E-04
-2.46397E-08, -2.133022E-02, -7.15438E-03, 2.2923E-04
-2.46147E-08, -2.027636E-02, -2.93896E-03, 1.01962E-03
-2.45897E-08, -2.133022E-02, -1.9893E-04, 1.59924E-03
-2.45647E-08, -2.080329E-02, 9.6031E-04, 2.33694E-03
-2.45397E-08, -1.553401E-02, 2.22493E-03, 3.12734E-03
-2.45147E-08, -3.94160E-03, 2.75186E-03, 4.07581E-03
-2.44897E-08, 7.65082E-03, 2.64648E-03, 4.97158E-03
-2.44647E-08, 2.135094E-02, 2.33032E-03, 5.81467E-03
-2.44397E-08, 2.662022E-02, 1.48723E-03, 6.13082E-03
-2.44147E-08, 2.345865E-02, -9.355E-05, 5.49851E-03
-2.43897E-08, 1.081238E-02, -1.56895E-03, 3.97042E-03
-2.43647E-08, -9.21088E-03, -2.51742E-03, 1.75732E-03
-2.43397E-08, -2.818028E-02, -2.93896E-03, -7.1924E-04
-2.43147E-08, -4.293426E-02, -2.72819E-03, -2.87964E-03
-2.42897E-08, -4.609583E-02, -1.46356E-03, -3.88081E-03
-2.42647E-08, -3.766498E-02, 6.4415E-04, -3.67003E-03
-2.42397E-08, -2.027636E-02, 3.59495E-03, -2.30002E-03
-2.42147E-08, 3.96232E-03, 6.96728E-03, -3.423E-05
-2.41897E-08, 2.398558E-02, 1.107732E-02, 2.12617E-03
-2.41647E-08, 3.557799E-02, 1.645199E-02, 3.86503E-03
-2.41397E-08, 3.768570E-02, 2.266973E-02, 4.33927E-03
-2.41147E-08, 3.083564E-02, 2.930903E-02, 3.54888E-03
-2.40897E-08, 1.818937E-02, 3.531601E-02, 1.75732E-03
-2.40647E-08, 5.01618E-03, 3.953143E-02, -5.6116E-04
-2.40397E-08, -3.94160E-03, 4.058528E-02, -3.03772E-03
-2.40147E-08, -4.46853E-03, 3.784526E-02, -4.61850E-03
-2.39897E-08, 8.0075E-04, 3.067904E-02, -5.35620E-03
-2.39647E-08, 9.23160E-03, 1.961355E-02, -4.93466E-03
-2.39397E-08, 1.818937E-02, 6.12420E-03, -3.98619E-03
-2.39147E-08, 2.135094E-02, -8.52439E-03, -2.56349E-03
-2.38897E-08, 1.871630E-02, -2.264606E-02, -1.24617E-03
-2.38647E-08, 7.65082E-03, -3.518695E-02, -5.0847E-04
-2.38397E-08, -4.99545E-03, -4.540934E-02, -5.0847E-04
-2.38147E-08, -1.764172E-02, -5.320788E-02, -8.7732E-04
-2.37897E-08, -2.765335E-02, -5.826639E-02, -1.45694E-03
-2.37647E-08, -2.923414E-02, -6.142795E-02, -1.93117E-03
-2.37397E-08, -2.080329E-02, -6.216565E-02, -1.82579E-03
-2.37147E-08, -8.68395E-03, -6.005794E-02, -1.14078E-03
-2.36897E-08, 5.54310E-03, -5.584252E-02, -8.692E-05
-2.36647E-08, 1.871630E-02, -4.825476E-02, 1.54655E-03
-2.36397E-08, 2.556636E-02, -3.834851E-02, 3.28541E-03
-2.36147E-08, 2.714715E-02, -2.717764E-02, 4.70812E-03
-2.35897E-08, 2.187787E-02, -1.547984E-02, 5.65659E-03
-2.35647E-08, 1.502781E-02, -4.94129E-03, 5.86736E-03
-2.35397E-08, 7.65082E-03, 3.91110E-03, 5.39313E-03
-2.35147E-08, 6.07003E-03, 9.39115E-03, 4.28658E-03
-2.34897E-08, 9.23160E-03, 1.170964E-02, 3.23272E-03
-2.34647E-08, 1.608166E-02, 1.139348E-02, 2.54771E-03
-2.34397E-08, 2.451251E-02, 9.81269E-03, 2.23156E-03
-2.34147E-08, 2.978179E-02, 7.38883E-03, 2.70579E-03
-2.33897E-08, 2.925486E-02, 5.38650E-03, 3.81234E-03
-2.33647E-08, 2.187787E-02, 4.22726E-03, 5.07697E-03
-2.33397E-08, 1.081238E-02, 4.54342E-03, 5.86736E-03
-2.33147E-08, -2.5310E-04, 6.01881E-03, 6.02544E-03
-2.32897E-08, -9.73780E-03, 9.07500E-03, 5.23505E-03
-2.32647E-08, -1.184552E-02, 1.360658E-02, 3.81234E-03
-2.32397E-08, -8.15702E-03, 1.961355E-02, 2.17887E-03
-2.32147E-08, -1.30696E-03, 2.762286E-02, 9.1424E-04
-2.31897E-08, 5.54310E-03, 3.700217E-02, 7.0347E-04
-2.31647E-08, 7.12389E-03, 4.711919E-02, 1.49386E-03
-2.31397E-08, 5.01618E-03, 5.607696E-02, 3.28541E-03
-2.31147E-08, -4.46853E-03, 6.303241E-02, 5.60390E-03
-2.30897E-08, -1.606094E-02, 6.566705E-02, 7.50084E-03
-2.30647E-08, -2.607257E-02, 6.324318E-02, 8.39661E-03
-2.30397E-08, -3.028799E-02, 5.533926E-02, 7.86969E-03
-2.30147E-08, -2.607257E-02, 4.195530E-02, 5.86736E-03
-2.29897E-08, -1.342630E-02, 2.467206E-02, 3.18003E-03
-2.29647E-08, 2.38154E-03, 4.33264E-03, 2.2923E-04
-2.29397E-08, 2.240480E-02, -1.632293E-02, -2.24733E-03
-2.29147E-08, 3.821263E-02, -3.687311E-02, -3.98619E-03
-2.28897E-08, 4.769734E-02, -5.573713E-02, -4.46043E-03
-2.28647E-08, 5.243969E-02, -7.238805E-02, -3.98619E-03
-2.28397E-08, 5.085890E-02, -8.566663E-02, -2.93234E-03
-2.28147E-08, 4.611655E-02, -9.588904E-02, -1.82579E-03
-2.27897E-08, 3.926649E-02, -1.0231756E-01, -7.1924E-04
-2.27647E-08, 3.241643E-02, -1.0431989E-01, -8.692E-05
-2.27397E-08, 2.872793E-02, -1.0179063E-01, 7.115E-05
-2.27147E-08, 2.556636E-02, -9.441364E-02, -1.9231E-04
-2.26897E-08, 2.503943E-02, -8.229430E-02, -8.7732E-04
-2.26647E-08, 2.187787E-02, -6.574876E-02, -1.66771E-03
-2.26397E-08, 1.766245E-02, -4.519857E-02, -2.35271E-03
-2.26147E-08, 1.081238E-02, -2.201375E-02, -2.77426E-03
-2.25897E-08, -2.5310E-04, 2.43570E-03, -2.82695E-03
-2.25647E-08, -1.500708E-02, 2.593669E-02, -2.24733E-03
-2.25397E-08, -2.765335E-02, 4.711919E-02, -1.45694E-03
-2.25147E-08, -3.819191E-02, 6.419165E-02, -4.0308E-04
-2.24897E-08, -4.609583E-02, 7.578406E-02, 7.0347E-04
-2.24647E-08, -4.662276E-02, 8.126412E-02, 1.38847E-03
-2.24397E-08, -3.924577E-02, 8.073719E-02, 1.54655E-03
-2.24147E-08, -2.765335E-02, 7.473021E-02, 1.28309E-03
-2.23897E-08, -1.606094E-02, 6.471858E-02, 6.5077E-04
-2.23647E-08, -6.04931E-03, 5.186154E-02, -1.3962E-04
-2.23397E-08, -3.41467E-03, 3.700217E-02, -7.1924E-04
-2.23147E-08, -6.57624E-03, 2.087818E-02, -8.2462E-04
-2.22897E-08, -1.816865E-02, 4.12187E-03, -5.0847E-04
-2.22647E-08, -3.450342E-02, -1.263443E-02, 1.846E-05
-2.22397E-08, -4.820354E-02, -2.939074E-02, 2.2923E-04
-2.22147E-08, -5.821517E-02, -4.530396E-02, -3.423E-05
-2.21897E-08, -5.979595E-02, -5.910947E-02, -7.1924E-04
-2.21647E-08, -5.189203E-02, -6.933187E-02, -2.19464E-03
-2.21397E-08, -3.450342E-02, -7.481192E-02, -3.77542E-03
-2.21147E-08, -1.184552E-02, -7.449576E-02, -5.14543E-03
-2.20897E-08, 1.081238E-02, -6.869956E-02, -5.88313E-03
-2.20647E-08, 2.872793E-02, -5.773946E-02, -5.56697E-03
-2.20397E-08, 4.032034E-02, -4.224778E-02, -4.46043E-03
-2.20147E-08, 4.242805E-02, -2.464839E-02, -2.40541E-03
-2.19897E-08, 3.715878E-02, -6.73284E-03, -1.3962E-04
-2.19647E-08, 2.820100E-02, 9.60192E-03, 1.96809E-03
-2.19397E-08, 1.818937E-02, 2.403975E-02, 3.28541E-03
-2.19147E-08, 1.028545E-02, 3.531601E-02, 3.70696E-03
-2.18897E-08, 6.59696E-03, 4.343069E-02, 3.07464E-03
-2.18647E-08, 6.59696E-03, 4.775150E-02, 1.91540E-03
-2.18397E-08, 6.07003E-03, 4.943767E-02, 2.8192E-04
-2.18147E-08, 7.12389E-03, 4.806766E-02, -1.24617E-03
-2.17897E-08, 2.38154E-03, 4.458993E-02, -2.19464E-03
-2.17647E-08, -3.94160E-03, 3.858296E-02, -2.35271E-03
-2.17397E-08, -1.448016E-02, 3.110058E-02, -1.50963E-03
-2.17147E-08, -2.291100E-02, 2.309128E-02, 7.115E-05
-2.16897E-08, -2.712642E-02, 1.518736E-02, 2.23156E-03
-2.16647E-08, -2.396486E-02, 8.54807E-03, 4.49735E-03
-2.16397E-08, -1.289937E-02, 3.17340E-03, 6.18352E-03
-2.16147E-08, 1.32768E-03, 1.184E-05, 7.07929E-03
-2.15897E-08, 1.450088E-02, -1.25279E-03, 6.92122E-03
-2.15647E-08, 2.345865E-02, -3.0432E-04, 5.81467E-03
-2.15397E-08, 2.451251E-02, 1.80339E-03, 3.91773E-03
-2.15147E-08, 1.766245E-02, 4.33264E-03, 2.23156E-03
-2.14897E-08, 3.96232E-03, 6.86190E-03, 1.17770E-03
-2.14647E-08, -1.237244E-02, 8.12653E-03, 1.28309E-03
-2.14397E-08, -2.554564E-02, 7.70498E-03, 2.49502E-03
-2.14147E-08, -3.397649E-02, 5.49189E-03, 4.44466E-03
-2.13897E-08, -3.661112E-02, 1.17108E-03, 6.44698E-03
-2.13647E-08, -3.608420E-02, -5.25744E-03, 7.65892E-03
-2.13397E-08, -3.344956E-02, -1.252905E-02, 7.50084E-03
-2.13147E-08, -3.292263E-02, -2.022219E-02, 5.60390E-03
-2.12897E-08, -3.397649E-02, -2.728303E-02, 2.75849E-03
-2.12647E-08, -3.608420E-02, -3.392232E-02, -3.5039E-04
-2.12397E-08, -3.503034E-02, -3.950775E-02, -2.77426E-03
-2.12147E-08, -2.818028E-02, -4.372318E-02, -3.72273E-03
-2.11897E-08, -1.606094E-02, -4.656859E-02, -2.40541E-03
-2.11647E-08, 2.38154E-03, -4.814937E-02, 5.4539E-04
-2.11397E-08, 2.240480E-02, -4.783322E-02, 3.97042E-03
-2.11147E-08, 3.663185E-02, -4.488242E-02, 6.86852E-03
-2.10897E-08, 4.295498E-02, -3.898083E-02, 8.29123E-03
-2.10647E-08, 3.663185E-02, -2.970690E-02, 7.55353E-03
-2.10397E-08, 2.029708E-02, -1.769294E-02, 4.70812E-03
-2.10147E-08, -1.30696E-03, -3.78204E-03, 9.1424E-04
-2.09897E-08, -2.291100E-02, 1.055039E-02, -2.82695E-03
-2.09647E-08, -3.713806E-02, 2.382898E-02, -5.19812E-03
-2.09397E-08, -4.029962E-02, 3.468369E-02, -5.83044E-03
-2.09147E-08, -3.239570E-02, 4.174452E-02, -4.19696E-03
-2.08897E-08, -1.816865E-02, 4.448455E-02, -1.29886E-03
-2.08647E-08, -3.94160E-03, 4.364146E-02, 2.12617E-03
-2.08397E-08, 5.54310E-03, 3.953143E-02, 4.81350E-03
-2.08147E-08, 7.65082E-03, 3.278675E-02, 5.81467E-03
-2.07897E-08, -2.5310E-04, 2.403975E-02, 5.18235E-03
-2.07647E-08, -1.184552E-02, 1.434427E-02, 3.28541E-03
-2.07397E-08, -2.449179E-02, 4.64880E-03, 8.0885E-04
-2.07147E-08, -3.239570E-02, -4.83590E-03, -1.61502E-03
-2.06897E-08, -3.450342E-02, -1.358290E-02, -2.87964E-03
-2.06647E-08, -2.870721E-02, -2.043296E-02, -2.93234E-03
-2.06397E-08, -1.922251E-02, -2.528070E-02, -1.77309E-03
-2.06147E-08, -9.21088E-03, -2.654533E-02, 1.2385E-04
-2.05897E-08, -1.30696E-03, -2.496454E-02, 1.70463E-03
-2.05647E-08, 1.32768E-03, -2.032758E-02, 3.18003E-03
-2.05397E-08, 2.90846E-03, -1.316136E-02, 3.81234E-03
-2.05147E-08, 4.48925E-03, -3.88743E-03, 3.54888E-03
-2.04897E-08, 7.65082E-03, 6.12420E-03, 2.96926E-03
-2.04647E-08, 1.186624E-02, 1.560890E-02, 1.96809E-03
-2.04397E-08, 1.924323E-02, 2.361820E-02, 9.6693E-04
-2.04147E-08, 2.556636E-02, 2.899287E-02, 1.2385E-04
-2.03897E-08, 2.609329E-02, 3.025750E-02, -3.5039E-04
-2.03647E-08, 2.029708E-02, 2.709593E-02, -8.7732E-04
-2.03397E-08, 8.70467E-03, 1.940278E-02, -1.24617E-03
-2.03147E-08, -4.99545E-03, 7.07267E-03, -1.45694E-03
-2.02897E-08, -1.974943E-02, -8.94594E-03, -1.45694E-03
-2.02647E-08, -3.028799E-02, -2.759918E-02, -1.29886E-03
-2.02397E-08, -3.292263E-02, -4.720090E-02, -1.08809E-03
-2.02147E-08, -2.765335E-02, -6.659184E-02, -7.1924E-04
-2.01897E-08, -1.711480E-02, -8.398046E-02, -3.423E-05
-2.01647E-08, -6.04931E-03, -9.757520E-02, 2.2923E-04
-2.01397E-08, 2.90846E-03, -1.0621683E-01, 3.3462E-04
-2.01147E-08, 6.07003E-03, -1.0916762E-01, -8.692E-05
-2.00897E-08, 2.90846E-03, -1.0547912E-01, -7.1924E-04
-2.00647E-08, -4.46853E-03, -9.451903E-02, -1.40424E-03
-2.00397E-08, -1.026473E-02, -7.670886E-02, -2.03656E-03
-2.00147E-08, -1.237244E-02, -5.278634E-02, -2.45810E-03
-1.99897E-08, -6.57624E-03, -2.464839E-02, -2.24733E-03
-1.99647E-08, 5.54310E-03, 5.80804E-03, -1.56232E-03
-1.99397E-08, 2.345865E-02, 3.542139E-02, -7.1924E-04
-1.99147E-08, 4.137420E-02, 6.145163E-02, 1.7654E-04
-1.98897E-08, 5.454740E-02, 8.189642E-02, 8.6155E-04
-1.98647E-08, 5.823589E-02, 9.412115E-02, 1.28309E-03
-1.98397E-08, 5.243969E-02, 9.780965E-02, 1.44117E-03
-1.98147E-08, 3.557799E-02, 9.380500E-02, 1.12501E-03
-1.97897E-08, 1.133931E-02, 8.316106E-02, 1.01962E-03
-1.97647E-08, -1.448016E-02, 6.756399E-02, 1.17770E-03
-1.97397E-08, -3.503034E-02, 5.017537E-02, 1.28309E-03
-1.97147E-08, -4.767661E-02, 3.215444E-02, 1.81002E-03
-1.96897E-08, -4.925739E-02, 1.550352E-02, 2.33694E-03
-1.96647E-08, -3.977269E-02, 1.27646E-03, 3.02195E-03
-1.96397E-08, -2.080329E-02, -1.063211E-02, 3.28541E-03
-1.96147E-08, 2.7382E-04, -2.053835E-02, 3.65426E-03
-1.95897E-08, 2.029708E-02, -2.865304E-02, 3.60157E-03
-1.95647E-08, 3.241643E-02, -3.560849E-02, 3.54888E-03
-1.95397E-08, 3.663185E-02, -4.172085E-02, 3.12734E-03
-1.95147E-08, 3.188950E-02, -4.783322E-02, 2.70579E-03
-1.94897E-08, 1.977016E-02, -5.331326E-02, 2.38964E-03
-1.94647E-08, 3.43539E-03, -5.847716E-02, 2.17887E-03
-1.94397E-08, -1.026473E-02, -6.227104E-02, 2.28425E-03
-1.94147E-08, -1.974943E-02, -6.416798E-02, 3.02195E-03
-1.93897E-08, -2.185715E-02, -6.332489E-02, 4.07581E-03
-1.93647E-08, -1.764172E-02, -5.932024E-02, 5.34043E-03
-1.93397E-08, -7.63009E-03, -5.099478E-02, 6.55237E-03
-1.93147E-08, 4.48925E-03, -3.834851E-02, 7.76430E-03
-1.92897E-08, 1.660859E-02, -2.222452E-02, 8.23854E-03
-1.92647E-08, 2.556636E-02, -3.67666E-03, 7.81699E-03
-1.92397E-08, 3.030871E-02, 1.592506E-02, 6.28890E-03
-1.92147E-08, 3.083564E-02, 3.521062E-02, 4.02311E-03
-1.91897E-08, 2.556636E-02, 5.207231E-02, 1.38847E-03
-1.91647E-08, 1.713552E-02, 6.514012E-02, -1.03539E-03
-1.91397E-08, 5.54310E-03, 7.325481E-02, -2.77426E-03
-1.91147E-08, -8.68395E-03, 7.599483E-02, -3.40657E-03
-1.90897E-08, -2.501871E-02, 7.346558E-02, -2.72156E-03
-1.90647E-08, -4.293426E-02, 6.598321E-02, -1.14078E-03
-1.90397E-08, -6.032288E-02, 5.449618E-02, 9.1424E-04
-1.90147E-08, -7.349608E-02, 3.953143E-02, 2.70579E-03
-1.89897E-08, -8.140000E-02, 2.288051E-02, 4.02311E-03
-1.89647E-08, -7.981921E-02, 6.12420E-03, 4.33927E-03
-1.89397E-08, -6.928065E-02, -1.021056E-02, 3.49618E-03
