,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,4005,4005,4005
Count:              ,1,1,1
XDispRange:         ,1.00000E-07,1.00000E-07,1.00000E-07
XDispOrg:           ,-2.4836000000E-08,-2.4836000000E-08,-2.4836000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-2.4877804429E-08,-2.4877804429E-08,-2.4877804429E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,8.00000E-01
YDispOrg:           ,-3.40000009536743E+00,-1.89999997615814E-01,3.01999986171722E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.3173196748539E-05
YOrg:               ,-3.28354070588684E+00,-1.66708141498989E-01,3.13645929250506E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,14 JAN 2025,14 JAN 2025,14 JAN 2025
Time:               ,10:36:23,10:36:23,10:36:23
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-2.48778E-08, 2.293172E-02, -2.127605E-02, -1.93117E-03
-2.48528E-08, 1.555473E-02, -2.833688E-02, -2.35271E-03
-2.48278E-08, 6.07003E-03, -3.360616E-02, -2.03656E-03
-2.48028E-08, -3.94160E-03, -3.666234E-02, -1.03539E-03
-2.47778E-08, -1.395323E-02, -3.624080E-02, 5.9808E-04
-2.47528E-08, -2.185715E-02, -3.307923E-02, 2.12617E-03
-2.47278E-08, -2.712642E-02, -2.654533E-02, 3.39080E-03
-2.47028E-08, -3.028799E-02, -1.716601E-02, 4.33927E-03
-2.46778E-08, -3.028799E-02, -5.15206E-03, 4.70812E-03
-2.46528E-08, -2.712642E-02, 8.02114E-03, 4.70812E-03
-2.46278E-08, -2.133022E-02, 2.077279E-02, 4.55004E-03
-2.46028E-08, -1.395323E-02, 3.194366E-02, 4.49735E-03
-2.45778E-08, -7.63009E-03, 3.932066E-02, 4.60273E-03
-2.45528E-08, -2.88774E-03, 4.174452E-02, 4.33927E-03
-2.45278E-08, -2.88774E-03, 3.826680E-02, 3.81234E-03
-2.45028E-08, -7.10317E-03, 2.951980E-02, 3.07464E-03
-2.44778E-08, -1.816865E-02, 1.581967E-02, 1.70463E-03
-2.44528E-08, -2.818028E-02, -5.1509E-04, 1.2385E-04
-2.44278E-08, -3.608420E-02, -1.706063E-02, -1.45694E-03
-2.44028E-08, -3.819191E-02, -3.191999E-02, -2.56349E-03
-2.43778E-08, -3.292263E-02, -4.298548E-02, -2.77426E-03
-2.43528E-08, -1.922251E-02, -4.899246E-02, -2.30002E-03
-2.43278E-08, -1.30696E-03, -4.983554E-02, -1.19347E-03
-2.43028E-08, 1.344702E-02, -4.646320E-02, 3.3462E-04
-2.42778E-08, 2.135094E-02, -3.992930E-02, 2.02079E-03
-2.42528E-08, 2.345865E-02, -3.118229E-02, 3.02195E-03
-2.42278E-08, 1.713552E-02, -2.159221E-02, 3.65426E-03
-2.42028E-08, 5.54310E-03, -1.179135E-02, 3.81234E-03
-2.41778E-08, -3.94160E-03, -1.67433E-03, 3.70696E-03
-2.41528E-08, -7.10317E-03, 9.18038E-03, 3.60157E-03
-2.41278E-08, -3.94160E-03, 2.024587E-02, 3.70696E-03
-2.41028E-08, 5.01618E-03, 3.204905E-02, 4.28658E-03
-2.40778E-08, 1.502781E-02, 4.343069E-02, 4.86620E-03
-2.40528E-08, 1.924323E-02, 5.344232E-02, 5.44582E-03
-2.40278E-08, 1.450088E-02, 6.008161E-02, 5.60390E-03
-2.40028E-08, -7.8003E-04, 6.261086E-02, 5.44582E-03
-2.39778E-08, -2.396486E-02, 5.934392E-02, 4.65543E-03
-2.39528E-08, -4.925739E-02, 5.028075E-02, 3.18003E-03
-2.39278E-08, -6.875373E-02, 3.594832E-02, 1.54655E-03
-2.39028E-08, -7.823843E-02, 1.771661E-02, 1.846E-05
-2.38778E-08, -7.402301E-02, -3.36050E-03, -1.08809E-03
-2.38528E-08, -5.505360E-02, -2.443762E-02, -1.66771E-03
-2.38278E-08, -3.081492E-02, -4.414472E-02, -1.56232E-03
-2.38028E-08, -4.46853E-03, -6.016333E-02, -6.6655E-04
-2.37778E-08, 1.871630E-02, -7.154497E-02, 7.5616E-04
-2.37528E-08, 3.399721E-02, -7.670886E-02, 2.17887E-03
-2.37278E-08, 4.190113E-02, -7.491731E-02, 3.44349E-03
-2.37028E-08, 4.242805E-02, -6.648646E-02, 4.23388E-03
-2.36778E-08, 3.821263E-02, -5.183787E-02, 4.33927E-03
-2.36528E-08, 3.083564E-02, -3.297385E-02, 3.86503E-03
-2.36278E-08, 2.398558E-02, -1.189673E-02, 2.86387E-03
-2.36028E-08, 1.871630E-02, 8.75884E-03, 1.81002E-03
-2.35778E-08, 1.133931E-02, 2.646361E-02, 8.0885E-04
-2.35528E-08, 6.07003E-03, 3.974220E-02, 3.3462E-04
-2.35278E-08, 2.38154E-03, 4.732996E-02, 3.3462E-04
-2.35028E-08, -1.30696E-03, 4.869997E-02, 8.6155E-04
-2.34778E-08, -1.83389E-03, 4.522225E-02, 1.49386E-03
-2.34528E-08, -2.88774E-03, 3.805603E-02, 2.23156E-03
-2.34278E-08, -2.36081E-03, 2.846594E-02, 2.54771E-03
-2.34028E-08, -2.88774E-03, 1.740046E-02, 2.49502E-03
-2.33778E-08, -4.99545E-03, 5.80804E-03, 2.02079E-03
-2.33528E-08, -6.04931E-03, -5.99514E-03, 1.12501E-03
-2.33278E-08, -6.57624E-03, -1.811448E-02, 1.7654E-04
-2.33028E-08, -5.52238E-03, -2.981228E-02, -6.6655E-04
-2.32778E-08, -2.36081E-03, -4.087777E-02, -1.29886E-03
-2.32528E-08, 1.32768E-03, -4.951938E-02, -1.82579E-03
-2.32278E-08, 3.96232E-03, -5.478866E-02, -2.03656E-03
-2.32028E-08, 2.90846E-03, -5.531559E-02, -1.98386E-03
-2.31778E-08, -2.88774E-03, -4.973016E-02, -1.82579E-03
-2.31528E-08, -1.184552E-02, -3.803236E-02, -1.45694E-03
-2.31278E-08, -2.343793E-02, -2.138143E-02, -1.03539E-03
-2.31028E-08, -2.976106E-02, -1.25279E-03, -4.0308E-04
-2.30778E-08, -2.976106E-02, 1.950817E-02, 5.4539E-04
-2.30528E-08, -1.974943E-02, 3.858296E-02, 1.44117E-03
-2.30278E-08, -1.30696E-03, 5.291539E-02, 2.33694E-03
-2.30028E-08, 1.766245E-02, 6.071393E-02, 3.18003E-03
-2.29778E-08, 3.505107E-02, 6.071393E-02, 3.60157E-03
-2.29528E-08, 4.453577E-02, 5.323155E-02, 3.65426E-03
-2.29278E-08, 4.295498E-02, 3.910989E-02, 3.49618E-03
-2.29028E-08, 3.136257E-02, 2.035125E-02, 3.18003E-03
-2.28778E-08, 1.502781E-02, -8.3125E-04, 2.81118E-03
-2.28528E-08, -7.8003E-04, -2.138143E-02, 2.49502E-03
-2.28278E-08, -1.131859E-02, -3.908621E-02, 2.28425E-03
-2.28028E-08, -1.342630E-02, -5.131094E-02, 2.23156E-03
-2.27778E-08, -4.99545E-03, -5.647483E-02, 2.28425E-03
-2.27528E-08, 9.23160E-03, -5.394558E-02, 2.33694E-03
-2.27278E-08, 2.609329E-02, -4.435549E-02, 2.38964E-03
-2.27028E-08, 4.032034E-02, -2.886381E-02, 2.65310E-03
-2.26778E-08, 4.506269E-02, -9.78902E-03, 2.96926E-03
-2.26528E-08, 4.506269E-02, 9.60192E-03, 3.39080E-03
-2.26278E-08, 3.452414E-02, 2.677977E-02, 3.75965E-03
-2.26028E-08, 1.818937E-02, 3.921527E-02, 4.18119E-03
-2.25778E-08, -7.8003E-04, 4.543302E-02, 4.39196E-03
-2.25528E-08, -1.816865E-02, 4.501148E-02, 4.02311E-03
-2.25278E-08, -3.292263E-02, 3.879373E-02, 3.23272E-03
-2.25028E-08, -4.029962E-02, 2.846594E-02, 1.96809E-03
-2.24778E-08, -4.082655E-02, 1.655737E-02, 4.4000E-04
-2.24528E-08, -3.344956E-02, 5.28112E-03, -1.03539E-03
-2.24278E-08, -2.027636E-02, -3.67666E-03, -2.19464E-03
-2.24028E-08, -4.46853E-03, -8.62978E-03, -2.66887E-03
-2.23778E-08, 1.239317E-02, -1.063211E-02, -2.61618E-03
-2.23528E-08, 2.609329E-02, -9.68364E-03, -2.03656E-03
-2.23278E-08, 3.557799E-02, -7.57592E-03, -9.8270E-04
-2.23028E-08, 3.821263E-02, -5.99514E-03, 3.3462E-04
-2.22778E-08, 3.347028E-02, -6.31130E-03, 1.81002E-03
-2.22528E-08, 2.503943E-02, -9.47286E-03, 2.96926E-03
-2.22278E-08, 1.133931E-02, -1.590138E-02, 3.81234E-03
-2.22028E-08, -4.46853E-03, -2.433223E-02, 4.49735E-03
-2.21778E-08, -1.974943E-02, -3.371155E-02, 4.91889E-03
-2.21528E-08, -2.976106E-02, -4.214239E-02, 4.76081E-03
-2.21278E-08, -3.661112E-02, -4.772783E-02, 4.12850E-03
-2.21028E-08, -3.713806E-02, -4.878169E-02, 3.23272E-03
-2.20778E-08, -3.134185E-02, -4.446087E-02, 2.07348E-03
-2.20528E-08, -2.185715E-02, -3.455463E-02, 8.0885E-04
-2.20278E-08, -9.21088E-03, -1.969527E-02, -1.3962E-04
-2.20028E-08, -2.5310E-04, -2.30665E-03, -5.0847E-04
-2.19778E-08, 5.01618E-03, 1.539813E-02, -5.0847E-04
-2.19528E-08, 3.96232E-03, 3.120597E-02, -1.3962E-04
-2.19278E-08, -5.52238E-03, 4.300915E-02, 1.2385E-04
-2.19028E-08, -1.974943E-02, 4.933228E-02, 4.9270E-04
-2.18778E-08, -3.661112E-02, 4.975383E-02, 3.8731E-04
-2.18528E-08, -4.978433E-02, 4.480071E-02, -3.423E-05
-2.18278E-08, -5.874210E-02, 3.563216E-02, -5.6116E-04
-2.18028E-08, -5.979595E-02, 2.446129E-02, -8.2462E-04
-2.17778E-08, -5.241896E-02, 1.297426E-02, -7.7193E-04
-2.17528E-08, -4.135348E-02, 2.64648E-03, -1.9231E-04
-2.17278E-08, -2.712642E-02, -5.99514E-03, 8.0885E-04
-2.17028E-08, -1.448016E-02, -1.273982E-02, 1.70463E-03
-2.16778E-08, -5.52238E-03, -1.706063E-02, 2.28425E-03
-2.16528E-08, -2.5310E-04, -1.980065E-02, 2.38964E-03
-2.16278E-08, 4.48925E-03, -2.138143E-02, 1.54655E-03
-2.16028E-08, 6.07003E-03, -2.232991E-02, 3.3462E-04
-2.15778E-08, 8.70467E-03, -2.264606E-02, -1.03539E-03
-2.15528E-08, 1.028545E-02, -2.243529E-02, -2.24733E-03
-2.15278E-08, 1.028545E-02, -2.243529E-02, -2.82695E-03
-2.15028E-08, 7.12389E-03, -2.180298E-02, -2.56349E-03
-2.14778E-08, -1.30696E-03, -2.074912E-02, -1.72040E-03
-2.14528E-08, -1.079166E-02, -1.895757E-02, -4.0308E-04
-2.14278E-08, -1.764172E-02, -1.579600E-02, 8.6155E-04
-2.14028E-08, -2.185715E-02, -1.158058E-02, 1.81002E-03
-2.13778E-08, -1.869558E-02, -5.57360E-03, 2.02079E-03
-2.13528E-08, -6.57624E-03, 1.59262E-03, 1.59924E-03
-2.13278E-08, 8.17774E-03, 9.28577E-03, 5.4539E-04
-2.13028E-08, 2.398558E-02, 1.676814E-02, -6.1385E-04
-2.12778E-08, 3.294335E-02, 2.277512E-02, -1.87848E-03
-2.12528E-08, 3.505107E-02, 2.635823E-02, -2.93234E-03
-2.12278E-08, 2.767408E-02, 2.720132E-02, -3.45926E-03
-2.12028E-08, 1.450088E-02, 2.551514E-02, -3.40657E-03
-2.11778E-08, 2.38154E-03, 2.182665E-02, -2.72156E-03
-2.11528E-08, -5.52238E-03, 1.740046E-02, -1.72040E-03
-2.11278E-08, -7.63009E-03, 1.265811E-02, -4.5577E-04
-2.11028E-08, -3.94160E-03, 8.75884E-03, 9.1424E-04
-2.10778E-08, 2.38154E-03, 5.80804E-03, 2.17887E-03
-2.10528E-08, 6.59696E-03, 3.17340E-03, 2.96926E-03
-2.10278E-08, 6.59696E-03, 1.1722E-04, 3.54888E-03
-2.10028E-08, 1.85461E-03, -3.99282E-03, 3.75965E-03
-2.09778E-08, -8.68395E-03, -9.15671E-03, 3.75965E-03
-2.09528E-08, -1.869558E-02, -1.526907E-02, 3.70696E-03
-2.09278E-08, -2.343793E-02, -2.117066E-02, 3.49618E-03
-2.09028E-08, -2.238407E-02, -2.633456E-02, 3.44349E-03
-2.08778E-08, -1.606094E-02, -2.896920E-02, 3.44349E-03
-2.08528E-08, -6.57624E-03, -2.896920E-02, 3.39080E-03
-2.08278E-08, 1.32768E-03, -2.591302E-02, 3.12734E-03
-2.08028E-08, 2.90846E-03, -2.022219E-02, 2.75849E-03
-2.07778E-08, -2.36081E-03, -1.326675E-02, 2.17887E-03
-2.07528E-08, -1.079166E-02, -5.36283E-03, 1.59924E-03
-2.07278E-08, -1.922251E-02, 2.54109E-03, 1.44117E-03
-2.07028E-08, -2.343793E-02, 1.002347E-02, 1.86271E-03
-2.06778E-08, -1.974943E-02, 1.729507E-02, 2.96926E-03
-2.06528E-08, -7.63009E-03, 2.403975E-02, 4.49735E-03
-2.06278E-08, 1.133931E-02, 3.004673E-02, 6.13082E-03
-2.06028E-08, 3.030871E-02, 3.510523E-02, 7.65892E-03
-2.05778E-08, 4.348191E-02, 3.816142E-02, 8.29123E-03
-2.05528E-08, 5.033197E-02, 3.868834E-02, 7.86969E-03
-2.05278E-08, 4.611655E-02, 3.584293E-02, 6.13082E-03
-2.05028E-08, 3.452414E-02, 2.920364E-02, 3.75965E-03
-2.04778E-08, 1.924323E-02, 1.855970E-02, 9.6693E-04
-2.04528E-08, 2.90846E-03, 5.07034E-03, -1.40424E-03
-2.04278E-08, -7.10317E-03, -1.031595E-02, -2.87964E-03
-2.04028E-08, -1.342630E-02, -2.633456E-02, -3.03772E-03
-2.03778E-08, -1.606094E-02, -4.151008E-02, -2.14194E-03
-2.03528E-08, -1.395323E-02, -5.384019E-02, -5.6116E-04
-2.03278E-08, -1.184552E-02, -6.216565E-02, 9.1424E-04
-2.03028E-08, -8.15702E-03, -6.564338E-02, 2.28425E-03
-2.02778E-08, -6.04931E-03, -6.374644E-02, 2.44233E-03
-2.02528E-08, 2.7382E-04, -5.594790E-02, 1.65194E-03
-2.02278E-08, 8.70467E-03, -4.288009E-02, 2.8192E-04
-2.02028E-08, 1.871630E-02, -2.580763E-02, -1.14078E-03
-2.01778E-08, 3.030871E-02, -5.78437E-03, -1.98386E-03
-2.01528E-08, 3.979342E-02, 1.518736E-02, -2.03656E-03
-2.01278E-08, 4.664348E-02, 3.415676E-02, -1.08809E-03
-2.01028E-08, 4.558962E-02, 4.891074E-02, 7.5616E-04
-2.00778E-08, 3.873956E-02, 5.702543E-02, 2.75849E-03
-2.00528E-08, 2.820100E-02, 5.723620E-02, 4.55004E-03
-2.00278E-08, 1.555473E-02, 4.922690E-02, 5.65659E-03
-2.00028E-08, 3.96232E-03, 3.436754E-02, 5.70928E-03
-1.99778E-08, -3.94160E-03, 1.455505E-02, 5.12966E-03
-1.99528E-08, -9.73780E-03, -6.94361E-03, 3.81234E-03
-1.99278E-08, -1.184552E-02, -2.665071E-02, 2.54771E-03
-1.99028E-08, -1.395323E-02, -4.161546E-02, 1.59924E-03
-1.98778E-08, -1.764172E-02, -5.025708E-02, 1.28309E-03
-1.98528E-08, -1.974943E-02, -5.173248E-02, 1.59924E-03
-1.98278E-08, -2.027636E-02, -4.730628E-02, 2.28425E-03
-1.98028E-08, -1.816865E-02, -3.866467E-02, 3.07464E-03
-1.97778E-08, -1.131859E-02, -2.844227E-02, 3.65426E-03
-1.97528E-08, 2.7382E-04, -1.864141E-02, 3.75965E-03
-1.97278E-08, 1.239317E-02, -1.115903E-02, 3.49618E-03
-1.97028E-08, 2.451251E-02, -6.20591E-03, 2.91656E-03
-1.96778E-08, 3.347028E-02, -3.46589E-03, 2.28425E-03
-1.96528E-08, 3.557799E-02, -2.62280E-03, 1.59924E-03
-1.96278E-08, 3.241643E-02, -2.09587E-03, 1.17770E-03
-1.96028E-08, 2.503943E-02, -1.25279E-03, 1.01962E-03
-1.95778E-08, 1.555473E-02, 3.2799E-04, 1.07232E-03
-1.95528E-08, 8.70467E-03, 3.17340E-03, 1.44117E-03
-1.95278E-08, 6.07003E-03, 6.65113E-03, 2.02079E-03
-1.95028E-08, 8.17774E-03, 1.065578E-02, 2.86387E-03
-1.94778E-08, 1.186624E-02, 1.392273E-02, 3.70696E-03
-1.94528E-08, 1.502781E-02, 1.634660E-02, 4.55004E-03
-1.94278E-08, 1.502781E-02, 1.750584E-02, 5.02428E-03
-1.94028E-08, 7.12389E-03, 1.697891E-02, 5.12966E-03
-1.93778E-08, -6.57624E-03, 1.423889E-02, 4.76081E-03
-1.93528E-08, -2.238407E-02, 1.033962E-02, 4.02311E-03
-1.93278E-08, -3.766498E-02, 4.75419E-03, 2.96926E-03
-1.93028E-08, -4.873047E-02, -1.35818E-03, 2.17887E-03
-1.92778E-08, -5.241896E-02, -6.62745E-03, 1.59924E-03
-1.92528E-08, -4.556890E-02, -1.105365E-02, 1.44117E-03
-1.92278E-08, -3.344956E-02, -1.326675E-02, 1.59924E-03
-1.92028E-08, -1.816865E-02, -1.326675E-02, 1.91540E-03
-1.91778E-08, -3.41467E-03, -1.115903E-02, 2.07348E-03
-1.91528E-08, 6.07003E-03, -7.68131E-03, 1.70463E-03
-1.91278E-08, 8.17774E-03, -4.20359E-03, 1.01962E-03
-1.91028E-08, 3.96232E-03, -2.51742E-03, 1.7654E-04
-1.90778E-08, -4.99545E-03, -3.78204E-03, -7.7193E-04
-1.90528E-08, -1.342630E-02, -8.73517E-03, -1.14078E-03
-1.90278E-08, -1.711480E-02, -1.716601E-02, -1.14078E-03
-1.90028E-08, -1.500708E-02, -2.823150E-02, -4.0308E-04
-1.89778E-08, -6.57624E-03, -4.014007E-02, 9.1424E-04
