,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,4005,4005,4005
Count:              ,1,1,1
XDispRange:         ,1.00000E-07,1.00000E-07,1.00000E-07
XDispOrg:           ,-2.4836000000E-08,-2.4836000000E-08,-2.4836000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-2.4921698342E-08,-2.4921698342E-08,-2.4921698342E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,8.00000E-01
YDispOrg:           ,-3.40000009536743E+00,-1.89999997615814E-01,3.01999986171722E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.3173196748539E-05
YOrg:               ,-3.28354070588684E+00,-1.66708141498989E-01,3.13645929250506E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,14 JAN 2025,14 JAN 2025,14 JAN 2025
Time:               ,10:42:49,10:42:49,10:42:49
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-2.49217E-08, 7.12389E-03, 5.3876E-04, 5.23505E-03
-2.48967E-08, 7.65082E-03, 1.708430E-02, 5.39313E-03
-2.48717E-08, 8.70467E-03, 2.951980E-02, 5.12966E-03
-2.48467E-08, 8.70467E-03, 3.563216E-02, 4.39196E-03
-2.48217E-08, 8.70467E-03, 3.521062E-02, 3.70696E-03
-2.47967E-08, 7.65082E-03, 2.962518E-02, 2.81118E-03
-2.47717E-08, 4.48925E-03, 2.056202E-02, 2.17887E-03
-2.47467E-08, 2.7382E-04, 1.149886E-02, 1.75732E-03
-2.47217E-08, -5.52238E-03, 4.75419E-03, 1.54655E-03
-2.46967E-08, -1.026473E-02, 1.80339E-03, 1.65194E-03
-2.46717E-08, -1.606094E-02, 2.96263E-03, 1.91540E-03
-2.46467E-08, -2.027636E-02, 7.49421E-03, 2.38964E-03
-2.46217E-08, -2.607257E-02, 1.402812E-02, 3.12734E-03
-2.45967E-08, -2.976106E-02, 2.024587E-02, 4.07581E-03
-2.45717E-08, -3.397649E-02, 2.477745E-02, 5.02428E-03
-2.45467E-08, -3.661112E-02, 2.635823E-02, 5.97275E-03
-2.45217E-08, -3.555727E-02, 2.530438E-02, 6.44698E-03
-2.44967E-08, -2.923414E-02, 2.108895E-02, 6.44698E-03
-2.44717E-08, -1.764172E-02, 1.423889E-02, 5.81467E-03
-2.44467E-08, -7.8003E-04, 5.70266E-03, 4.65543E-03
-2.44217E-08, 1.660859E-02, -3.78204E-03, 3.28541E-03
-2.43967E-08, 3.505107E-02, -1.316136E-02, 1.86271E-03
-2.43717E-08, 4.822426E-02, -2.095989E-02, 6.5077E-04
-2.43467E-08, 5.191276E-02, -2.622917E-02, 7.115E-05
-2.43217E-08, 4.717040E-02, -2.812611E-02, -3.423E-05
-2.42967E-08, 3.452414E-02, -2.570224E-02, 2.8192E-04
-2.42717E-08, 1.766245E-02, -1.927372E-02, 8.0885E-04
-2.42467E-08, 1.32768E-03, -1.073749E-02, 1.33578E-03
-2.42217E-08, -1.184552E-02, -1.88510E-03, 1.75732E-03
-2.41967E-08, -1.711480E-02, 5.38650E-03, 1.86271E-03
-2.41717E-08, -1.500708E-02, 8.33730E-03, 1.65194E-03
-2.41467E-08, -7.10317E-03, 6.75651E-03, 1.44117E-03
-2.41217E-08, 4.48925E-03, 3.2799E-04, 1.17770E-03
-2.40967E-08, 1.502781E-02, -9.15671E-03, 8.6155E-04
-2.40717E-08, 2.029708E-02, -1.990604E-02, 7.0347E-04
-2.40467E-08, 2.029708E-02, -2.949612E-02, 7.5616E-04
-2.40217E-08, 1.292009E-02, -3.592464E-02, 8.6155E-04
-2.39967E-08, 1.85461E-03, -3.740004E-02, 1.01962E-03
-2.39717E-08, -1.237244E-02, -3.455463E-02, 1.01962E-03
-2.39467E-08, -2.607257E-02, -2.833688E-02, 1.23040E-03
-2.39217E-08, -3.503034E-02, -1.948449E-02, 1.65194E-03
-2.38967E-08, -3.977269E-02, -1.084288E-02, 1.96809E-03
-2.38717E-08, -3.766498E-02, -3.46589E-03, 2.44233E-03
-2.38467E-08, -3.028799E-02, 1.59262E-03, 2.96926E-03
-2.38217E-08, -2.027636E-02, 3.80572E-03, 3.44349E-03
-2.37967E-08, -8.68395E-03, 3.70033E-03, 3.91773E-03
-2.37717E-08, 3.96232E-03, 2.22493E-03, 4.23388E-03
-2.37467E-08, 1.239317E-02, 6.4415E-04, 4.44466E-03
-2.37217E-08, 1.608166E-02, 2.2261E-04, 4.55004E-03
-2.36967E-08, 1.608166E-02, 1.48723E-03, 4.44466E-03
-2.36717E-08, 1.081238E-02, 5.17573E-03, 4.23388E-03
-2.36467E-08, 2.38154E-03, 1.033962E-02, 4.07581E-03
-2.36217E-08, -8.15702E-03, 1.740046E-02, 3.86503E-03
-2.35967E-08, -2.080329E-02, 2.446129E-02, 3.44349E-03
-2.35717E-08, -3.186877E-02, 3.046827E-02, 3.02195E-03
-2.35467E-08, -4.135348E-02, 3.394599E-02, 2.91656E-03
-2.35217E-08, -4.662276E-02, 3.341907E-02, 2.70579E-03
-2.34967E-08, -4.820354E-02, 2.867671E-02, 2.44233E-03
-2.34717E-08, -4.188041E-02, 1.898124E-02, 2.23156E-03
-2.34467E-08, -3.134185E-02, 5.59727E-03, 2.33694E-03
-2.34217E-08, -1.606094E-02, -9.89441E-03, 2.17887E-03
-2.33967E-08, -2.5310E-04, -2.506993E-02, 2.02079E-03
-2.33717E-08, 1.344702E-02, -3.803236E-02, 1.96809E-03
-2.33467E-08, 2.082401E-02, -4.572550E-02, 1.91540E-03
-2.33217E-08, 2.029708E-02, -4.730628E-02, 1.75732E-03
-2.32967E-08, 1.239317E-02, -4.214239E-02, 1.59924E-03
-2.32717E-08, -1.83389E-03, -3.002305E-02, 1.23040E-03
-2.32467E-08, -1.764172E-02, -1.326675E-02, 1.07232E-03
-2.32217E-08, -3.081492E-02, 5.28112E-03, 8.6155E-04
-2.31967E-08, -3.819191E-02, 2.361820E-02, 7.0347E-04
-2.31717E-08, -3.661112E-02, 3.889911E-02, 9.1424E-04
-2.31467E-08, -2.976106E-02, 4.859459E-02, 1.49386E-03
-2.31217E-08, -1.711480E-02, 5.122923E-02, 2.38964E-03
-2.30967E-08, -3.41467E-03, 4.680303E-02, 3.54888E-03
-2.30717E-08, 8.70467E-03, 3.573754E-02, 4.81350E-03
-2.30467E-08, 1.555473E-02, 1.982432E-02, 5.92005E-03
-2.30217E-08, 1.660859E-02, 1.90878E-03, 6.55237E-03
-2.29967E-08, 1.292009E-02, -1.495291E-02, 6.49967E-03
-2.29717E-08, 4.48925E-03, -2.844227E-02, 5.76197E-03
-2.29467E-08, -3.41467E-03, -3.613542E-02, 4.49735E-03
-2.29217E-08, -1.131859E-02, -3.792697E-02, 3.02195E-03
-2.28967E-08, -1.711480E-02, -3.392232E-02, 1.44117E-03
-2.28717E-08, -1.974943E-02, -2.654533E-02, 1.2385E-04
-2.28467E-08, -1.974943E-02, -1.853602E-02, -4.5577E-04
-2.28217E-08, -1.922251E-02, -1.210750E-02, -4.0308E-04
-2.27967E-08, -1.869558E-02, -9.89441E-03, 2.8192E-04
-2.27717E-08, -1.711480E-02, -1.263443E-02, 1.44117E-03
-2.27467E-08, -1.606094E-02, -1.916834E-02, 2.65310E-03
-2.27217E-08, -1.606094E-02, -2.717764E-02, 3.75965E-03
-2.26967E-08, -1.395323E-02, -3.444925E-02, 4.39196E-03
-2.26717E-08, -7.10317E-03, -3.824313E-02, 4.33927E-03
-2.26467E-08, 2.38154E-03, -3.645157E-02, 3.86503E-03
-2.26217E-08, 1.608166E-02, -2.844227E-02, 3.18003E-03
-2.25967E-08, 3.294335E-02, -1.537446E-02, 2.28425E-03
-2.25717E-08, 5.085890E-02, 8.5492E-04, 1.70463E-03
-2.25467E-08, 6.561288E-02, 1.729507E-02, 1.54655E-03
-2.25217E-08, 7.140909E-02, 3.110058E-02, 1.81002E-03
-2.24967E-08, 6.877445E-02, 3.963681E-02, 2.28425E-03
-2.24717E-08, 5.402047E-02, 4.216607E-02, 2.91656E-03
-2.24467E-08, 3.030871E-02, 3.795064E-02, 3.07464E-03
-2.24217E-08, 2.90846E-03, 2.836056E-02, 2.81118E-03
-2.23967E-08, -2.396486E-02, 1.487120E-02, 1.86271E-03
-2.23717E-08, -4.398812E-02, 6.4415E-04, 7.0347E-04
-2.23467E-08, -5.452668E-02, -1.263443E-02, -5.6116E-04
-2.23217E-08, -5.189203E-02, -2.222452E-02, -1.45694E-03
-2.22967E-08, -3.819191E-02, -2.707226E-02, -1.82579E-03
-2.22717E-08, -2.027636E-02, -2.696687E-02, -1.50963E-03
-2.22467E-08, 2.7382E-04, -2.222452E-02, -5.6116E-04
-2.22217E-08, 1.766245E-02, -1.389906E-02, 8.0885E-04
-2.21967E-08, 3.083564E-02, -4.73051E-03, 1.96809E-03
-2.21717E-08, 3.663185E-02, 3.38418E-03, 3.02195E-03
-2.21467E-08, 3.610492E-02, 8.65345E-03, 3.54888E-03
-2.21217E-08, 3.505107E-02, 8.65345E-03, 3.70696E-03
-2.20967E-08, 3.399721E-02, 3.70033E-03, 3.39080E-03
-2.20717E-08, 3.557799E-02, -6.83823E-03, 3.07464E-03
-2.20467E-08, 3.768570E-02, -2.095989E-02, 2.96926E-03
-2.20217E-08, 4.084727E-02, -3.697850E-02, 2.91656E-03
-2.19967E-08, 4.242805E-02, -5.204864E-02, 3.23272E-03
-2.19717E-08, 4.295498E-02, -6.343028E-02, 3.65426E-03
-2.19467E-08, 4.137420E-02, -6.922649E-02, 4.23388E-03
-2.19217E-08, 3.610492E-02, -6.806725E-02, 4.70812E-03
-2.18967E-08, 3.399721E-02, -5.984717E-02, 4.86620E-03
-2.18717E-08, 3.188950E-02, -4.509319E-02, 4.60273E-03
-2.18467E-08, 3.030871E-02, -2.633456E-02, 4.07581E-03
-2.18217E-08, 2.820100E-02, -6.31130E-03, 3.60157E-03
-2.17967E-08, 2.240480E-02, 1.255272E-02, 3.23272E-03
-2.17717E-08, 1.186624E-02, 2.793901E-02, 3.12734E-03
-2.17467E-08, -2.88774E-03, 3.847757E-02, 3.28541E-03
-2.17217E-08, -2.396486E-02, 4.343069E-02, 3.86503E-03
-2.16967E-08, -4.082655E-02, 4.374685E-02, 4.33927E-03
-2.16717E-08, -5.399975E-02, 4.079605E-02, 4.65543E-03
-2.16467E-08, -5.821517E-02, 3.636986E-02, 4.60273E-03
-2.16217E-08, -4.873047E-02, 3.194366E-02, 4.02311E-03
-2.15967E-08, -3.081492E-02, 2.783363E-02, 3.02195E-03
-2.15717E-08, -7.10317E-03, 2.425052E-02, 1.91540E-03
-2.15467E-08, 1.555473E-02, 2.014048E-02, 9.6693E-04
-2.15217E-08, 2.872793E-02, 1.476582E-02, 8.0885E-04
-2.14967E-08, 3.188950E-02, 7.38883E-03, 1.12501E-03
-2.14717E-08, 2.082401E-02, -3.14973E-03, 1.96809E-03
-2.14467E-08, 2.38154E-03, -1.579600E-02, 3.33811E-03
-2.14217E-08, -2.080329E-02, -2.939074E-02, 4.33927E-03
-2.13967E-08, -3.713806E-02, -4.266932E-02, 4.86620E-03
-2.13717E-08, -4.714968E-02, -5.331326E-02, 4.70812E-03
-2.13467E-08, -4.662276E-02, -6.037410E-02, 3.86503E-03
-2.13217E-08, -3.766498E-02, -6.332489E-02, 2.81118E-03
-2.12967E-08, -2.501871E-02, -6.227104E-02, 1.86271E-03
-2.12717E-08, -1.395323E-02, -5.731792E-02, 1.59924E-03
-2.12467E-08, -8.68395E-03, -5.015170E-02, 2.17887E-03
-2.12217E-08, -8.68395E-03, -4.203701E-02, 3.44349E-03
-2.11967E-08, -1.131859E-02, -3.329001E-02, 5.23505E-03
-2.11717E-08, -1.500708E-02, -2.433223E-02, 6.71045E-03
-2.11467E-08, -1.606094E-02, -1.495291E-02, 7.86969E-03
-2.11217E-08, -1.289937E-02, -5.67898E-03, 8.02776E-03
-2.10967E-08, -4.46853E-03, 4.12187E-03, 7.18468E-03
-2.10717E-08, 2.90846E-03, 1.392273E-02, 5.60390E-03
-2.10467E-08, 7.12389E-03, 2.319666E-02, 3.97042E-03
-2.10217E-08, 6.07003E-03, 3.088981E-02, 2.75849E-03
-2.09967E-08, -1.83389E-03, 3.552677E-02, 2.49502E-03
-2.09717E-08, -1.342630E-02, 3.615909E-02, 3.28541E-03
-2.09467E-08, -2.607257E-02, 3.236521E-02, 5.18235E-03
-2.09217E-08, -3.713806E-02, 2.414513E-02, 7.81699E-03
-2.08967E-08, -4.029962E-02, 1.276349E-02, 1.034625E-02
-2.08717E-08, -3.924577E-02, -7.2586E-04, 1.213780E-02
-2.08467E-08, -3.344956E-02, -1.358290E-02, 1.277012E-02
-2.08217E-08, -2.449179E-02, -2.422685E-02, 1.182165E-02
-2.07967E-08, -1.289937E-02, -3.076075E-02, 9.60855E-03
-2.07717E-08, -3.41467E-03, -3.234154E-02, 6.65775E-03
-2.07467E-08, 6.59696E-03, -2.896920E-02, 3.60157E-03
-2.07217E-08, 1.660859E-02, -2.169759E-02, 1.28309E-03
-2.06967E-08, 2.820100E-02, -1.200212E-02, -3.423E-05
-2.06717E-08, 3.873956E-02, -1.77972E-03, -1.3962E-04
-2.06467E-08, 4.558962E-02, 7.28344E-03, 6.5077E-04
-2.06217E-08, 4.611655E-02, 1.318503E-02, 2.02079E-03
-2.05967E-08, 3.768570E-02, 1.603044E-02, 3.12734E-03
-2.05717E-08, 1.977016E-02, 1.560890E-02, 3.54888E-03
-2.05467E-08, -4.46853E-03, 1.265811E-02, 3.12734E-03
-2.05217E-08, -3.134185E-02, 8.12653E-03, 2.12617E-03
-2.04967E-08, -5.241896E-02, 3.27879E-03, 8.6155E-04
-2.04717E-08, -6.506523E-02, -9.3663E-04, -8.692E-05
-2.04467E-08, -6.717294E-02, -3.67666E-03, -1.9231E-04
-2.04217E-08, -5.874210E-02, -5.25744E-03, 7.0347E-04
-2.03967E-08, -4.293426E-02, -5.57360E-03, 2.28425E-03
-2.03717E-08, -2.870721E-02, -5.25744E-03, 4.18119E-03
-2.03467E-08, -1.922251E-02, -5.36283E-03, 5.70928E-03
-2.03217E-08, -1.764172E-02, -6.41668E-03, 6.44698E-03
-2.02967E-08, -2.449179E-02, -9.26209E-03, 6.02544E-03
-2.02717E-08, -3.713806E-02, -1.400444E-02, 4.44466E-03
-2.02467E-08, -5.136511E-02, -2.064374E-02, 2.33694E-03
-2.02217E-08, -6.084981E-02, -2.812611E-02, 1.7654E-04
-2.01967E-08, -6.348445E-02, -3.560849E-02, -1.45694E-03
-2.01717E-08, -5.979595E-02, -4.182624E-02, -2.14194E-03
-2.01467E-08, -5.031125E-02, -4.467165E-02, -1.87848E-03
-2.01217E-08, -4.082655E-02, -4.288009E-02, -7.7193E-04
-2.00967E-08, -3.134185E-02, -3.571387E-02, 6.5077E-04
-2.00717E-08, -2.449179E-02, -2.306760E-02, 2.07348E-03
-2.00467E-08, -2.396486E-02, -5.88976E-03, 3.18003E-03
-2.00217E-08, -2.396486E-02, 1.360658E-02, 4.02311E-03
-1.99967E-08, -2.238407E-02, 3.257598E-02, 4.18119E-03
-1.99717E-08, -1.711480E-02, 4.880536E-02, 3.97042E-03
-1.99467E-08, -7.63009E-03, 5.944930E-02, 3.75965E-03
-1.99217E-08, 6.59696E-03, 6.271625E-02, 3.60157E-03
-1.98967E-08, 2.345865E-02, 5.871160E-02, 3.54888E-03
-1.98717E-08, 3.926649E-02, 4.785689E-02, 3.49618E-03
-1.98467E-08, 5.085890E-02, 3.257598E-02, 3.39080E-03
-1.98217E-08, 5.454740E-02, 1.487120E-02, 3.18003E-03
-1.97967E-08, 5.243969E-02, -2.62280E-03, 2.54771E-03
-1.97717E-08, 4.400884E-02, -1.779833E-02, 1.70463E-03
-1.97467E-08, 2.978179E-02, -2.917997E-02, 5.9808E-04
-1.97217E-08, 1.028545E-02, -3.624080E-02, -4.5577E-04
-1.96967E-08, -9.21088E-03, -3.940237E-02, -1.19347E-03
-1.96717E-08, -2.923414E-02, -3.929698E-02, -1.45694E-03
-1.96467E-08, -4.504197E-02, -3.750543E-02, -9.8270E-04
-1.96217E-08, -5.874210E-02, -3.539772E-02, -8.692E-05
-1.95967E-08, -6.453831E-02, -3.371155E-02, 1.28309E-03
-1.95717E-08, -6.664602E-02, -3.307923E-02, 2.65310E-03
-1.95467E-08, -6.243059E-02, -3.329001E-02, 3.75965E-03
-1.95217E-08, -5.399975E-02, -3.381693E-02, 4.65543E-03
-1.94967E-08, -4.188041E-02, -3.371155E-02, 4.97158E-03
-1.94717E-08, -3.081492E-02, -3.181460E-02, 5.02428E-03
-1.94467E-08, -2.133022E-02, -2.728303E-02, 4.97158E-03
-1.94217E-08, -1.764172E-02, -1.990604E-02, 4.70812E-03
-1.93967E-08, -1.816865E-02, -9.47286E-03, 4.18119E-03
-1.93717E-08, -2.343793E-02, 3.06802E-03, 3.33811E-03
-1.93467E-08, -3.028799E-02, 1.666276E-02, 2.02079E-03
-1.93217E-08, -3.661112E-02, 2.920364E-02, 1.2385E-04
-1.92967E-08, -4.082655E-02, 3.900450E-02, -2.08925E-03
-1.92717E-08, -3.924577E-02, 4.490609E-02, -4.24965E-03
-1.92467E-08, -3.186877E-02, 4.543302E-02, -5.67236E-03
-1.92217E-08, -2.238407E-02, 4.069067E-02, -5.88313E-03
-1.91967E-08, -1.079166E-02, 3.110058E-02, -4.67120E-03
-1.91717E-08, -2.88774E-03, 1.834893E-02, -2.03656E-03
-1.91467E-08, 2.38154E-03, 4.33264E-03, 1.54655E-03
-1.91217E-08, 1.85461E-03, -8.84055E-03, 5.34043E-03
-1.90967E-08, -1.30696E-03, -1.948449E-02, 8.39661E-03
-1.90717E-08, -2.88774E-03, -2.601840E-02, 1.018817E-02
-1.90467E-08, -3.94160E-03, -2.749380E-02, 1.050433E-02
-1.90217E-08, 1.85461E-03, -2.422685E-02, 9.39778E-03
-1.89967E-08, 1.186624E-02, -1.716601E-02, 7.13199E-03
