,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,4005,4005,4005
Count:              ,1,1,1
XDispRange:         ,1.00000E-07,1.00000E-07,1.00000E-07
XDispOrg:           ,-2.4836000000E-08,-2.4836000000E-08,-2.4836000000E-08
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-2.4887811664E-08,-2.4887811664E-08,-2.4887811664E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,8.00000E-01
YDispOrg:           ,-3.40000009536743E+00,-1.89999997615814E-01,3.01999986171722E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.3173196748539E-05
YOrg:               ,-3.28354070588684E+00,-1.66708141498989E-01,3.13645929250506E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,14 JAN 2025,14 JAN 2025,14 JAN 2025
Time:               ,10:28:18,10:28:18,10:28:18
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-2.48878E-08, -1.079166E-02, -3.023382E-02, 1.38847E-03
-2.48628E-08, -8.15702E-03, -1.168596E-02, 7.115E-05
-2.48378E-08, -7.63009E-03, 5.07034E-03, -1.24617E-03
-2.48128E-08, -7.63009E-03, 1.813816E-02, -2.08925E-03
-2.47878E-08, -6.57624E-03, 2.635823E-02, -2.51079E-03
-2.47628E-08, -4.46853E-03, 2.930903E-02, -2.30002E-03
-2.47378E-08, -1.30696E-03, 2.720132E-02, -1.56232E-03
-2.47128E-08, 8.0075E-04, 2.119434E-02, -3.5039E-04
-2.46878E-08, 2.38154E-03, 1.213118E-02, 1.17770E-03
-2.46628E-08, 2.90846E-03, 2.11955E-03, 2.81118E-03
-2.46378E-08, 2.7382E-04, -7.57592E-03, 4.23388E-03
-2.46128E-08, -4.46853E-03, -1.579600E-02, 5.34043E-03
-2.45878E-08, -1.026473E-02, -2.148682E-02, 5.97275E-03
-2.45628E-08, -1.395323E-02, -2.454300E-02, 5.97275E-03
-2.45378E-08, -1.553401E-02, -2.485916E-02, 5.39313E-03
-2.45128E-08, -1.711480E-02, -2.317299E-02, 4.49735E-03
-2.44878E-08, -1.816865E-02, -1.990604E-02, 3.65426E-03
-2.44628E-08, -2.080329E-02, -1.632293E-02, 3.02195E-03
-2.44378E-08, -2.712642E-02, -1.252905E-02, 2.86387E-03
-2.44128E-08, -3.608420E-02, -8.94594E-03, 3.18003E-03
-2.43878E-08, -4.767661E-02, -5.04667E-03, 3.81234E-03
-2.43628E-08, -5.821517E-02, -6.2048E-04, 4.23388E-03
-2.43378E-08, -6.401137E-02, 5.17573E-03, 4.39196E-03
-2.43128E-08, -6.295752E-02, 1.265811E-02, 3.91773E-03
-2.42878E-08, -5.452668E-02, 2.151049E-02, 2.86387E-03
-2.42628E-08, -4.029962E-02, 3.141674E-02, 1.54655E-03
-2.42378E-08, -2.238407E-02, 4.090144E-02, 3.8731E-04
-2.42128E-08, -9.21088E-03, 4.817304E-02, -1.9231E-04
-2.41878E-08, -2.5310E-04, 5.133461E-02, -3.423E-05
-2.41628E-08, 2.38154E-03, 4.954306E-02, 7.0347E-04
-2.41378E-08, -1.83389E-03, 4.227145E-02, 1.44117E-03
-2.41128E-08, -7.63009E-03, 2.973057E-02, 1.96809E-03
-2.40878E-08, -1.289937E-02, 1.350119E-02, 1.86271E-03
-2.40628E-08, -1.606094E-02, -4.51974E-03, 5.9808E-04
-2.40378E-08, -1.606094E-02, -2.211913E-02, -1.08809E-03
-2.40128E-08, -1.658787E-02, -3.729466E-02, -2.77426E-03
-2.39878E-08, -1.606094E-02, -4.888707E-02, -4.09158E-03
-2.39628E-08, -1.869558E-02, -5.531559E-02, -4.46043E-03
-2.39378E-08, -2.185715E-02, -5.721253E-02, -3.82811E-03
-2.39128E-08, -2.712642E-02, -5.426173E-02, -2.35271E-03
-2.38878E-08, -2.976106E-02, -4.772783E-02, -7.7193E-04
-2.38628E-08, -2.765335E-02, -3.782158E-02, 4.4000E-04
-2.38378E-08, -2.396486E-02, -2.538609E-02, 9.1424E-04
-2.38128E-08, -1.816865E-02, -1.136981E-02, 7.0347E-04
-2.37878E-08, -1.448016E-02, 3.59495E-03, 2.8192E-04
-2.37628E-08, -1.448016E-02, 1.877047E-02, -1.3962E-04
-2.37378E-08, -1.922251E-02, 3.247060E-02, -1.3962E-04
-2.37128E-08, -2.923414E-02, 4.395762E-02, 7.5616E-04
-2.36878E-08, -4.082655E-02, 5.186154E-02, 2.23156E-03
-2.36628E-08, -5.241896E-02, 5.470695E-02, 3.70696E-03
-2.36378E-08, -5.821517E-02, 5.207231E-02, 4.86620E-03
-2.36128E-08, -6.032288E-02, 4.374685E-02, 5.28774E-03
-2.35878E-08, -5.505360E-02, 2.951980E-02, 4.81350E-03
-2.35628E-08, -4.609583E-02, 1.160425E-02, 3.44349E-03
-2.35378E-08, -3.608420E-02, -8.62978E-03, 2.07348E-03
-2.35128E-08, -2.501871E-02, -2.875843E-02, 1.07232E-03
-2.34878E-08, -1.658787E-02, -4.656859E-02, 8.6155E-04
-2.34628E-08, -8.68395E-03, -5.974178E-02, 1.49386E-03
-2.34378E-08, -3.94160E-03, -6.711877E-02, 2.75849E-03
-2.34128E-08, -1.30696E-03, -6.785648E-02, 4.33927E-03
-2.33878E-08, -7.8003E-04, -6.153334E-02, 5.65659E-03
-2.33628E-08, -1.83389E-03, -4.962477E-02, 6.18352E-03
-2.33378E-08, -3.41467E-03, -3.371155E-02, 5.81467E-03
-2.33128E-08, -9.21088E-03, -1.590138E-02, 4.60273E-03
-2.32878E-08, -1.553401E-02, 1.80339E-03, 2.75849E-03
-2.32628E-08, -1.974943E-02, 1.729507E-02, 8.0885E-04
-2.32378E-08, -2.238407E-02, 2.836056E-02, -7.7193E-04
-2.32128E-08, -2.343793E-02, 3.415676E-02, -1.61502E-03
-2.31878E-08, -1.974943E-02, 3.394599E-02, -1.56232E-03
-2.31628E-08, -1.395323E-02, 2.814979E-02, -8.7732E-04
-2.31378E-08, -6.57624E-03, 1.729507E-02, 3.3462E-04
-2.31128E-08, 2.7382E-04, 3.17340E-03, 1.70463E-03
-2.30878E-08, 4.48925E-03, -1.200212E-02, 2.91656E-03
-2.30628E-08, 8.17774E-03, -2.665071E-02, 3.54888E-03
-2.30378E-08, 7.12389E-03, -3.824313E-02, 3.60157E-03
-2.30128E-08, 1.32768E-03, -4.562012E-02, 3.18003E-03
-2.29878E-08, -6.04931E-03, -4.772783E-02, 2.49502E-03
-2.29628E-08, -1.974943E-02, -4.488242E-02, 1.70463E-03
-2.29378E-08, -3.344956E-02, -3.771620E-02, 1.23040E-03
-2.29128E-08, -4.820354E-02, -2.665071E-02, 1.23040E-03
-2.28878E-08, -6.190366E-02, -1.347752E-02, 1.81002E-03
-2.28628E-08, -7.138836E-02, 3.2799E-04, 2.70579E-03
-2.28378E-08, -7.191529E-02, 1.339580E-02, 3.81234E-03
-2.28128E-08, -6.453831E-02, 2.456667E-02, 4.91889E-03
-2.27878E-08, -4.767661E-02, 3.299752E-02, 5.49851E-03
-2.27628E-08, -2.343793E-02, 3.731833E-02, 5.55120E-03
-2.27378E-08, 6.59696E-03, 3.615909E-02, 5.28774E-03
-2.27128E-08, 3.294335E-02, 2.920364E-02, 4.86620E-03
-2.26878E-08, 5.191276E-02, 1.708430E-02, 4.18119E-03
-2.26628E-08, 5.981667E-02, 5.3876E-04, 3.60157E-03
-2.26378E-08, 5.560125E-02, -1.832525E-02, 2.96926E-03
-2.26128E-08, 4.242805E-02, -3.708389E-02, 2.49502E-03
-2.25878E-08, 2.398558E-02, -5.384019E-02, 1.91540E-03
-2.25628E-08, 1.028545E-02, -6.574876E-02, 1.28309E-03
-2.25378E-08, 2.38154E-03, -7.133420E-02, 3.8731E-04
-2.25128E-08, 5.01618E-03, -7.017495E-02, -6.1385E-04
-2.24878E-08, 1.502781E-02, -6.206027E-02, -1.61502E-03
-2.24628E-08, 3.030871E-02, -4.804398E-02, -2.72156E-03
-2.24378E-08, 4.348191E-02, -2.939074E-02, -3.72273E-03
-2.24128E-08, 4.717040E-02, -8.20824E-03, -4.35504E-03
-2.23878E-08, 4.295498E-02, 1.413350E-02, -4.56581E-03
-2.23628E-08, 3.083564E-02, 3.478907E-02, -4.46043E-03
-2.23378E-08, 1.344702E-02, 5.175615E-02, -3.93350E-03
-2.23128E-08, -1.30696E-03, 6.271625E-02, -2.72156E-03
-2.22878E-08, -1.026473E-02, 6.619398E-02, -1.19347E-03
-2.22628E-08, -7.63009E-03, 6.124086E-02, 4.9270E-04
-2.22378E-08, 2.38154E-03, 4.827843E-02, 1.75732E-03
-2.22128E-08, 1.713552E-02, 2.825517E-02, 2.44233E-03
-2.21878E-08, 3.188950E-02, 3.38418E-03, 2.33694E-03
-2.21628E-08, 3.873956E-02, -2.264606E-02, 1.38847E-03
-2.21378E-08, 3.821263E-02, -4.667397E-02, -1.9231E-04
-2.21128E-08, 2.767408E-02, -6.627569E-02, -1.77309E-03
-2.20878E-08, 1.028545E-02, -7.902735E-02, -2.98503E-03
-2.20628E-08, -1.079166E-02, -8.408585E-02, -3.67003E-03
-2.20378E-08, -2.765335E-02, -8.155660E-02, -3.40657E-03
-2.20128E-08, -4.029962E-02, -7.280959E-02, -2.56349E-03
-2.19878E-08, -4.504197E-02, -5.932024E-02, -1.29886E-03
-2.19628E-08, -4.188041E-02, -4.372318E-02, -3.423E-05
-2.19378E-08, -3.186877E-02, -2.770457E-02, 9.1424E-04
-2.19128E-08, -1.869558E-02, -1.284520E-02, 1.59924E-03
-2.18878E-08, -1.83389E-03, 1.1722E-04, 2.02079E-03
-2.18628E-08, 1.713552E-02, 1.044501E-02, 2.54771E-03
-2.18378E-08, 3.399721E-02, 1.782200E-02, 2.81118E-03
-2.18128E-08, 4.717040E-02, 2.235358E-02, 3.23272E-03
-2.17878E-08, 5.612818E-02, 2.393436E-02, 3.54888E-03
-2.17628E-08, 5.981667E-02, 2.298589E-02, 3.70696E-03
-2.17378E-08, 5.454740E-02, 2.014048E-02, 3.33811E-03
-2.17128E-08, 4.506269E-02, 1.529275E-02, 2.60041E-03
-2.16878E-08, 3.136257E-02, 9.18038E-03, 1.38847E-03
-2.16628E-08, 1.818937E-02, 2.54109E-03, 7.115E-05
-2.16378E-08, 8.70467E-03, -3.57127E-03, -1.08809E-03
-2.16128E-08, 3.96232E-03, -8.41901E-03, -1.77309E-03
-2.15878E-08, 5.54310E-03, -1.115903E-02, -1.87848E-03
-2.15628E-08, 1.133931E-02, -1.147519E-02, -1.40424E-03
-2.15378E-08, 1.766245E-02, -9.68364E-03, -5.6116E-04
-2.15128E-08, 2.082401E-02, -5.78437E-03, 4.9270E-04
-2.14878E-08, 2.029708E-02, -8.3125E-04, 1.44117E-03
-2.14628E-08, 1.766245E-02, 4.12187E-03, 2.07348E-03
-2.14378E-08, 1.397395E-02, 8.96961E-03, 2.38964E-03
-2.14128E-08, 1.344702E-02, 1.276349E-02, 2.60041E-03
-2.13878E-08, 1.660859E-02, 1.518736E-02, 2.70579E-03
-2.13628E-08, 2.503943E-02, 1.603044E-02, 2.91656E-03
-2.13378E-08, 3.610492E-02, 1.518736E-02, 3.33811E-03
-2.13128E-08, 4.453577E-02, 1.265811E-02, 4.02311E-03
-2.12878E-08, 4.875119E-02, 8.33730E-03, 4.70812E-03
-2.12628E-08, 4.400884E-02, 2.75186E-03, 5.02428E-03
-2.12378E-08, 3.241643E-02, -3.99282E-03, 5.07697E-03
-2.12128E-08, 1.344702E-02, -1.052672E-02, 4.76081E-03
-2.11878E-08, -7.10317E-03, -1.653370E-02, 4.23388E-03
-2.11628E-08, -2.238407E-02, -2.074912E-02, 3.33811E-03
-2.11378E-08, -2.976106E-02, -2.243529E-02, 2.49502E-03
-2.11128E-08, -2.870721E-02, -2.190836E-02, 1.86271E-03
-2.10878E-08, -1.816865E-02, -1.927372E-02, 1.44117E-03
-2.10628E-08, -1.30696E-03, -1.621754E-02, 1.17770E-03
-2.10378E-08, 1.344702E-02, -1.347752E-02, 7.0347E-04
-2.10128E-08, 2.556636E-02, -1.284520E-02, 5.4539E-04
-2.09878E-08, 3.083564E-02, -1.410983E-02, 1.2385E-04
-2.09628E-08, 2.820100E-02, -1.790371E-02, -2.4500E-04
-2.09378E-08, 1.924323E-02, -2.243529E-02, -5.6116E-04
-2.09128E-08, 5.54310E-03, -2.643994E-02, -6.6655E-04
-2.08878E-08, -8.68395E-03, -2.844227E-02, -5.0847E-04
-2.08628E-08, -1.711480E-02, -2.665071E-02, -8.692E-05
-2.08378E-08, -1.922251E-02, -2.085451E-02, 4.9270E-04
-2.08128E-08, -1.448016E-02, -1.147519E-02, 1.23040E-03
-2.07878E-08, -2.36081E-03, 1.1722E-04, 2.02079E-03
-2.07628E-08, 1.292009E-02, 1.234195E-02, 2.49502E-03
-2.07378E-08, 2.872793E-02, 2.277512E-02, 2.60041E-03
-2.07128E-08, 4.032034E-02, 3.025750E-02, 2.60041E-03
-2.06878E-08, 4.506269E-02, 3.331368E-02, 2.60041E-03
-2.06628E-08, 4.137420E-02, 3.225982E-02, 2.49502E-03
-2.06378E-08, 3.083564E-02, 2.720132E-02, 2.44233E-03
-2.06128E-08, 1.397395E-02, 1.908663E-02, 2.49502E-03
-2.05878E-08, -3.41467E-03, 9.60192E-03, 2.81118E-03
-2.05628E-08, -1.869558E-02, -9.355E-05, 3.07464E-03
-2.05378E-08, -3.186877E-02, -9.57825E-03, 3.28541E-03
-2.05128E-08, -3.977269E-02, -1.779833E-02, 3.49618E-03
-2.04878E-08, -4.504197E-02, -2.475377E-02, 3.54888E-03
-2.04628E-08, -4.556890E-02, -3.054998E-02, 3.33811E-03
-2.04378E-08, -4.451504E-02, -3.487079E-02, 2.91656E-03
-2.04128E-08, -4.346119E-02, -3.750543E-02, 2.33694E-03
-2.03878E-08, -4.082655E-02, -3.845390E-02, 1.65194E-03
-2.03628E-08, -3.503034E-02, -3.697850E-02, 1.01962E-03
-2.03378E-08, -2.765335E-02, -3.286846E-02, 2.8192E-04
-2.03128E-08, -1.816865E-02, -2.622917E-02, -3.5039E-04
-2.02878E-08, -1.184552E-02, -1.748217E-02, -9.3001E-04
-2.02628E-08, -5.52238E-03, -7.68131E-03, -1.29886E-03
-2.02378E-08, -6.57624E-03, 2.22493E-03, -1.50963E-03
-2.02128E-08, -1.342630E-02, 1.128809E-02, -1.40424E-03
-2.01878E-08, -2.501871E-02, 1.855970E-02, -1.19347E-03
-2.01628E-08, -3.766498E-02, 2.361820E-02, -9.8270E-04
-2.01378E-08, -4.767661E-02, 2.593669E-02, -5.0847E-04
-2.01128E-08, -5.136511E-02, 2.625285E-02, -1.9231E-04
-2.00878E-08, -4.609583E-02, 2.425052E-02, 2.8192E-04
-2.00628E-08, -3.397649E-02, 2.014048E-02, 3.3462E-04
-2.00378E-08, -1.869558E-02, 1.392273E-02, 1.7654E-04
-2.00128E-08, -6.04931E-03, 4.96496E-03, -8.692E-05
-1.99878E-08, 1.85461E-03, -6.31130E-03, -6.6655E-04
-1.99628E-08, 3.96232E-03, -1.927372E-02, -1.14078E-03
-1.99378E-08, -1.30696E-03, -3.286846E-02, -1.72040E-03
-1.99128E-08, -1.079166E-02, -4.551473E-02, -1.82579E-03
-1.98878E-08, -1.764172E-02, -5.510482E-02, -1.45694E-03
-1.98628E-08, -1.869558E-02, -6.037410E-02, -7.1924E-04
-1.98378E-08, -1.500708E-02, -5.995255E-02, 3.8731E-04
-1.98128E-08, -6.04931E-03, -5.394558E-02, 1.54655E-03
-1.97878E-08, 6.07003E-03, -4.319625E-02, 2.44233E-03
-1.97628E-08, 1.818937E-02, -2.886381E-02, 2.65310E-03
-1.97378E-08, 2.662022E-02, -1.284520E-02, 2.02079E-03
-1.97128E-08, 2.820100E-02, 2.64648E-03, 7.0347E-04
-1.96878E-08, 2.556636E-02, 1.634660E-02, -1.08809E-03
-1.96628E-08, 1.977016E-02, 2.677977E-02, -2.98503E-03
-1.96378E-08, 1.081238E-02, 3.310291E-02, -4.72389E-03
-1.96128E-08, 2.7382E-04, 3.552677E-02, -5.46159E-03
-1.95878E-08, -8.15702E-03, 3.299752E-02, -5.14543E-03
-1.95628E-08, -1.448016E-02, 2.699054E-02, -3.82811E-03
-1.95378E-08, -1.922251E-02, 1.750584E-02, -1.66771E-03
-1.95128E-08, -2.291100E-02, 5.59727E-03, 9.6693E-04
-1.94878E-08, -2.554564E-02, -7.47054E-03, 3.44349E-03
-1.94628E-08, -2.554564E-02, -1.958988E-02, 5.18235E-03
-1.94378E-08, -2.396486E-02, -3.033921E-02, 6.07813E-03
-1.94128E-08, -2.185715E-02, -3.782158E-02, 5.92005E-03
-1.93878E-08, -1.816865E-02, -4.161546E-02, 5.02428E-03
-1.93628E-08, -1.395323E-02, -4.172085E-02, 3.54888E-03
-1.93378E-08, -9.21088E-03, -3.855928E-02, 2.02079E-03
-1.93128E-08, -5.52238E-03, -3.350078E-02, 1.07232E-03
-1.92878E-08, -1.83389E-03, -2.707226E-02, 1.01962E-03
-1.92628E-08, 1.32768E-03, -2.043296E-02, 1.65194E-03
-1.92378E-08, 1.85461E-03, -1.400444E-02, 2.91656E-03
-1.92128E-08, 2.7382E-04, -8.10285E-03, 4.70812E-03
-1.91878E-08, -4.99545E-03, -2.72819E-03, 6.28890E-03
-1.91628E-08, -1.237244E-02, 2.43570E-03, 7.50084E-03
-1.91378E-08, -2.133022E-02, 8.54807E-03, 7.86969E-03
-1.91128E-08, -2.976106E-02, 1.497659E-02, 7.55353E-03
-1.90878E-08, -3.977269E-02, 2.161588E-02, 6.39429E-03
-1.90628E-08, -4.662276E-02, 2.772824E-02, 4.86620E-03
-1.90378E-08, -5.189203E-02, 3.268136E-02, 3.23272E-03
-1.90128E-08, -5.663439E-02, 3.468369E-02, 1.96809E-03
-1.89878E-08, -5.979595E-02, 3.299752E-02, 1.28309E-03
-1.89628E-08, -5.926903E-02, 2.699054E-02, 1.23040E-03
