,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,8005,8005,8005
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-1.00000000000E-07,-1.00000000000E-07,-1.00000000000E-07
XInc:               ,2.5000000E-11,2.5000000E-11,2.5000000E-11
XOrg:               ,-1.00000355839E-07,-1.00000355839E-07,-1.00000355839E-07
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,4.00000E+00,8.00000E-01
YDispOrg:           ,-3.40000009536743E+00,0.0E+00,3.01999986171722E-01
YInc:               ,1.31731969304383E-04,6.5865984652191E-05,1.3173196748539E-05
YOrg:               ,-3.28354070588684E+00,5.82296470565780E-02,3.13645929250506E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,14 JAN 2025,14 JAN 2025,14 JAN 2025
Time:               ,10:16:04,10:16:04,10:16:04
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-1.000004E-07, -6.084981E-02, 2.345241E-02, -2.19464E-03
-9.99754E-08, -6.295752E-02, 4.874495E-02, -3.61734E-03
-9.99504E-08, -5.768824E-02, 6.534317E-02, -4.46043E-03
-9.99254E-08, -4.346119E-02, 7.272016E-02, -4.77658E-03
-9.99004E-08, -1.922251E-02, 6.771435E-02, -4.03888E-03
-9.98754E-08, 1.239317E-02, 5.216997E-02, -2.45810E-03
-9.98504E-08, 4.506269E-02, 2.635051E-02, -2.4500E-04
-9.98254E-08, 7.351680E-02, -7.37287E-03, 2.28425E-03
-9.98004E-08, 8.879771E-02, -4.294050E-02, 4.65543E-03
-9.97754E-08, 9.090542E-02, -7.771774E-02, 6.18352E-03
-9.97504E-08, 7.825915E-02, -1.0643531E-01, 6.81583E-03
-9.97254E-08, 5.454740E-02, -1.2672204E-01, 6.55237E-03
-9.97004E-08, 2.503943E-02, -1.3673367E-01, 5.65659E-03
-9.96754E-08, -2.88774E-03, -1.3620675E-01, 4.44466E-03
-9.96504E-08, -2.185715E-02, -1.2645857E-01, 3.33811E-03
-9.96254E-08, -3.081492E-02, -1.0906995E-01, 2.60041E-03
-9.96004E-08, -3.081492E-02, -8.667552E-02, 2.33694E-03
-9.95754E-08, -2.133022E-02, -6.164645E-02, 2.12617E-03
-9.95504E-08, -1.079166E-02, -3.503659E-02, 1.91540E-03
-9.95254E-08, -1.30696E-03, -7.37287E-03, 1.54655E-03
-9.95004E-08, 3.43539E-03, 2.002738E-02, 8.0885E-04
-9.94754E-08, 2.38154E-03, 4.663723E-02, -1.3962E-04
-9.94504E-08, -3.41467E-03, 7.245670E-02, -1.24617E-03
-9.94254E-08, -1.448016E-02, 9.458767E-02, -2.08925E-03
-9.94004E-08, -2.765335E-02, 1.1171283E-01, -2.61618E-03
-9.93754E-08, -3.924577E-02, 1.2251485E-01, -2.72156E-03
-9.93504E-08, -4.873047E-02, 1.2330524E-01, -2.35271E-03
-9.93254E-08, -5.294589E-02, 1.1276668E-01, -1.61502E-03
-9.93004E-08, -5.399975E-02, 9.195303E-02, -7.7193E-04
-9.92754E-08, -4.873047E-02, 6.007389E-02, 1.846E-05
-9.92504E-08, -3.661112E-02, 1.976391E-02, 8.6155E-04
-9.92254E-08, -1.974943E-02, -2.476149E-02, 1.49386E-03
-9.92004E-08, 8.0075E-04, -7.034075E-02, 1.91540E-03
-9.91754E-08, 2.029708E-02, -1.1117767E-01, 1.81002E-03
-9.91504E-08, 3.557799E-02, -1.4252988E-01, 1.49386E-03
-9.91254E-08, 4.506269E-02, -1.6149928E-01, 8.6155E-04
-9.91004E-08, 4.506269E-02, -1.6597816E-01, -3.423E-05
-9.90754E-08, 3.715878E-02, -1.5543960E-01, -1.03539E-03
-9.90504E-08, 2.503943E-02, -1.3146439E-01, -1.82579E-03
-9.90254E-08, 1.292009E-02, -9.826794E-02, -2.03656E-03
-9.90004E-08, 2.90846E-03, -6.059259E-02, -1.66771E-03
-9.89754E-08, -2.5310E-04, -2.318071E-02, -8.2462E-04
-9.89504E-08, 2.7382E-04, 1.001575E-02, 4.9270E-04
-9.89254E-08, 4.48925E-03, 3.583521E-02, 1.81002E-03
-9.89004E-08, 9.75853E-03, 5.243344E-02, 2.91656E-03
-9.88754E-08, 1.081238E-02, 6.139122E-02, 3.33811E-03
-9.88504E-08, 9.23160E-03, 6.349893E-02, 2.91656E-03
-9.88254E-08, 1.32768E-03, 6.086428E-02, 2.23156E-03
-9.88004E-08, -9.73780E-03, 5.506808E-02, 1.44117E-03
-9.87754E-08, -1.974943E-02, 4.821802E-02, 7.0347E-04
-9.87504E-08, -2.818028E-02, 3.741600E-02, 8.6155E-04
-9.87254E-08, -3.239570E-02, 2.397933E-02, 1.70463E-03
-9.87004E-08, -3.081492E-02, 6.32725E-03, 2.86387E-03
-9.86754E-08, -2.396486E-02, -1.474986E-02, 3.97042E-03
-9.86504E-08, -1.500708E-02, -3.951547E-02, 4.44466E-03
-9.86254E-08, -4.99545E-03, -6.665226E-02, 4.07581E-03
-9.86004E-08, 2.90846E-03, -9.141787E-02, 2.60041E-03
-9.85754E-08, 8.17774E-03, -1.1223152E-01, 2.2923E-04
-9.85504E-08, 8.70467E-03, -1.2435086E-01, -2.40541E-03
-9.85254E-08, 3.43539E-03, -1.2593165E-01, -4.46043E-03
-9.85004E-08, -6.04931E-03, -1.1592001E-01, -5.61967E-03
-9.84754E-08, -1.816865E-02, -9.405251E-02, -5.46159E-03
-9.84504E-08, -3.186877E-02, -6.164645E-02, -4.30235E-03
-9.84254E-08, -4.346119E-02, -2.159993E-02, -2.08925E-03
-9.84004E-08, -5.399975E-02, 2.187162E-02, 2.2923E-04
-9.83754E-08, -5.821517E-02, 6.428932E-02, 1.91540E-03
-9.83504E-08, -5.505360E-02, 1.0064734E-01, 2.91656E-03
-9.83254E-08, -4.556890E-02, 1.2725720E-01, 2.96926E-03
-9.83004E-08, -3.081492E-02, 1.3937654E-01, 2.12617E-03
-9.82754E-08, -1.184552E-02, 1.3674191E-01, 9.1424E-04
-9.82504E-08, 6.59696E-03, 1.1908982E-01, -2.4500E-04
-9.82254E-08, 2.029708E-02, 8.905493E-02, -8.2462E-04
-9.82004E-08, 2.978179E-02, 5.058919E-02, -8.2462E-04
-9.81754E-08, 3.188950E-02, 7.64457E-03, -2.9770E-04
-9.81504E-08, 2.714715E-02, -3.503659E-02, 5.4539E-04
-9.81254E-08, 1.766245E-02, -7.429271E-02, 1.38847E-03
-9.81004E-08, 7.65082E-03, -1.1012381E-01, 1.96809E-03
-9.80754E-08, 2.7382E-04, -1.4068563E-01, 2.33694E-03
-9.80504E-08, -4.46853E-03, -1.6676855E-01, 2.02079E-03
-9.80254E-08, -2.88774E-03, -1.8731874E-01, 1.86271E-03
-9.80004E-08, 8.0075E-04, -2.0049194E-01, 1.49386E-03
-9.79754E-08, 5.54310E-03, -2.0444390E-01, 1.12501E-03
-9.79504E-08, 8.17774E-03, -1.9416881E-01, 1.28309E-03
-9.79254E-08, 2.90846E-03, -1.6861281E-01, 1.75732E-03
-9.79004E-08, -9.73780E-03, -1.2724897E-01, 2.38964E-03
-9.78754E-08, -2.554564E-02, -7.218500E-02, 3.07464E-03
-9.78504E-08, -4.398812E-02, -9.21712E-03, 3.60157E-03
-9.78254E-08, -5.874210E-02, 5.427769E-02, 3.70696E-03
-9.78004E-08, -6.453831E-02, 1.1065897E-01, 3.49618E-03
-9.77754E-08, -6.032288E-02, 1.5281320E-01, 2.91656E-03
-9.77504E-08, -4.451504E-02, 1.7599803E-01, 2.23156E-03
-9.77254E-08, -2.449179E-02, 1.7731535E-01, 1.86271E-03
-9.77004E-08, -3.41467E-03, 1.5966326E-01, 1.75732E-03
-9.76754E-08, 1.081238E-02, 1.2488602E-01, 2.17887E-03
-9.76504E-08, 1.660859E-02, 7.772598E-02, 2.96926E-03
-9.76254E-08, 1.133931E-02, 2.160816E-02, 4.12850E-03
-9.76004E-08, -1.83389E-03, -3.819815E-02, 5.34043E-03
-9.75754E-08, -1.606094E-02, -9.668715E-02, 5.97275E-03
-9.75504E-08, -2.870721E-02, -1.4964341E-01, 6.02544E-03
-9.75254E-08, -3.397649E-02, -1.9127071E-01, 5.39313E-03
-9.75004E-08, -3.292263E-02, -2.1735363E-01, 4.12850E-03
-9.74754E-08, -2.712642E-02, -2.2394024E-01, 2.33694E-03
-9.74504E-08, -1.974943E-02, -2.0944971E-01, 4.4000E-04
-9.74254E-08, -1.448016E-02, -1.7440902E-01, -1.29886E-03
-9.74004E-08, -1.553401E-02, -1.2408740E-01, -2.35271E-03
-9.73754E-08, -1.869558E-02, -6.454455E-02, -2.77426E-03
-9.73504E-08, -2.449179E-02, -2.63052E-03, -2.45810E-03
-9.73254E-08, -2.976106E-02, 5.401422E-02, -1.72040E-03
-9.73004E-08, -3.134185E-02, 9.906656E-02, -2.4500E-04
-9.72754E-08, -2.659950E-02, 1.3041876E-01, 1.01962E-03
-9.72504E-08, -1.922251E-02, 1.4649007E-01, 2.12617E-03
-9.72254E-08, -9.21088E-03, 1.4807086E-01, 2.96926E-03
-9.72004E-08, 8.0075E-04, 1.3674191E-01, 3.39080E-03
-9.71754E-08, 1.028545E-02, 1.1592825E-01, 3.33811E-03
-9.71504E-08, 1.713552E-02, 8.615682E-02, 3.18003E-03
-9.71254E-08, 2.345865E-02, 4.900841E-02, 2.86387E-03
-9.71004E-08, 3.030871E-02, 5.80032E-03, 2.75849E-03
-9.70754E-08, 3.979342E-02, -4.135972E-02, 2.65310E-03
-9.70504E-08, 5.033197E-02, -8.957362E-02, 2.54771E-03
-9.70254E-08, 5.876282E-02, -1.3488942E-01, 2.60041E-03
-9.70004E-08, 5.928975E-02, -1.7361861E-01, 2.54771E-03
-9.69754E-08, 5.402047E-02, -2.0075540E-01, 2.28425E-03
-9.69504E-08, 3.926649E-02, -2.1155743E-01, 1.65194E-03
-9.69254E-08, 1.766245E-02, -2.0233619E-01, 1.01962E-03
-9.69004E-08, -6.57624E-03, -1.7414555E-01, 2.8192E-04
-9.68754E-08, -2.765335E-02, -1.2962013E-01, -5.6116E-04
-9.68504E-08, -4.188041E-02, -7.139461E-02, -1.19347E-03
-9.68254E-08, -4.714968E-02, -6.84595E-03, -1.56232E-03
-9.68004E-08, -3.977269E-02, 5.717579E-02, -1.87848E-03
-9.67754E-08, -2.501871E-02, 1.1329361E-01, -1.98386E-03
-9.67504E-08, -4.99545E-03, 1.5597478E-01, -2.19464E-03
-9.67254E-08, 1.397395E-02, 1.8153077E-01, -2.30002E-03
-9.67004E-08, 2.978179E-02, 1.8574619E-01, -2.24733E-03
-9.66754E-08, 4.137420E-02, 1.7099221E-01, -1.98386E-03
-9.66504E-08, 4.506269E-02, 1.3884962E-01, -1.56232E-03
-9.66254E-08, 4.400884E-02, 9.406074E-02, -6.1385E-04
-9.66004E-08, 3.557799E-02, 4.005064E-02, 5.9808E-04
-9.65754E-08, 2.451251E-02, -1.817490E-02, 1.81002E-03
-9.65504E-08, 1.028545E-02, -7.587349E-02, 2.91656E-03
-9.65254E-08, -4.46853E-03, -1.2830283E-01, 3.70696E-03
-9.65004E-08, -1.764172E-02, -1.7230129E-01, 3.81234E-03
-9.64754E-08, -2.501871E-02, -2.0391697E-01, 3.33811E-03
-9.64504E-08, -2.765335E-02, -2.2130559E-01, 2.07348E-03
-9.64254E-08, -2.396486E-02, -2.2288637E-01, 6.5077E-04
-9.64004E-08, -1.764172E-02, -2.0760547E-01, -7.7193E-04
-9.63754E-08, -1.026473E-02, -1.7862444E-01, -1.93117E-03
-9.63504E-08, -6.57624E-03, -1.3884138E-01, -2.56349E-03
-9.63254E-08, -8.15702E-03, -9.115440E-02, -2.56349E-03
-9.63004E-08, -1.606094E-02, -4.215011E-02, -2.14194E-03
-9.62754E-08, -2.501871E-02, 3.16568E-03, -1.40424E-03
-9.62504E-08, -3.608420E-02, 4.268527E-02, -7.7193E-04
-9.62254E-08, -4.135348E-02, 7.245670E-02, -3.423E-05
-9.62004E-08, -3.977269E-02, 9.089918E-02, 5.4539E-04
-9.61754E-08, -3.134185E-02, 1.0012041E-01, 1.07232E-03
-9.61504E-08, -1.764172E-02, 1.0091081E-01, 1.70463E-03
-9.61254E-08, -2.36081E-03, 9.537806E-02, 2.38964E-03
-9.61004E-08, 8.70467E-03, 8.536644E-02, 3.12734E-03
-9.60754E-08, 1.608166E-02, 7.351056E-02, 3.91773E-03
-9.60504E-08, 1.766245E-02, 6.112775E-02, 4.44466E-03
-9.60254E-08, 1.397395E-02, 4.874495E-02, 4.70812E-03
-9.60004E-08, 7.65082E-03, 3.688907E-02, 4.28658E-03
-9.59754E-08, 1.32768E-03, 2.556012E-02, 3.49618E-03
-9.59504E-08, -2.88774E-03, 1.317731E-02, 2.33694E-03
-9.59254E-08, -6.57624E-03, -1.31320E-03, 1.23040E-03
-9.59004E-08, -9.73780E-03, -1.764797E-02, 3.8731E-04
-9.58754E-08, -9.21088E-03, -3.609044E-02, -4.5577E-04
-9.58504E-08, -1.079166E-02, -5.585024E-02, -4.5577E-04
-9.58254E-08, -8.68395E-03, -7.402925E-02, -8.692E-05
-9.58004E-08, -4.99545E-03, -8.693898E-02, 6.5077E-04
-9.57754E-08, -2.5310E-04, -9.299865E-02, 1.44117E-03
-9.57504E-08, 6.07003E-03, -8.720244E-02, 2.23156E-03
-9.57254E-08, 9.75853E-03, -7.192154E-02, 2.81118E-03
-9.57004E-08, 9.23160E-03, -4.741939E-02, 2.91656E-03
-9.56754E-08, 2.90846E-03, -1.685758E-02, 2.54771E-03
-9.56504E-08, -9.21088E-03, 1.660234E-02, 1.81002E-03
-9.56254E-08, -2.396486E-02, 4.769109E-02, 8.6155E-04
-9.56004E-08, -3.819191E-02, 7.140284E-02, -2.4500E-04
-9.55754E-08, -4.609583E-02, 8.826453E-02, -9.8270E-04
-9.55504E-08, -4.609583E-02, 9.564152E-02, -9.8270E-04
-9.55254E-08, -3.661112E-02, 9.353381E-02, -1.9231E-04
-9.55004E-08, -1.974943E-02, 8.483951E-02, 1.44117E-03
-9.54754E-08, 1.32768E-03, 6.929513E-02, 3.28541E-03
-9.54504E-08, 2.135094E-02, 4.795455E-02, 5.28774E-03
-9.54254E-08, 3.452414E-02, 2.371587E-02, 6.92122E-03
-9.54004E-08, 3.926649E-02, -1.04974E-03, 7.55353E-03
-9.53754E-08, 3.557799E-02, -2.423456E-02, 6.97391E-03
-9.53504E-08, 2.503943E-02, -4.583861E-02, 5.55120E-03
-9.53254E-08, 9.23160E-03, -6.296376E-02, 3.60157E-03
-9.53004E-08, -7.10317E-03, -7.455618E-02, 1.96809E-03
-9.52754E-08, -1.974943E-02, -8.166970E-02, 8.6155E-04
-9.52504E-08, -2.712642E-02, -8.614859E-02, 5.9808E-04
-9.52254E-08, -2.870721E-02, -8.851977E-02, 1.28309E-03
-9.52004E-08, -2.449179E-02, -8.799284E-02, 2.12617E-03
-9.51754E-08, -1.500708E-02, -8.535820E-02, 2.65310E-03
-9.51504E-08, -1.83389E-03, -7.587349E-02, 2.38964E-03
-9.51254E-08, 1.028545E-02, -6.059259E-02, 1.38847E-03
-9.51004E-08, 1.818937E-02, -3.582698E-02, -3.5039E-04
-9.50754E-08, 2.082401E-02, -3.42091E-03, -2.24733E-03
-9.50504E-08, 1.766245E-02, 3.478136E-02, -3.51196E-03
-9.50254E-08, 5.54310E-03, 7.351056E-02, -3.67003E-03
-9.50004E-08, -1.079166E-02, 1.0565316E-01, -2.45810E-03
-9.49754E-08, -2.976106E-02, 1.2989184E-01, -4.5577E-04
-9.49504E-08, -4.714968E-02, 1.4043039E-01, 1.59924E-03
-9.49254E-08, -5.874210E-02, 1.3726883E-01, 3.28541E-03
-9.49004E-08, -6.243059E-02, 1.2198792E-01, 3.91773E-03
-9.48754E-08, -5.768824E-02, 9.774924E-02, 3.07464E-03
-9.48504E-08, -4.451504E-02, 6.745089E-02, 1.44117E-03
-9.48254E-08, -2.923414E-02, 3.399096E-02, -4.0308E-04
-9.48004E-08, -1.184552E-02, 1.05797E-03, -1.77309E-03
-9.47754E-08, 2.90846E-03, -3.161155E-02, -2.19464E-03
-9.47504E-08, 1.344702E-02, -6.164645E-02, -1.24617E-03
-9.47254E-08, 1.818937E-02, -8.799284E-02, 4.4000E-04
-9.47004E-08, 1.818937E-02, -1.0959688E-01, 2.33694E-03
-9.46754E-08, 1.660859E-02, -1.2514125E-01, 3.91773E-03
-9.46504E-08, 1.344702E-02, -1.3357210E-01, 4.55004E-03
-9.46254E-08, 1.239317E-02, -1.3330863E-01, 4.07581E-03
-9.46004E-08, 1.344702E-02, -1.2566818E-01, 2.75849E-03
-9.45754E-08, 1.871630E-02, -1.1065074E-01, 1.07232E-03
-9.45504E-08, 2.503943E-02, -8.983709E-02, -5.6116E-04
-9.45254E-08, 3.294335E-02, -6.559841E-02, -1.29886E-03
-9.45004E-08, 4.190113E-02, -3.951547E-02, -1.03539E-03
-9.44754E-08, 4.927812E-02, -1.343254E-02, 1.846E-05
-9.44504E-08, 5.612818E-02, 9.48882E-03, 1.65194E-03
-9.44254E-08, 5.612818E-02, 2.898515E-02, 3.33811E-03
-9.44004E-08, 5.191276E-02, 4.268527E-02, 4.65543E-03
-9.43754E-08, 4.506269E-02, 5.006227E-02, 4.97158E-03
-9.43504E-08, 3.715878E-02, 5.085266E-02, 4.23388E-03
-9.43254E-08, 2.872793E-02, 4.531991E-02, 2.54771E-03
-9.43004E-08, 2.556636E-02, 3.320057E-02, 1.7654E-04
-9.42754E-08, 2.925486E-02, 1.712927E-02, -2.30002E-03
-9.42504E-08, 3.768570E-02, -2.36706E-03, -4.51312E-03
-9.42254E-08, 4.822426E-02, -2.239032E-02, -5.67236E-03
-9.42004E-08, 5.718204E-02, -4.030587E-02, -5.61967E-03
-9.41754E-08, 6.297825E-02, -5.479638E-02, -4.24965E-03
-9.41504E-08, 5.823589E-02, -6.296376E-02, -1.98386E-03
