,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,32016,32016,32016
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-1.00000000000E-07,-1.00000000000E-07,-1.00000000000E-07
XInc:               ,6.250000E-12,6.250000E-12,6.250000E-12
XOrg:               ,-1.00048550153E-07,-1.00048550153E-07,-1.00048550153E-07
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,4.00000E+00,8.00000E-01
YDispOrg:           ,-3.00000000000000E+00,-5.00000000000000E-01,3.00000011920929E-01
YInc:               ,1.31731969304383E-04,6.5865984652191E-05,1.3173196748539E-05
YOrg:               ,-2.88354070588684E+00,-4.41770352943422E-01,3.11645929250506E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,8 NOV 2024,8 NOV 2024,8 NOV 2024
Time:               ,11:41:04,11:41:04,11:41:04
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-1.000486E-07, -4.076481E-02, 5.8560E-04, 4.60506E-03
-1.000423E-07, -4.392638E-02, 1.11253E-03, 4.71045E-03
-1.000361E-07, -4.550716E-02, 1.11253E-03, 4.92122E-03
-1.000298E-07, -4.603409E-02, 1.11253E-03, 4.97391E-03
-1.000236E-07, -4.603409E-02, 1.11253E-03, 5.13199E-03
-1.000173E-07, -4.656101E-02, 8.4906E-04, 5.23737E-03
-1.000111E-07, -4.656101E-02, 5.8560E-04, 5.34276E-03
-1.000048E-07, -4.445330E-02, 5.867E-05, 5.39545E-03
-9.99986E-08, -4.287252E-02, -2.0479E-04, 5.55353E-03
-9.99923E-08, -4.023788E-02, -1.52211E-03, 5.60622E-03
-9.99861E-08, -3.813017E-02, -2.31250E-03, 5.55353E-03
-9.99798E-08, -3.391474E-02, -3.10290E-03, 5.65892E-03
-9.99736E-08, -3.128011E-02, -4.42021E-03, 5.60622E-03
-9.99673E-08, -2.811854E-02, -5.73753E-03, 5.60622E-03
-9.99611E-08, -2.443004E-02, -6.79139E-03, 5.60622E-03
-9.99548E-08, -2.074155E-02, -8.10871E-03, 5.60622E-03
-9.99486E-08, -1.757998E-02, -9.42603E-03, 5.55353E-03
-9.99423E-08, -1.441841E-02, -1.047989E-02, 5.60622E-03
-9.99361E-08, -1.178377E-02, -1.153374E-02, 5.60622E-03
-9.99298E-08, -8.62221E-03, -1.258760E-02, 5.60622E-03
-9.99236E-08, -6.51450E-03, -1.390492E-02, 5.55353E-03
-9.99173E-08, -4.93371E-03, -1.469531E-02, 5.60622E-03
-9.99111E-08, -4.40678E-03, -1.601263E-02, 5.55353E-03
-9.99048E-08, -3.87986E-03, -1.627609E-02, 5.44814E-03
-9.98986E-08, -3.87986E-03, -1.680302E-02, 5.50084E-03
-9.98923E-08, -4.93371E-03, -1.759341E-02, 5.44814E-03
-9.98861E-08, -6.51450E-03, -1.785688E-02, 5.34276E-03
-9.98798E-08, -8.09528E-03, -1.785688E-02, 5.34276E-03
-9.98736E-08, -1.020299E-02, -1.759341E-02, 5.23737E-03
-9.98673E-08, -1.283763E-02, -1.759341E-02, 5.29007E-03
-9.98611E-08, -1.705305E-02, -1.706648E-02, 5.23737E-03
-9.98548E-08, -2.074155E-02, -1.653956E-02, 5.18468E-03
-9.98486E-08, -2.443004E-02, -1.601263E-02, 5.23737E-03
-9.98423E-08, -2.969932E-02, -1.522224E-02, 5.07929E-03
-9.98361E-08, -3.391474E-02, -1.416838E-02, 5.07929E-03
-9.98298E-08, -3.760324E-02, -1.337799E-02, 5.02660E-03
-9.98236E-08, -4.181866E-02, -1.206067E-02, 4.92122E-03
-9.98173E-08, -4.603409E-02, -1.074335E-02, 4.81583E-03
-9.98111E-08, -4.972258E-02, -9.68949E-03, 4.71045E-03
-9.98048E-08, -5.235722E-02, -8.89910E-03, 4.76314E-03
-9.97986E-08, -5.446493E-02, -7.31832E-03, 4.60506E-03
-9.97923E-08, -5.762650E-02, -6.26446E-03, 4.55237E-03
-9.97861E-08, -5.868036E-02, -5.21061E-03, 4.49967E-03
-9.97798E-08, -6.026114E-02, -4.68368E-03, 4.34160E-03
-9.97736E-08, -5.973421E-02, -3.62982E-03, 4.23621E-03
-9.97673E-08, -6.026114E-02, -2.83943E-03, 4.28890E-03
-9.97611E-08, -5.868036E-02, -2.31250E-03, 4.02544E-03
-9.97548E-08, -5.657265E-02, -2.31250E-03, 4.02544E-03
-9.97486E-08, -5.446493E-02, -2.04904E-03, 3.81467E-03
-9.97423E-08, -5.235722E-02, -1.78558E-03, 3.76197E-03
-9.97361E-08, -4.919565E-02, -1.78558E-03, 3.60390E-03
-9.97298E-08, -4.656101E-02, -2.83943E-03, 3.55120E-03
-9.97236E-08, -4.234559E-02, -3.62982E-03, 3.39313E-03
-9.97173E-08, -3.865710E-02, -4.15675E-03, 3.44582E-03
-9.97111E-08, -3.549553E-02, -5.47407E-03, 3.12966E-03
-9.97048E-08, -3.128011E-02, -6.26446E-03, 3.02428E-03
-9.96986E-08, -2.811854E-02, -7.58178E-03, 2.81350E-03
-9.96923E-08, -2.495697E-02, -9.16257E-03, 2.86620E-03
-9.96861E-08, -2.232233E-02, -1.074335E-02, 2.81350E-03
-9.96798E-08, -1.968769E-02, -1.285106E-02, 2.60273E-03
-9.96736E-08, -1.705305E-02, -1.416838E-02, 2.44466E-03
-9.96673E-08, -1.547227E-02, -1.574916E-02, 2.39196E-03
-9.96611E-08, -1.494534E-02, -1.785688E-02, 2.33927E-03
-9.96548E-08, -1.389149E-02, -1.943766E-02, 2.28658E-03
-9.96486E-08, -1.441841E-02, -2.101844E-02, 2.12850E-03
-9.96423E-08, -1.494534E-02, -2.259923E-02, 2.02311E-03
-9.96361E-08, -1.547227E-02, -2.391655E-02, 2.02311E-03
-9.96298E-08, -1.810691E-02, -2.497040E-02, 2.07581E-03
-9.96236E-08, -1.916077E-02, -2.602426E-02, 2.02311E-03
-9.96173E-08, -2.179541E-02, -2.655119E-02, 2.18119E-03
-9.96111E-08, -2.495697E-02, -2.734158E-02, 2.12850E-03
-9.96048E-08, -2.706468E-02, -2.734158E-02, 2.18119E-03
-9.95986E-08, -2.864547E-02, -2.707811E-02, 2.28658E-03
-9.95923E-08, -3.180704E-02, -2.707811E-02, 2.44466E-03
-9.95861E-08, -3.496860E-02, -2.628772E-02, 2.60273E-03
-9.95798E-08, -3.707631E-02, -2.523387E-02, 2.81350E-03
-9.95736E-08, -3.813017E-02, -2.391655E-02, 2.91889E-03
-9.95673E-08, -3.918403E-02, -2.207230E-02, 3.23505E-03
-9.95611E-08, -3.971095E-02, -2.049151E-02, 3.39313E-03
-9.95548E-08, -3.971095E-02, -1.917420E-02, 3.70928E-03
-9.95486E-08, -4.023788E-02, -1.706648E-02, 4.02544E-03
-9.95423E-08, -3.918403E-02, -1.443184E-02, 4.18352E-03
-9.95361E-08, -3.760324E-02, -1.232413E-02, 4.39429E-03
-9.95298E-08, -3.496860E-02, -9.95296E-03, 4.65775E-03
-9.95236E-08, -3.128011E-02, -7.58178E-03, 4.86852E-03
-9.95173E-08, -2.759161E-02, -5.21061E-03, 5.18468E-03
-9.95111E-08, -2.337619E-02, -2.57597E-03, 5.29007E-03
-9.95048E-08, -1.916077E-02, -7.3172E-04, 5.44814E-03
-9.94986E-08, -1.336456E-02, 1.90292E-03, 5.50084E-03
-9.94923E-08, -8.62221E-03, 3.74717E-03, 5.60622E-03
-9.94861E-08, -2.29907E-03, 5.32795E-03, 5.71161E-03
-9.94798E-08, 2.97021E-03, 7.43566E-03, 5.60622E-03
-9.94736E-08, 8.76641E-03, 8.75298E-03, 5.55353E-03
-9.94673E-08, 1.456262E-02, 1.007030E-02, 5.50084E-03
-9.94611E-08, 2.035883E-02, 1.059723E-02, 5.23737E-03
-9.94548E-08, 2.457425E-02, 1.086069E-02, 5.13199E-03
-9.94486E-08, 2.878967E-02, 1.086069E-02, 4.76314E-03
-9.94423E-08, 3.353202E-02, 1.112416E-02, 4.49967E-03
-9.94361E-08, 3.669359E-02, 1.033377E-02, 4.13082E-03
-9.94298E-08, 3.880130E-02, 9.54337E-03, 3.76197E-03
-9.94236E-08, 4.143594E-02, 8.22605E-03, 3.39313E-03
-9.94173E-08, 4.143594E-02, 7.17220E-03, 2.97158E-03
-9.94111E-08, 4.301672E-02, 6.11834E-03, 2.44466E-03
-9.94048E-08, 4.196287E-02, 4.01063E-03, 2.02311E-03
-9.93986E-08, 4.143594E-02, 2.42985E-03, 1.54888E-03
-9.93923E-08, 3.827437E-02, 5.867E-05, 1.07464E-03
-9.93861E-08, 3.563973E-02, -1.78558E-03, 7.0579E-04
-9.93798E-08, 3.247816E-02, -4.15675E-03, 3.3694E-04
-9.93736E-08, 2.826274E-02, -6.52793E-03, -8.460E-05
-9.93673E-08, 2.352039E-02, -8.63564E-03, -4.0076E-04
-9.93611E-08, 1.825111E-02, -1.100681E-02, -6.6422E-04
-9.93548E-08, 1.350876E-02, -1.311453E-02, -8.7499E-04
-9.93486E-08, 7.71256E-03, -1.495877E-02, -1.08576E-03
-9.93423E-08, 2.97021E-03, -1.759341E-02, -1.29653E-03
-9.93361E-08, -3.35293E-03, -1.917420E-02, -1.40192E-03
-9.93298E-08, -9.67606E-03, -2.128191E-02, -1.34923E-03
-9.93236E-08, -1.389149E-02, -2.259923E-02, -1.29653E-03
-9.93173E-08, -1.916077E-02, -2.391655E-02, -1.24384E-03
-9.93111E-08, -2.443004E-02, -2.470694E-02, -1.19115E-03
-9.93048E-08, -2.864547E-02, -2.602426E-02, -1.13845E-03
-9.92986E-08, -3.180704E-02, -2.707811E-02, -9.2768E-04
-9.92923E-08, -3.549553E-02, -2.734158E-02, -7.1691E-04
-9.92861E-08, -3.760324E-02, -2.786851E-02, -5.5883E-04
-9.92798E-08, -4.129174E-02, -2.813197E-02, -3.4806E-04
-9.92736E-08, -4.181866E-02, -2.839543E-02, -1.8998E-04
-9.92673E-08, -4.392638E-02, -2.892236E-02, -3.191E-05
-9.92611E-08, -4.392638E-02, -2.813197E-02, 1.2617E-04
-9.92548E-08, -4.445330E-02, -2.813197E-02, 1.7887E-04
-9.92486E-08, -4.498023E-02, -2.839543E-02, 3.3694E-04
-9.92423E-08, -4.339945E-02, -2.760504E-02, 2.8425E-04
-9.92361E-08, -4.181866E-02, -2.734158E-02, 1.7887E-04
-9.92298E-08, -4.076481E-02, -2.655119E-02, 2.3156E-04
-9.92236E-08, -3.813017E-02, -2.628772E-02, 7.348E-05
-9.92173E-08, -3.654939E-02, -2.576079E-02, -3.191E-05
-9.92111E-08, -3.444167E-02, -2.497040E-02, -3.4806E-04
-9.92048E-08, -3.233396E-02, -2.444347E-02, -6.1153E-04
-9.91986E-08, -2.917239E-02, -2.365308E-02, -8.7499E-04
-9.91923E-08, -2.706468E-02, -2.312616E-02, -1.19115E-03
-9.91861E-08, -2.390312E-02, -2.286269E-02, -1.45461E-03
-9.91798E-08, -2.179541E-02, -2.180883E-02, -1.82346E-03
-9.91736E-08, -1.968769E-02, -2.154537E-02, -2.24500E-03
-9.91673E-08, -1.652613E-02, -2.101844E-02, -2.40308E-03
-9.91611E-08, -1.494534E-02, -2.049151E-02, -2.77193E-03
-9.91548E-08, -1.231070E-02, -1.996459E-02, -2.93001E-03
-9.91486E-08, -1.072992E-02, -1.943766E-02, -3.14078E-03
-9.91423E-08, -7.56835E-03, -1.891073E-02, -3.24617E-03
-9.91361E-08, -5.98757E-03, -1.864727E-02, -3.35155E-03
-9.91298E-08, -5.46064E-03, -1.864727E-02, -3.19347E-03
-9.91236E-08, -2.82600E-03, -1.812034E-02, -3.19347E-03
-9.91173E-08, -2.82600E-03, -1.785688E-02, -2.87732E-03
-9.91111E-08, -1.9136E-04, -1.785688E-02, -2.61385E-03
-9.91048E-08, 3.3557E-04, -1.732995E-02, -2.13962E-03
-9.90986E-08, 2.44328E-03, -1.706648E-02, -1.66538E-03
-9.90923E-08, 3.49713E-03, -1.732995E-02, -1.08576E-03
-9.90861E-08, 4.02406E-03, -1.706648E-02, -3.4806E-04
-9.90798E-08, 5.07792E-03, -1.706648E-02, 2.8425E-04
-9.90736E-08, 6.13177E-03, -1.627609E-02, 1.18003E-03
-9.90673E-08, 7.18563E-03, -1.653956E-02, 2.02311E-03
-9.90611E-08, 8.23948E-03, -1.653956E-02, 2.86620E-03
-9.90548E-08, 8.76641E-03, -1.627609E-02, 3.86736E-03
-9.90486E-08, 9.29334E-03, -1.680302E-02, 4.71045E-03
-9.90423E-08, 9.29334E-03, -1.653956E-02, 5.60622E-03
-9.90361E-08, 9.29334E-03, -1.653956E-02, 6.39661E-03
-9.90298E-08, 9.82027E-03, -1.653956E-02, 7.29239E-03
-9.90236E-08, 8.23948E-03, -1.653956E-02, 8.03009E-03
-9.90173E-08, 8.76641E-03, -1.680302E-02, 8.71510E-03
-9.90111E-08, 8.76641E-03, -1.706648E-02, 9.18933E-03
-9.90048E-08, 8.23948E-03, -1.732995E-02, 9.55818E-03
-9.89986E-08, 6.65870E-03, -1.732995E-02, 9.82164E-03
-9.89923E-08, 4.55099E-03, -1.732995E-02, 1.013780E-02
-9.89861E-08, 4.02406E-03, -1.732995E-02, 1.019050E-02
-9.89798E-08, 1.38942E-03, -1.759341E-02, 1.003242E-02
-9.89736E-08, -1.9136E-04, -1.812034E-02, 9.76895E-03
-9.89673E-08, -3.35293E-03, -1.759341E-02, 9.45280E-03
-9.89611E-08, -4.40678E-03, -1.785688E-02, 8.92587E-03
-9.89548E-08, -7.56835E-03, -1.732995E-02, 8.34625E-03
-9.89486E-08, -1.020299E-02, -1.759341E-02, 7.55586E-03
-9.89423E-08, -1.336456E-02, -1.732995E-02, 6.92354E-03
-9.89361E-08, -1.494534E-02, -1.759341E-02, 5.92238E-03
-9.89298E-08, -1.810691E-02, -1.732995E-02, 4.97391E-03
-9.89236E-08, -2.074155E-02, -1.759341E-02, 4.02544E-03
-9.89173E-08, -2.284926E-02, -1.706648E-02, 3.12966E-03
-9.89111E-08, -2.443004E-02, -1.732995E-02, 2.12850E-03
-9.89048E-08, -2.706468E-02, -1.680302E-02, 1.12734E-03
-9.88986E-08, -2.759161E-02, -1.680302E-02, 1.7887E-04
-9.88923E-08, -2.969932E-02, -1.653956E-02, -6.1153E-04
-9.88861E-08, -3.075318E-02, -1.601263E-02, -1.34923E-03
-9.88798E-08, -2.969932E-02, -1.548570E-02, -1.98154E-03
-9.88736E-08, -2.917239E-02, -1.548570E-02, -2.56116E-03
-9.88673E-08, -2.864547E-02, -1.522224E-02, -3.03539E-03
-9.88611E-08, -2.706468E-02, -1.495877E-02, -3.29886E-03
-9.88548E-08, -2.443004E-02, -1.495877E-02, -3.35155E-03
-9.88486E-08, -2.284926E-02, -1.416838E-02, -3.40424E-03
-9.88423E-08, -1.863384E-02, -1.390492E-02, -3.35155E-03
-9.88361E-08, -1.599920E-02, -1.416838E-02, -3.03539E-03
-9.88298E-08, -1.231070E-02, -1.311453E-02, -2.61385E-03
-9.88236E-08, -8.62221E-03, -1.337799E-02, -2.08692E-03
-9.88173E-08, -3.35293E-03, -1.285106E-02, -1.45461E-03
-9.88111E-08, 8.6249E-04, -1.258760E-02, -7.1691E-04
-9.88048E-08, 4.55099E-03, -1.258760E-02, 1.2617E-04
-9.87986E-08, 1.034720E-02, -1.206067E-02, 9.6926E-04
-9.87923E-08, 1.456262E-02, -1.179721E-02, 1.86503E-03
-9.87861E-08, 1.930497E-02, -1.127028E-02, 2.81350E-03
-9.87798E-08, 2.299346E-02, -1.100681E-02, 3.86736E-03
-9.87736E-08, 2.773582E-02, -1.074335E-02, 4.76314E-03
-9.87673E-08, 3.037046E-02, -1.021642E-02, 5.76430E-03
-9.87611E-08, 3.353202E-02, -9.95296E-03, 6.60739E-03
-9.87548E-08, 3.563973E-02, -9.42603E-03, 7.45047E-03
-9.87486E-08, 3.722052E-02, -9.16257E-03, 8.18817E-03
-9.87423E-08, 3.827437E-02, -9.16257E-03, 8.82048E-03
-9.87361E-08, 3.827437E-02, -8.37217E-03, 9.29472E-03
-9.87298E-08, 3.722052E-02, -7.84525E-03, 9.76895E-03
-9.87236E-08, 3.616666E-02, -7.31832E-03, 1.003242E-02
-9.87173E-08, 3.353202E-02, -7.31832E-03, 1.029588E-02
-9.87111E-08, 2.984353E-02, -6.26446E-03, 1.034857E-02
-9.87048E-08, 2.562810E-02, -5.73753E-03, 1.034857E-02
-9.86986E-08, 2.193961E-02, -5.47407E-03, 1.008511E-02
-9.86923E-08, 1.456262E-02, -5.21061E-03, 9.82164E-03
-9.86861E-08, 9.29334E-03, -4.68368E-03, 9.50549E-03
-9.86798E-08, 1.38942E-03, -3.89329E-03, 8.92587E-03
-9.86736E-08, -5.46064E-03, -3.62982E-03, 8.39894E-03
-9.86673E-08, -1.389149E-02, -3.36636E-03, 7.71393E-03
-9.86611E-08, -2.179541E-02, -3.36636E-03, 7.02893E-03
-9.86548E-08, -3.022625E-02, -2.83943E-03, 6.34392E-03
-9.86486E-08, -3.760324E-02, -2.83943E-03, 5.60622E-03
-9.86423E-08, -4.656101E-02, -2.57597E-03, 4.71045E-03
-9.86361E-08, -5.499186E-02, -2.31250E-03, 3.92005E-03
-9.86298E-08, -6.289578E-02, -2.31250E-03, 3.12966E-03
-9.86236E-08, -6.974584E-02, -2.04904E-03, 2.28658E-03
-9.86173E-08, -7.764976E-02, -1.78558E-03, 1.49618E-03
-9.86111E-08, -8.449982E-02, -2.31250E-03, 9.1656E-04
-9.86048E-08, -9.029603E-02, -2.31250E-03, 1.7887E-04
-9.85986E-08, -9.345759E-02, -2.04904E-03, -4.0076E-04
-9.85923E-08, -9.767302E-02, -2.04904E-03, -9.2768E-04
-9.85861E-08, -9.978073E-02, -1.78558E-03, -1.61269E-03
-9.85798E-08, -1.0241537E-01, -2.04904E-03, -1.92885E-03
-9.85736E-08, -1.0294230E-01, -1.78558E-03, -2.29770E-03
-9.85673E-08, -1.0346922E-01, -1.78558E-03, -2.66655E-03
