,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,32015,32015,32015
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-7.0000000000E-08,-7.0000000000E-08,-7.0000000000E-08
XInc:               ,6.250000E-12,6.250000E-12,6.250000E-12
XOrg:               ,-7.0087853659E-08,-7.0087853659E-08,-7.0087853659E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.00000000000000E+00,-6.99999988079071E-01,2.95300006866455E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-2.88354070588684E+00,-6.76708141498989E-01,3.04616743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,12 NOV 2024,12 NOV 2024,12 NOV 2024
Time:               ,10:31:54,10:31:54,10:31:54
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-7.00879E-08, 1.403569E-02, 9.24656E-03, 1.23276E-03
-7.00816E-08, 9.29334E-03, 9.24656E-03, 1.44353E-03
-7.00754E-08, 3.49713E-03, 9.03579E-03, 1.73861E-03
-7.00691E-08, -1.77215E-03, 8.82502E-03, 1.99154E-03
-7.00629E-08, -7.56835E-03, 8.82502E-03, 2.11800E-03
-7.00566E-08, -1.441841E-02, 8.40348E-03, 2.28662E-03
-7.00504E-08, -2.021462E-02, 8.08732E-03, 2.41308E-03
-7.00441E-08, -2.601083E-02, 7.87655E-03, 2.53954E-03
-7.00379E-08, -3.075318E-02, 7.66578E-03, 2.53954E-03
-7.00316E-08, -3.707631E-02, 7.34962E-03, 2.62385E-03
-7.00254E-08, -4.129174E-02, 7.24423E-03, 2.53954E-03
-7.00191E-08, -4.550716E-02, 7.13885E-03, 2.53954E-03
-7.00129E-08, -4.814180E-02, 7.03346E-03, 2.37093E-03
-7.00066E-08, -5.235722E-02, 6.71731E-03, 2.24446E-03
-7.00004E-08, -5.499186E-02, 6.92808E-03, 2.03369E-03
-6.99941E-08, -5.657265E-02, 6.61192E-03, 1.90723E-03
-6.99879E-08, -5.604572E-02, 6.40115E-03, 1.61215E-03
-6.99816E-08, -5.709957E-02, 6.50653E-03, 1.35923E-03
-6.99754E-08, -5.657265E-02, 6.40115E-03, 1.06415E-03
-6.99691E-08, -5.499186E-02, 6.29576E-03, 8.9553E-04
-6.99629E-08, -5.288415E-02, 6.19038E-03, 6.0045E-04
-6.99566E-08, -4.972258E-02, 5.97961E-03, 3.0537E-04
-6.99504E-08, -4.814180E-02, 5.97961E-03, 1.3675E-04
-6.99441E-08, -4.339945E-02, 5.66345E-03, -1.1617E-04
-6.99379E-08, -3.813017E-02, 5.55806E-03, -2.0048E-04
-6.99316E-08, -3.444167E-02, 5.24191E-03, -2.4263E-04
-6.99254E-08, -2.969932E-02, 4.92575E-03, -3.6910E-04
-6.99191E-08, -2.443004E-02, 4.50421E-03, -4.1125E-04
-6.99129E-08, -1.863384E-02, 3.97728E-03, -3.6910E-04
-6.99066E-08, -1.389149E-02, 3.45035E-03, -2.4263E-04
-6.99004E-08, -7.56835E-03, 2.92343E-03, -3.186E-05
-6.98941E-08, -2.82600E-03, 2.08034E-03, 1.7891E-04
-6.98879E-08, 1.91635E-03, 1.13187E-03, 5.5830E-04
-6.98816E-08, 7.18563E-03, 2.8879E-04, 8.5338E-04
-6.98754E-08, 1.192798E-02, -6.5968E-04, 1.23276E-03
-6.98691E-08, 1.667033E-02, -1.81893E-03, 1.69646E-03
-6.98629E-08, 2.088575E-02, -2.87278E-03, 2.20231E-03
-6.98566E-08, 2.299346E-02, -4.24279E-03, 2.62385E-03
-6.98504E-08, 2.562810E-02, -5.29665E-03, 3.17186E-03
-6.98441E-08, 2.878967E-02, -6.77205E-03, 3.71986E-03
-6.98379E-08, 3.142431E-02, -8.14206E-03, 4.22571E-03
-6.98316E-08, 3.142431E-02, -9.61746E-03, 4.68941E-03
-6.98254E-08, 3.300510E-02, -1.098747E-02, 5.11095E-03
-6.98191E-08, 3.353202E-02, -1.267364E-02, 5.53249E-03
-6.98129E-08, 3.405895E-02, -1.393827E-02, 5.91188E-03
-6.98066E-08, 3.353202E-02, -1.541366E-02, 6.24912E-03
-6.98004E-08, 3.353202E-02, -1.667829E-02, 6.45989E-03
-6.97941E-08, 3.195124E-02, -1.794292E-02, 6.67066E-03
-6.97879E-08, 3.089738E-02, -1.931293E-02, 6.79712E-03
-6.97816E-08, 2.984353E-02, -2.036679E-02, 6.83928E-03
-6.97754E-08, 2.878967E-02, -2.131526E-02, 6.71281E-03
-6.97691E-08, 2.668196E-02, -2.247450E-02, 6.58635E-03
-6.97629E-08, 2.510118E-02, -2.310681E-02, 6.37558E-03
-6.97566E-08, 2.299346E-02, -2.384451E-02, 6.12265E-03
-6.97504E-08, 2.088575E-02, -2.426605E-02, 5.70111E-03
-6.97441E-08, 1.930497E-02, -2.468760E-02, 5.32172E-03
-6.97379E-08, 1.877804E-02, -2.479298E-02, 4.81587E-03
-6.97316E-08, 1.614340E-02, -2.479298E-02, 4.31002E-03
-6.97254E-08, 1.508955E-02, -2.468760E-02, 3.71986E-03
-6.97191E-08, 1.456262E-02, -2.447682E-02, 3.08755E-03
-6.97129E-08, 1.456262E-02, -2.405528E-02, 2.45524E-03
-6.97066E-08, 1.245491E-02, -2.363374E-02, 1.86508E-03
-6.97004E-08, 1.245491E-02, -2.279066E-02, 1.23276E-03
-6.96941E-08, 1.192798E-02, -2.184219E-02, 6.8476E-04
-6.96879E-08, 1.245491E-02, -2.120987E-02, 2.2106E-04
-6.96816E-08, 1.245491E-02, -2.005063E-02, -3.6910E-04
-6.96754E-08, 1.192798E-02, -1.910216E-02, -8.3279E-04
-6.96691E-08, 1.140105E-02, -1.783753E-02, -1.17003E-03
-6.96629E-08, 1.298183E-02, -1.678368E-02, -1.59157E-03
-6.96566E-08, 1.140105E-02, -1.572982E-02, -1.80234E-03
-6.96504E-08, 1.245491E-02, -1.446519E-02, -1.97096E-03
-6.96441E-08, 1.298183E-02, -1.372750E-02, -2.01311E-03
-6.96379E-08, 1.350876E-02, -1.246287E-02, -2.09742E-03
-6.96316E-08, 1.140105E-02, -1.151440E-02, -1.97096E-03
-6.96254E-08, 1.245491E-02, -1.067131E-02, -1.80234E-03
-6.96191E-08, 1.192798E-02, -9.72284E-03, -1.63372E-03
-6.96129E-08, 1.140105E-02, -9.19592E-03, -1.33864E-03
-6.96066E-08, 9.82027E-03, -8.66899E-03, -1.00141E-03
-6.96004E-08, 9.82027E-03, -8.03667E-03, -6.2202E-04
-6.95941E-08, 8.23948E-03, -7.61513E-03, -1.5833E-04
-6.95879E-08, 7.18563E-03, -7.40436E-03, 3.4752E-04
-6.95816E-08, 5.60485E-03, -7.19359E-03, 7.2691E-04
-6.95754E-08, 4.02406E-03, -7.08820E-03, 1.19061E-03
-6.95691E-08, 2.44328E-03, -6.98282E-03, 1.73861E-03
-6.95629E-08, -7.1829E-04, -7.08820E-03, 2.20231E-03
-6.95566E-08, -2.82600E-03, -7.29898E-03, 2.66601E-03
-6.95504E-08, -4.93371E-03, -7.40436E-03, 3.08755E-03
-6.95441E-08, -7.04142E-03, -7.40436E-03, 3.50909E-03
-6.95379E-08, -8.09528E-03, -7.61513E-03, 3.80417E-03
-6.95316E-08, -1.020299E-02, -7.93129E-03, 4.18356E-03
-6.95254E-08, -1.231070E-02, -8.14206E-03, 4.31002E-03
-6.95191E-08, -1.389149E-02, -8.14206E-03, 4.47864E-03
-6.95129E-08, -1.599920E-02, -8.35283E-03, 4.52079E-03
-6.95066E-08, -1.810691E-02, -8.35283E-03, 4.56295E-03
-6.95004E-08, -1.810691E-02, -8.24745E-03, 4.52079E-03
-6.94941E-08, -2.021462E-02, -8.14206E-03, 4.35218E-03
-6.94879E-08, -1.968769E-02, -7.82590E-03, 4.31002E-03
-6.94816E-08, -2.074155E-02, -7.61513E-03, 4.01494E-03
-6.94754E-08, -2.074155E-02, -7.19359E-03, 3.67771E-03
-6.94691E-08, -1.968769E-02, -6.77205E-03, 3.38263E-03
-6.94629E-08, -1.863384E-02, -6.24512E-03, 3.00324E-03
-6.94566E-08, -1.810691E-02, -5.71819E-03, 2.62385E-03
-6.94504E-08, -1.599920E-02, -5.08588E-03, 2.24446E-03
-6.94441E-08, -1.441841E-02, -4.34818E-03, 1.69646E-03
-6.94379E-08, -1.178377E-02, -3.39971E-03, 1.23276E-03
-6.94316E-08, -1.020299E-02, -2.66201E-03, 7.6907E-04
-6.94254E-08, -8.09528E-03, -2.02970E-03, 3.4752E-04
-6.94191E-08, -4.40678E-03, -1.29200E-03, -2.0048E-04
-6.94129E-08, -1.24522E-03, -4.4891E-04, -6.2202E-04
-6.94066E-08, -1.9136E-04, 7.801E-05, -1.00141E-03
-6.94004E-08, 4.02406E-03, 6.0494E-04, -1.29649E-03
-6.93941E-08, 6.65870E-03, 1.02648E-03, -1.67588E-03
-6.93879E-08, 9.29334E-03, 1.34264E-03, -1.92880E-03
-6.93816E-08, 1.245491E-02, 1.55341E-03, -2.22388E-03
-6.93754E-08, 1.508955E-02, 1.86957E-03, -2.43465E-03
-6.93691E-08, 1.667033E-02, 1.55341E-03, -2.56112E-03
-6.93629E-08, 2.035883E-02, 1.44803E-03, -2.68758E-03
-6.93566E-08, 2.193961E-02, 1.02648E-03, -2.81404E-03
-6.93504E-08, 2.352039E-02, 4.9956E-04, -2.77189E-03
-6.93441E-08, 2.510118E-02, -2.3814E-04, -2.72973E-03
-6.93379E-08, 2.668196E-02, -9.7584E-04, -2.72973E-03
-6.93316E-08, 2.720889E-02, -1.92431E-03, -2.68758E-03
-6.93254E-08, 2.773582E-02, -3.18894E-03, -2.47681E-03
-6.93191E-08, 2.773582E-02, -4.34818E-03, -2.43465E-03
-6.93129E-08, 2.826274E-02, -5.61281E-03, -2.22388E-03
-6.93066E-08, 2.826274E-02, -6.87743E-03, -2.05527E-03
-6.93004E-08, 2.773582E-02, -8.24745E-03, -1.88665E-03
-6.92941E-08, 2.668196E-02, -9.61746E-03, -1.63372E-03
-6.92879E-08, 2.510118E-02, -1.088209E-02, -1.38080E-03
-6.92816E-08, 2.457425E-02, -1.225210E-02, -1.17003E-03
-6.92754E-08, 2.299346E-02, -1.362211E-02, -1.08572E-03
-6.92691E-08, 2.141268E-02, -1.478135E-02, -7.4849E-04
-6.92629E-08, 1.825111E-02, -1.572982E-02, -5.7987E-04
-6.92566E-08, 1.667033E-02, -1.688906E-02, -3.6910E-04
-6.92504E-08, 1.456262E-02, -1.752138E-02, -1.5833E-04
-6.92441E-08, 1.192798E-02, -1.846985E-02, 1.029E-05
-6.92379E-08, 9.82027E-03, -1.899678E-02, 1.7891E-04
-6.92316E-08, 7.71256E-03, -1.952370E-02, 3.0537E-04
-6.92254E-08, 5.07792E-03, -1.952370E-02, 3.8968E-04
-6.92191E-08, 2.97021E-03, -1.973447E-02, 4.7399E-04
-6.92129E-08, 8.6249E-04, -1.941832E-02, 5.1614E-04
-6.92066E-08, -1.77215E-03, -1.920754E-02, 6.4260E-04
-6.92004E-08, -3.35293E-03, -1.857523E-02, 6.4260E-04
-6.91941E-08, -5.98757E-03, -1.804830E-02, 6.4260E-04
-6.91879E-08, -7.04142E-03, -1.731060E-02, 7.2691E-04
-6.91816E-08, -9.14914E-03, -1.636213E-02, 7.2691E-04
-6.91754E-08, -1.020299E-02, -1.520289E-02, 6.4260E-04
-6.91691E-08, -1.178377E-02, -1.414904E-02, 6.8476E-04
-6.91629E-08, -1.336456E-02, -1.277903E-02, 6.0045E-04
-6.91566E-08, -1.389149E-02, -1.119824E-02, 5.5830E-04
-6.91504E-08, -1.389149E-02, -1.014439E-02, 6.0045E-04
-6.91441E-08, -1.547227E-02, -8.56360E-03, 5.1614E-04
-6.91379E-08, -1.547227E-02, -7.08820E-03, 3.8968E-04
-6.91316E-08, -1.599920E-02, -5.71819E-03, 4.3183E-04
-6.91254E-08, -1.494534E-02, -4.24279E-03, 3.0537E-04
-6.91191E-08, -1.599920E-02, -2.76740E-03, 2.2106E-04
-6.91129E-08, -1.441841E-02, -1.39738E-03, 1.3675E-04
-6.91066E-08, -1.389149E-02, -2.3814E-04, 1.3675E-04
-6.91004E-08, -1.336456E-02, 1.13187E-03, 9.460E-05
-6.90941E-08, -1.178377E-02, 2.18573E-03, -3.186E-05
-6.90879E-08, -1.072992E-02, 3.13420E-03, 5.244E-05
-6.90816E-08, -9.67606E-03, 4.29344E-03, -3.186E-05
-6.90754E-08, -7.56835E-03, 5.13652E-03, -1.5833E-04
-6.90691E-08, -5.98757E-03, 5.87422E-03, -1.1617E-04
-6.90629E-08, -4.40678E-03, 6.50653E-03, -2.4263E-04
-6.90566E-08, -2.29907E-03, 6.82269E-03, -2.4263E-04
-6.90504E-08, -1.24522E-03, 7.24423E-03, -2.8479E-04
-6.90441E-08, 8.6249E-04, 7.45500E-03, -2.4263E-04
-6.90379E-08, 2.44328E-03, 7.77116E-03, -2.8479E-04
-6.90316E-08, 3.49713E-03, 7.56039E-03, -3.2694E-04
-6.90254E-08, 5.60485E-03, 7.56039E-03, -2.8479E-04
-6.90191E-08, 7.71256E-03, 7.34962E-03, -3.6910E-04
-6.90129E-08, 9.29334E-03, 7.13885E-03, -4.5341E-04
-6.90066E-08, 9.82027E-03, 6.71731E-03, -3.6910E-04
-6.90004E-08, 1.192798E-02, 6.40115E-03, -4.5341E-04
-6.89941E-08, 1.350876E-02, 5.87422E-03, -4.5341E-04
-6.89879E-08, 1.456262E-02, 5.03114E-03, -3.2694E-04
-6.89816E-08, 1.561647E-02, 4.60959E-03, -4.5341E-04
-6.89754E-08, 1.667033E-02, 3.87190E-03, -4.5341E-04
-6.89691E-08, 1.825111E-02, 3.13420E-03, -4.1125E-04
-6.89629E-08, 1.877804E-02, 2.18573E-03, -4.1125E-04
-6.89566E-08, 1.877804E-02, 1.55341E-03, -4.9556E-04
-6.89504E-08, 1.983190E-02, 7.1033E-04, -4.1125E-04
-6.89441E-08, 1.983190E-02, -1.3276E-04, -4.5341E-04
-6.89379E-08, 2.141268E-02, -6.5968E-04, -4.9556E-04
-6.89316E-08, 2.141268E-02, -1.81893E-03, -4.1125E-04
-6.89254E-08, 2.088575E-02, -2.66201E-03, -4.1125E-04
-6.89191E-08, 2.246654E-02, -3.39971E-03, -3.6910E-04
-6.89129E-08, 2.141268E-02, -4.24279E-03, -4.1125E-04
-6.89066E-08, 2.246654E-02, -4.98049E-03, -3.2694E-04
-6.89004E-08, 2.246654E-02, -5.61281E-03, -2.4263E-04
-6.88941E-08, 2.246654E-02, -6.24512E-03, -2.4263E-04
-6.88879E-08, 2.352039E-02, -6.87743E-03, -7.402E-05
-6.88816E-08, 2.404732E-02, -7.40436E-03, -3.186E-05
-6.88754E-08, 2.404732E-02, -7.93129E-03, 5.244E-05
-6.88691E-08, 2.404732E-02, -8.24745E-03, 2.2106E-04
-6.88629E-08, 2.510118E-02, -8.56360E-03, 3.4752E-04
-6.88566E-08, 2.562810E-02, -8.87976E-03, 6.0045E-04
-6.88504E-08, 2.615503E-02, -9.09053E-03, 8.1122E-04
-6.88441E-08, 2.668196E-02, -9.19592E-03, 9.7984E-04
-6.88379E-08, 2.773582E-02, -9.19592E-03, 1.10630E-03
-6.88316E-08, 2.773582E-02, -8.98515E-03, 1.40138E-03
-6.88254E-08, 2.931660E-02, -8.66899E-03, 1.65431E-03
-6.88191E-08, 3.089738E-02, -8.35283E-03, 1.94939E-03
-6.88129E-08, 3.142431E-02, -8.14206E-03, 2.11800E-03
-6.88066E-08, 3.195124E-02, -7.61513E-03, 2.37093E-03
-6.88004E-08, 3.195124E-02, -7.08820E-03, 2.70816E-03
-6.87941E-08, 3.247816E-02, -6.56128E-03, 2.96109E-03
-6.87879E-08, 3.353202E-02, -5.82358E-03, 3.21401E-03
-6.87816E-08, 3.353202E-02, -5.19126E-03, 3.42478E-03
-6.87754E-08, 3.405895E-02, -4.34818E-03, 3.67771E-03
-6.87691E-08, 3.405895E-02, -3.71587E-03, 3.80417E-03
-6.87629E-08, 3.300510E-02, -2.87278E-03, 3.97279E-03
-6.87566E-08, 3.247816E-02, -2.13508E-03, 4.18356E-03
-6.87504E-08, 3.089738E-02, -1.29200E-03, 4.31002E-03
-6.87441E-08, 3.089738E-02, -6.5968E-04, 4.43648E-03
-6.87379E-08, 2.878967E-02, -2.737E-05, 4.43648E-03
-6.87316E-08, 2.668196E-02, 7.1033E-04, 4.52079E-03
-6.87254E-08, 2.457425E-02, 1.55341E-03, 4.52079E-03
-6.87191E-08, 2.193961E-02, 2.08034E-03, 4.43648E-03
-6.87129E-08, 2.035883E-02, 2.60727E-03, 4.31002E-03
-6.87066E-08, 1.614340E-02, 3.13420E-03, 4.22571E-03
-6.87004E-08, 1.298183E-02, 3.76651E-03, 4.09925E-03
-6.86941E-08, 9.29334E-03, 3.87190E-03, 3.84633E-03
-6.86879E-08, 6.13177E-03, 4.39882E-03, 3.67771E-03
-6.86816E-08, 1.91635E-03, 4.50421E-03, 3.42478E-03
-6.86754E-08, -1.24522E-03, 4.71498E-03, 3.12970E-03
-6.86691E-08, -5.46064E-03, 4.71498E-03, 2.83462E-03
-6.86629E-08, -8.62221E-03, 4.82037E-03, 2.53954E-03
-6.86566E-08, -1.231070E-02, 4.71498E-03, 2.32877E-03
-6.86504E-08, -1.652613E-02, 4.71498E-03, 1.90723E-03
-6.86441E-08, -1.863384E-02, 4.60959E-03, 1.69646E-03
-6.86379E-08, -2.179541E-02, 4.50421E-03, 1.40138E-03
-6.86316E-08, -2.495697E-02, 3.97728E-03, 1.10630E-03
-6.86254E-08, -2.706468E-02, 3.55574E-03, 8.5338E-04
-6.86191E-08, -2.969932E-02, 3.34497E-03, 5.5830E-04
-6.86129E-08, -3.180704E-02, 2.92343E-03, 3.4752E-04
-6.86066E-08, -3.286089E-02, 2.39650E-03, 1.7891E-04
