,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,32015,32015,32015
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-7.0000000000E-08,-7.0000000000E-08,-7.0000000000E-08
XInc:               ,6.250000E-12,6.250000E-12,6.250000E-12
XOrg:               ,-7.0040285276E-08,-7.0040285276E-08,-7.0040285276E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.00000000000000E+00,-6.99999988079071E-01,2.95300006866455E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-2.88354070588684E+00,-6.76708141498989E-01,3.04616743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,12 NOV 2024,12 NOV 2024,12 NOV 2024
Time:               ,10:40:18,10:40:18,10:40:18
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-7.00403E-08, -1.24522E-03, 4.08267E-03, 4.22571E-03
-7.00340E-08, -7.1829E-04, 3.87190E-03, 3.84633E-03
-7.00278E-08, 3.3557E-04, 4.08267E-03, 3.55125E-03
-7.00215E-08, 3.3557E-04, 3.87190E-03, 3.17186E-03
-7.00153E-08, 3.3557E-04, 3.55574E-03, 2.87678E-03
-7.00090E-08, 3.3557E-04, 3.23958E-03, 2.58170E-03
-7.00028E-08, 8.6249E-04, 3.02881E-03, 2.28662E-03
-6.99965E-08, -1.9136E-04, 2.50188E-03, 2.07585E-03
-6.99903E-08, -1.9136E-04, 1.97495E-03, 1.78077E-03
-6.99840E-08, -1.24522E-03, 1.34264E-03, 1.61215E-03
-6.99778E-08, -1.77215E-03, 6.0494E-04, 1.40138E-03
-6.99715E-08, -1.77215E-03, 7.801E-05, 1.27492E-03
-6.99653E-08, -7.1829E-04, -7.6507E-04, 1.14845E-03
-6.99590E-08, -1.24522E-03, -1.50277E-03, 1.19061E-03
-6.99528E-08, -1.24522E-03, -2.34585E-03, 1.14845E-03
-6.99465E-08, -1.9136E-04, -3.08355E-03, 1.23276E-03
-6.99403E-08, -1.9136E-04, -3.82125E-03, 1.23276E-03
-6.99340E-08, 8.6249E-04, -4.34818E-03, 1.23276E-03
-6.99278E-08, 2.97021E-03, -5.08588E-03, 1.35923E-03
-6.99215E-08, 3.49713E-03, -5.82358E-03, 1.52784E-03
-6.99153E-08, 5.60485E-03, -6.24512E-03, 1.61215E-03
-6.99090E-08, 6.13177E-03, -6.45589E-03, 1.78077E-03
-6.99028E-08, 8.76641E-03, -6.87743E-03, 1.90723E-03
-6.98965E-08, 1.192798E-02, -7.08820E-03, 2.07585E-03
-6.98903E-08, 1.350876E-02, -7.08820E-03, 2.07585E-03
-6.98840E-08, 1.561647E-02, -7.08820E-03, 2.20231E-03
-6.98778E-08, 1.772419E-02, -6.66666E-03, 2.28662E-03
-6.98715E-08, 2.088575E-02, -6.35051E-03, 2.24446E-03
-6.98653E-08, 2.246654E-02, -5.92896E-03, 2.20231E-03
-6.98590E-08, 2.510118E-02, -5.50742E-03, 2.11800E-03
-6.98528E-08, 2.668196E-02, -4.87511E-03, 2.07585E-03
-6.98465E-08, 2.878967E-02, -4.24279E-03, 1.99154E-03
-6.98403E-08, 3.037046E-02, -3.50509E-03, 1.86508E-03
-6.98340E-08, 3.142431E-02, -2.66201E-03, 1.65431E-03
-6.98278E-08, 3.247816E-02, -1.81893E-03, 1.48569E-03
-6.98215E-08, 3.405895E-02, -1.08123E-03, 1.19061E-03
-6.98153E-08, 3.353202E-02, -2.3814E-04, 9.3768E-04
-6.98090E-08, 3.353202E-02, 7.1033E-04, 6.8476E-04
-6.98028E-08, 3.247816E-02, 1.44803E-03, 3.4752E-04
-6.97965E-08, 3.195124E-02, 2.18573E-03, 5.244E-05
-6.97903E-08, 3.142431E-02, 2.92343E-03, -1.5833E-04
-6.97840E-08, 2.931660E-02, 3.55574E-03, -4.9556E-04
-6.97778E-08, 2.668196E-02, 4.08267E-03, -7.0633E-04
-6.97715E-08, 2.562810E-02, 4.60959E-03, -1.04357E-03
-6.97653E-08, 2.352039E-02, 4.82037E-03, -1.21218E-03
-6.97590E-08, 2.035883E-02, 5.24191E-03, -1.46511E-03
-6.97528E-08, 1.772419E-02, 5.34729E-03, -1.59157E-03
-6.97465E-08, 1.403569E-02, 5.45268E-03, -1.76019E-03
-6.97403E-08, 1.140105E-02, 5.45268E-03, -1.88665E-03
-6.97340E-08, 8.76641E-03, 5.34729E-03, -1.88665E-03
-6.97278E-08, 5.60485E-03, 5.13652E-03, -1.92880E-03
-6.97215E-08, 2.97021E-03, 5.03114E-03, -1.88665E-03
-6.97153E-08, 3.3557E-04, 4.60959E-03, -1.76019E-03
-6.97090E-08, -3.35293E-03, 4.39882E-03, -1.67588E-03
-6.97028E-08, -5.46064E-03, 4.18805E-03, -1.46511E-03
-6.96965E-08, -7.56835E-03, 3.66112E-03, -1.25434E-03
-6.96903E-08, -8.62221E-03, 3.55574E-03, -1.04357E-03
-6.96840E-08, -1.125685E-02, 2.92343E-03, -7.9064E-04
-6.96778E-08, -1.389149E-02, 2.71265E-03, -4.9556E-04
-6.96715E-08, -1.494534E-02, 2.18573E-03, -1.1617E-04
-6.96653E-08, -1.652613E-02, 1.97495E-03, 1.7891E-04
-6.96590E-08, -1.757998E-02, 1.76418E-03, 6.0045E-04
-6.96528E-08, -1.916077E-02, 1.34264E-03, 8.9553E-04
-6.96465E-08, -1.916077E-02, 1.02648E-03, 1.23276E-03
-6.96403E-08, -2.074155E-02, 8.1571E-04, 1.52784E-03
-6.96340E-08, -2.179541E-02, 6.0494E-04, 1.86508E-03
-6.96278E-08, -2.179541E-02, 2.8879E-04, 2.11800E-03
-6.96215E-08, -2.337619E-02, 7.801E-05, 2.41308E-03
-6.96153E-08, -2.337619E-02, -2.3814E-04, 2.62385E-03
-6.96090E-08, -2.443004E-02, -3.4353E-04, 2.83462E-03
-6.96028E-08, -2.495697E-02, -7.6507E-04, 3.08755E-03
-6.95965E-08, -2.706468E-02, -1.18661E-03, 3.25617E-03
-6.95903E-08, -2.706468E-02, -1.71354E-03, 3.29832E-03
-6.95840E-08, -2.864547E-02, -2.24047E-03, 3.50909E-03
-6.95778E-08, -2.864547E-02, -2.66201E-03, 3.55125E-03
-6.95715E-08, -2.969932E-02, -3.08355E-03, 3.55125E-03
-6.95653E-08, -3.075318E-02, -3.71587E-03, 3.50909E-03
-6.95590E-08, -3.180704E-02, -4.45356E-03, 3.55125E-03
-6.95528E-08, -3.286089E-02, -5.19126E-03, 3.42478E-03
-6.95465E-08, -3.338782E-02, -6.13973E-03, 3.38263E-03
-6.95403E-08, -3.496860E-02, -6.98282E-03, 3.38263E-03
-6.95340E-08, -3.444167E-02, -7.72052E-03, 3.17186E-03
-6.95278E-08, -3.654939E-02, -8.56360E-03, 3.00324E-03
-6.95215E-08, -3.602246E-02, -9.40669E-03, 2.91893E-03
-6.95153E-08, -3.549553E-02, -1.035516E-02, 2.75032E-03
-6.95090E-08, -3.654939E-02, -1.119824E-02, 2.58170E-03
-6.95028E-08, -3.602246E-02, -1.204133E-02, 2.41308E-03
-6.94965E-08, -3.602246E-02, -1.267364E-02, 2.28662E-03
-6.94903E-08, -3.444167E-02, -1.330595E-02, 2.07585E-03
-6.94840E-08, -3.391474E-02, -1.404365E-02, 1.86508E-03
-6.94778E-08, -3.233396E-02, -1.467597E-02, 1.69646E-03
-6.94715E-08, -3.075318E-02, -1.499212E-02, 1.57000E-03
-6.94653E-08, -2.864547E-02, -1.520289E-02, 1.35923E-03
-6.94590E-08, -2.548390E-02, -1.541366E-02, 1.14845E-03
-6.94528E-08, -2.337619E-02, -1.551905E-02, 9.7984E-04
-6.94465E-08, -2.074155E-02, -1.551905E-02, 8.1122E-04
-6.94403E-08, -1.810691E-02, -1.530828E-02, 7.2691E-04
-6.94340E-08, -1.441841E-02, -1.488674E-02, 5.1614E-04
-6.94278E-08, -1.231070E-02, -1.457058E-02, 3.4752E-04
-6.94215E-08, -9.67606E-03, -1.404365E-02, 1.3675E-04
-6.94153E-08, -5.46064E-03, -1.320057E-02, 1.029E-05
-6.94090E-08, -3.35293E-03, -1.256825E-02, -7.402E-05
-6.94028E-08, -7.1829E-04, -1.172517E-02, -3.2694E-04
-6.93965E-08, 1.38942E-03, -1.088209E-02, -4.1125E-04
-6.93903E-08, 4.55099E-03, -9.93362E-03, -5.7987E-04
-6.93840E-08, 5.60485E-03, -9.30130E-03, -6.6418E-04
-6.93778E-08, 7.18563E-03, -8.35283E-03, -8.3279E-04
-6.93715E-08, 8.76641E-03, -7.40436E-03, -9.1710E-04
-6.93653E-08, 1.034720E-02, -6.45589E-03, -1.04357E-03
-6.93590E-08, 1.034720E-02, -5.92896E-03, -1.17003E-03
-6.93528E-08, 1.034720E-02, -5.19126E-03, -1.17003E-03
-6.93465E-08, 9.29334E-03, -4.45356E-03, -1.21218E-03
-6.93403E-08, 8.23948E-03, -4.13741E-03, -1.21218E-03
-6.93340E-08, 7.71256E-03, -3.61048E-03, -1.29649E-03
-6.93278E-08, 5.07792E-03, -3.29432E-03, -1.33864E-03
-6.93215E-08, 3.49713E-03, -3.39971E-03, -1.29649E-03
-6.93153E-08, 1.38942E-03, -3.29432E-03, -1.21218E-03
-6.93090E-08, -1.24522E-03, -3.29432E-03, -1.17003E-03
-6.93028E-08, -4.93371E-03, -3.29432E-03, -1.08572E-03
-6.92965E-08, -7.04142E-03, -3.39971E-03, -9.5926E-04
-6.92903E-08, -9.67606E-03, -3.71587E-03, -8.3279E-04
-6.92840E-08, -1.283763E-02, -4.03202E-03, -6.6418E-04
-6.92778E-08, -1.441841E-02, -4.24279E-03, -4.9556E-04
-6.92715E-08, -1.705305E-02, -4.87511E-03, -3.6910E-04
-6.92653E-08, -2.021462E-02, -4.98049E-03, -2.0048E-04
-6.92590E-08, -2.126848E-02, -5.50742E-03, -3.186E-05
-6.92528E-08, -2.232233E-02, -5.61281E-03, 1.3675E-04
-6.92465E-08, -2.495697E-02, -6.03435E-03, 3.0537E-04
-6.92403E-08, -2.548390E-02, -6.13973E-03, 6.0045E-04
-6.92340E-08, -2.601083E-02, -6.13973E-03, 6.8476E-04
-6.92278E-08, -2.495697E-02, -6.24512E-03, 8.5338E-04
-6.92215E-08, -2.548390E-02, -6.24512E-03, 1.06415E-03
-6.92153E-08, -2.390312E-02, -5.92896E-03, 1.14845E-03
-6.92090E-08, -2.284926E-02, -5.71819E-03, 1.23276E-03
-6.92028E-08, -2.074155E-02, -5.19126E-03, 1.35923E-03
-6.91965E-08, -1.810691E-02, -4.55895E-03, 1.44353E-03
-6.91903E-08, -1.494534E-02, -3.82125E-03, 1.40138E-03
-6.91840E-08, -1.283763E-02, -3.08355E-03, 1.48569E-03
-6.91778E-08, -9.14914E-03, -2.34585E-03, 1.52784E-03
-6.91715E-08, -5.46064E-03, -1.18661E-03, 1.48569E-03
-6.91653E-08, -1.77215E-03, -3.4353E-04, 1.35923E-03
-6.91590E-08, 1.91635E-03, 6.0494E-04, 1.40138E-03
-6.91528E-08, 5.60485E-03, 1.65880E-03, 1.31707E-03
-6.91465E-08, 9.29334E-03, 2.71265E-03, 1.31707E-03
-6.91403E-08, 1.245491E-02, 3.66112E-03, 1.19061E-03
-6.91340E-08, 1.561647E-02, 4.50421E-03, 1.06415E-03
-6.91278E-08, 1.930497E-02, 5.24191E-03, 9.7984E-04
-6.91215E-08, 2.088575E-02, 5.97961E-03, 9.3768E-04
-6.91153E-08, 2.299346E-02, 6.50653E-03, 9.3768E-04
-6.91090E-08, 2.352039E-02, 6.92808E-03, 9.3768E-04
-6.91028E-08, 2.510118E-02, 7.45500E-03, 8.5338E-04
-6.90965E-08, 2.457425E-02, 7.56039E-03, 9.7984E-04
-6.90903E-08, 2.562810E-02, 7.66578E-03, 1.02199E-03
-6.90840E-08, 2.299346E-02, 7.45500E-03, 1.14845E-03
-6.90778E-08, 2.141268E-02, 6.92808E-03, 1.14845E-03
-6.90715E-08, 2.035883E-02, 6.29576E-03, 1.35923E-03
-6.90653E-08, 1.667033E-02, 5.55806E-03, 1.52784E-03
-6.90590E-08, 1.350876E-02, 4.71498E-03, 1.78077E-03
-6.90528E-08, 9.82027E-03, 3.66112E-03, 1.90723E-03
-6.90465E-08, 4.55099E-03, 2.39650E-03, 2.28662E-03
-6.90403E-08, -1.9136E-04, 1.02648E-03, 2.53954E-03
-6.90340E-08, -5.46064E-03, -4.4891E-04, 2.87678E-03
-6.90278E-08, -9.67606E-03, -2.13508E-03, 3.12970E-03
-6.90215E-08, -1.547227E-02, -3.71587E-03, 3.42478E-03
-6.90153E-08, -2.179541E-02, -5.50742E-03, 3.76202E-03
-6.90090E-08, -2.601083E-02, -7.19359E-03, 4.05710E-03
-6.90028E-08, -3.180704E-02, -8.98515E-03, 4.31002E-03
-6.89965E-08, -3.602246E-02, -1.077670E-02, 4.60510E-03
-6.89903E-08, -4.023788E-02, -1.235748E-02, 4.73156E-03
-6.89840E-08, -4.392638E-02, -1.404365E-02, 4.98449E-03
-6.89778E-08, -4.708794E-02, -1.530828E-02, 5.19526E-03
-6.89715E-08, -4.972258E-02, -1.678368E-02, 5.27957E-03
-6.89653E-08, -5.130336E-02, -1.783753E-02, 5.36388E-03
-6.89590E-08, -5.183030E-02, -1.910216E-02, 5.36388E-03
-6.89528E-08, -5.183030E-02, -2.005063E-02, 5.36388E-03
-6.89465E-08, -5.130336E-02, -2.068294E-02, 5.32172E-03
-6.89403E-08, -5.024951E-02, -2.142064E-02, 5.19526E-03
-6.89340E-08, -4.814180E-02, -2.152603E-02, 5.02664E-03
-6.89278E-08, -4.550716E-02, -2.163141E-02, 4.85803E-03
-6.89215E-08, -4.076481E-02, -2.163141E-02, 4.60510E-03
-6.89153E-08, -3.654939E-02, -2.142064E-02, 4.31002E-03
-6.89090E-08, -3.180704E-02, -2.089372E-02, 4.18356E-03
-6.89028E-08, -2.653776E-02, -2.005063E-02, 3.84633E-03
-6.88965E-08, -2.021462E-02, -1.941832E-02, 3.46694E-03
-6.88903E-08, -1.336456E-02, -1.825907E-02, 3.17186E-03
-6.88840E-08, -8.62221E-03, -1.720522E-02, 2.91893E-03
-6.88778E-08, -7.1829E-04, -1.583521E-02, 2.62385E-03
-6.88715E-08, 6.13177E-03, -1.467597E-02, 2.32877E-03
-6.88653E-08, 1.140105E-02, -1.320057E-02, 2.03369E-03
-6.88590E-08, 1.772419E-02, -1.151440E-02, 1.78077E-03
-6.88528E-08, 2.457425E-02, -1.014439E-02, 1.61215E-03
-6.88465E-08, 2.931660E-02, -8.66899E-03, 1.44353E-03
-6.88403E-08, 3.353202E-02, -7.29898E-03, 1.35923E-03
-6.88340E-08, 3.827437E-02, -5.61281E-03, 1.27492E-03
-6.88278E-08, 4.196287E-02, -4.24279E-03, 1.19061E-03
-6.88215E-08, 4.407058E-02, -2.76740E-03, 1.19061E-03
-6.88153E-08, 4.670522E-02, -1.71354E-03, 1.27492E-03
-6.88090E-08, 4.775907E-02, -7.6507E-04, 1.31707E-03
-6.88028E-08, 4.775907E-02, 3.9417E-04, 1.48569E-03
-6.87965E-08, 4.723215E-02, 1.13187E-03, 1.65431E-03
-6.87903E-08, 4.617829E-02, 1.97495E-03, 1.69646E-03
-6.87840E-08, 4.354365E-02, 2.29111E-03, 1.94939E-03
-6.87778E-08, 4.090901E-02, 2.71265E-03, 2.03369E-03
-6.87715E-08, 3.722052E-02, 2.60727E-03, 2.20231E-03
-6.87653E-08, 3.300510E-02, 2.81804E-03, 2.45524E-03
-6.87590E-08, 2.826274E-02, 2.39650E-03, 2.62385E-03
-6.87528E-08, 2.352039E-02, 2.08034E-03, 2.75032E-03
-6.87465E-08, 1.772419E-02, 1.55341E-03, 2.96109E-03
-6.87403E-08, 1.245491E-02, 7.1033E-04, 3.04540E-03
-6.87340E-08, 6.65870E-03, 1.8340E-04, 3.08755E-03
-6.87278E-08, 1.38942E-03, -7.6507E-04, 3.12970E-03
-6.87215E-08, -3.87986E-03, -1.81893E-03, 3.21401E-03
-6.87153E-08, -8.09528E-03, -2.87278E-03, 3.08755E-03
-6.87090E-08, -1.336456E-02, -3.71587E-03, 3.04540E-03
-6.87028E-08, -1.757998E-02, -4.98049E-03, 3.00324E-03
-6.86965E-08, -2.126848E-02, -5.92896E-03, 2.83462E-03
-6.86903E-08, -2.284926E-02, -6.98282E-03, 2.62385E-03
-6.86840E-08, -2.653776E-02, -7.93129E-03, 2.49739E-03
-6.86778E-08, -2.706468E-02, -8.77437E-03, 2.28662E-03
-6.86715E-08, -2.759161E-02, -9.51207E-03, 1.99154E-03
-6.86653E-08, -2.759161E-02, -9.93362E-03, 1.69646E-03
-6.86590E-08, -2.706468E-02, -1.056593E-02, 1.52784E-03
-6.86528E-08, -2.653776E-02, -1.077670E-02, 1.27492E-03
-6.86465E-08, -2.337619E-02, -1.109286E-02, 1.10630E-03
-6.86403E-08, -2.021462E-02, -1.119824E-02, 8.1122E-04
-6.86340E-08, -1.757998E-02, -1.077670E-02, 5.5830E-04
-6.86278E-08, -1.283763E-02, -1.067131E-02, 5.1614E-04
-6.86215E-08, -9.14914E-03, -1.014439E-02, 3.4752E-04
-6.86153E-08, -4.93371E-03, -9.30130E-03, 2.2106E-04
-6.86090E-08, -7.1829E-04, -8.24745E-03, 2.2106E-04
-6.86028E-08, 4.02406E-03, -7.19359E-03, 2.6322E-04
-6.85965E-08, 8.23948E-03, -6.24512E-03, 3.0537E-04
-6.85903E-08, 1.350876E-02, -4.98049E-03, 4.7399E-04
-6.85840E-08, 1.614340E-02, -3.50509E-03, 6.4260E-04
-6.85778E-08, 2.088575E-02, -2.13508E-03, 8.1122E-04
-6.85715E-08, 2.457425E-02, -7.6507E-04, 1.14845E-03
-6.85653E-08, 2.615503E-02, 6.0494E-04, 1.40138E-03
-6.85590E-08, 2.720889E-02, 2.18573E-03, 1.78077E-03
