,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,32015,32015,32015
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-7.0000000000E-08,-7.0000000000E-08,-7.0000000000E-08
XInc:               ,6.250000E-12,6.250000E-12,6.250000E-12
XOrg:               ,-7.0069426873E-08,-7.0069426873E-08,-7.0069426873E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.00000000000000E+00,-6.99999988079071E-01,2.95300006866455E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-2.88354070588684E+00,-6.76708141498989E-01,3.04616743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,12 NOV 2024,12 NOV 2024,12 NOV 2024
Time:               ,10:13:05,10:13:05,10:13:05
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-7.00694E-08, 3.142431E-02, -1.256825E-02, 2.58170E-03
-7.00632E-08, 3.089738E-02, -1.330595E-02, 2.53954E-03
-7.00569E-08, 3.037046E-02, -1.404365E-02, 2.41308E-03
-7.00507E-08, 2.931660E-02, -1.478135E-02, 2.24446E-03
-7.00444E-08, 2.773582E-02, -1.530828E-02, 2.11800E-03
-7.00382E-08, 2.510118E-02, -1.562444E-02, 2.03369E-03
-7.00319E-08, 2.141268E-02, -1.625675E-02, 1.94939E-03
-7.00257E-08, 1.772419E-02, -1.646752E-02, 1.90723E-03
-7.00194E-08, 1.350876E-02, -1.657291E-02, 1.78077E-03
-7.00132E-08, 7.71256E-03, -1.657291E-02, 1.82292E-03
-7.00069E-08, 2.97021E-03, -1.667829E-02, 1.73861E-03
-7.00007E-08, -2.82600E-03, -1.625675E-02, 1.73861E-03
-6.99944E-08, -9.67606E-03, -1.615136E-02, 1.73861E-03
-6.99882E-08, -1.494534E-02, -1.572982E-02, 1.73861E-03
-6.99819E-08, -2.126848E-02, -1.509751E-02, 1.82292E-03
-6.99757E-08, -2.811854E-02, -1.457058E-02, 1.99154E-03
-6.99694E-08, -3.444167E-02, -1.372750E-02, 2.16016E-03
-6.99632E-08, -3.918403E-02, -1.309518E-02, 2.28662E-03
-6.99569E-08, -4.498023E-02, -1.225210E-02, 2.37093E-03
-6.99507E-08, -5.024951E-02, -1.130363E-02, 2.62385E-03
-6.99444E-08, -5.446493E-02, -1.035516E-02, 2.79247E-03
-6.99382E-08, -5.815343E-02, -9.51207E-03, 2.96109E-03
-6.99319E-08, -6.078807E-02, -8.66899E-03, 3.21401E-03
-6.99257E-08, -6.289578E-02, -7.72052E-03, 3.42478E-03
-6.99194E-08, -6.394964E-02, -6.66666E-03, 3.46694E-03
-6.99132E-08, -6.553042E-02, -5.92896E-03, 3.71986E-03
-6.99069E-08, -6.500349E-02, -5.08588E-03, 3.88848E-03
-6.99007E-08, -6.394964E-02, -4.34818E-03, 3.97279E-03
-6.98944E-08, -6.131500E-02, -3.71587E-03, 4.09925E-03
-6.98882E-08, -5.973421E-02, -2.87278E-03, 4.18356E-03
-6.98819E-08, -5.604572E-02, -2.34585E-03, 4.22571E-03
-6.98757E-08, -5.288415E-02, -2.13508E-03, 4.22571E-03
-6.98694E-08, -4.761487E-02, -1.60815E-03, 4.35218E-03
-6.98632E-08, -4.287252E-02, -1.39738E-03, 4.18356E-03
-6.98569E-08, -3.760324E-02, -1.08123E-03, 4.09925E-03
-6.98507E-08, -3.180704E-02, -9.7584E-04, 4.05710E-03
-6.98444E-08, -2.601083E-02, -1.08123E-03, 3.88848E-03
-6.98382E-08, -1.968769E-02, -1.18661E-03, 3.71986E-03
-6.98319E-08, -1.494534E-02, -1.18661E-03, 3.55125E-03
-6.98257E-08, -8.62221E-03, -1.39738E-03, 3.38263E-03
-6.98194E-08, -2.82600E-03, -1.60815E-03, 3.04540E-03
-6.98132E-08, 2.44328E-03, -1.92431E-03, 2.70816E-03
-6.98069E-08, 7.18563E-03, -2.34585E-03, 2.53954E-03
-6.98007E-08, 1.087412E-02, -2.55662E-03, 2.16016E-03
-6.97944E-08, 1.456262E-02, -2.97817E-03, 1.90723E-03
-6.97882E-08, 1.825111E-02, -3.39971E-03, 1.61215E-03
-6.97819E-08, 2.088575E-02, -3.71587E-03, 1.31707E-03
-6.97757E-08, 2.246654E-02, -4.34818E-03, 1.02199E-03
-6.97694E-08, 2.404732E-02, -4.66434E-03, 8.1122E-04
-6.97632E-08, 2.457425E-02, -4.87511E-03, 5.1614E-04
-6.97569E-08, 2.457425E-02, -5.40204E-03, 2.2106E-04
-6.97507E-08, 2.246654E-02, -5.71819E-03, 1.3675E-04
-6.97444E-08, 2.193961E-02, -6.24512E-03, -3.186E-05
-6.97382E-08, 1.877804E-02, -6.56128E-03, -1.5833E-04
-6.97319E-08, 1.667033E-02, -6.87743E-03, -2.8479E-04
-6.97257E-08, 1.350876E-02, -7.40436E-03, -3.2694E-04
-6.97194E-08, 9.29334E-03, -7.72052E-03, -3.2694E-04
-6.97132E-08, 5.07792E-03, -8.03667E-03, -2.8479E-04
-6.97069E-08, 8.6249E-04, -8.24745E-03, -3.2694E-04
-6.97007E-08, -3.35293E-03, -8.66899E-03, -2.0048E-04
-6.96944E-08, -7.56835E-03, -8.87976E-03, -1.1617E-04
-6.96882E-08, -1.283763E-02, -9.19592E-03, 5.244E-05
-6.96819E-08, -1.757998E-02, -9.61746E-03, 2.2106E-04
-6.96757E-08, -2.179541E-02, -9.93362E-03, 4.7399E-04
-6.96694E-08, -2.759161E-02, -1.024977E-02, 6.0045E-04
-6.96632E-08, -3.022625E-02, -1.056593E-02, 8.1122E-04
-6.96569E-08, -3.444167E-02, -1.088209E-02, 9.3768E-04
-6.96507E-08, -3.813017E-02, -1.130363E-02, 1.19061E-03
-6.96444E-08, -4.023788E-02, -1.140901E-02, 1.35923E-03
-6.96382E-08, -4.287252E-02, -1.183056E-02, 1.61215E-03
-6.96319E-08, -4.550716E-02, -1.225210E-02, 1.78077E-03
-6.96257E-08, -4.761487E-02, -1.267364E-02, 1.94939E-03
-6.96194E-08, -4.708794E-02, -1.277903E-02, 2.03369E-03
-6.96132E-08, -4.814180E-02, -1.341134E-02, 2.20231E-03
-6.96069E-08, -4.708794E-02, -1.351672E-02, 2.32877E-03
-6.96007E-08, -4.708794E-02, -1.383288E-02, 2.37093E-03
-6.95944E-08, -4.550716E-02, -1.404365E-02, 2.37093E-03
-6.95882E-08, -4.339945E-02, -1.435981E-02, 2.37093E-03
-6.95819E-08, -4.181866E-02, -1.446519E-02, 2.37093E-03
-6.95757E-08, -3.918403E-02, -1.435981E-02, 2.37093E-03
-6.95694E-08, -3.654939E-02, -1.457058E-02, 2.28662E-03
-6.95632E-08, -3.338782E-02, -1.446519E-02, 2.20231E-03
-6.95569E-08, -2.917239E-02, -1.435981E-02, 2.11800E-03
-6.95507E-08, -2.653776E-02, -1.414904E-02, 2.03369E-03
-6.95444E-08, -2.232233E-02, -1.383288E-02, 1.94939E-03
-6.95382E-08, -1.757998E-02, -1.372750E-02, 1.90723E-03
-6.95319E-08, -1.441841E-02, -1.320057E-02, 1.78077E-03
-6.95257E-08, -1.125685E-02, -1.267364E-02, 1.73861E-03
-6.95194E-08, -5.98757E-03, -1.193594E-02, 1.65431E-03
-6.95132E-08, -2.82600E-03, -1.151440E-02, 1.69646E-03
-6.95069E-08, 3.3557E-04, -1.088209E-02, 1.78077E-03
-6.95007E-08, 2.97021E-03, -1.014439E-02, 1.73861E-03
-6.94944E-08, 7.18563E-03, -9.40669E-03, 1.78077E-03
-6.94882E-08, 1.034720E-02, -8.66899E-03, 1.86508E-03
-6.94819E-08, 1.245491E-02, -7.93129E-03, 1.94939E-03
-6.94757E-08, 1.456262E-02, -7.29898E-03, 2.24446E-03
-6.94694E-08, 1.614340E-02, -6.45589E-03, 2.41308E-03
-6.94632E-08, 1.877804E-02, -5.71819E-03, 2.58170E-03
-6.94569E-08, 1.930497E-02, -5.08588E-03, 2.83462E-03
-6.94507E-08, 2.088575E-02, -4.45356E-03, 3.04540E-03
-6.94444E-08, 2.141268E-02, -4.03202E-03, 3.38263E-03
-6.94382E-08, 2.193961E-02, -3.61048E-03, 3.67771E-03
-6.94319E-08, 2.299346E-02, -3.29432E-03, 4.09925E-03
-6.94257E-08, 2.193961E-02, -2.97817E-03, 4.39433E-03
-6.94194E-08, 2.352039E-02, -2.87278E-03, 4.64726E-03
-6.94132E-08, 2.141268E-02, -2.87278E-03, 4.94234E-03
-6.94069E-08, 2.193961E-02, -2.97817E-03, 5.27957E-03
-6.94007E-08, 2.088575E-02, -3.29432E-03, 5.57465E-03
-6.93944E-08, 2.035883E-02, -3.61048E-03, 5.78542E-03
-6.93882E-08, 1.930497E-02, -4.03202E-03, 6.08050E-03
-6.93819E-08, 1.877804E-02, -4.76972E-03, 6.16481E-03
-6.93757E-08, 1.772419E-02, -5.50742E-03, 6.33342E-03
-6.93694E-08, 1.667033E-02, -6.35051E-03, 6.58635E-03
-6.93632E-08, 1.667033E-02, -7.08820E-03, 6.50204E-03
-6.93569E-08, 1.561647E-02, -8.03667E-03, 6.58635E-03
-6.93507E-08, 1.456262E-02, -9.19592E-03, 6.58635E-03
-6.93444E-08, 1.403569E-02, -1.024977E-02, 6.45989E-03
-6.93382E-08, 1.350876E-02, -1.130363E-02, 6.37558E-03
-6.93319E-08, 1.350876E-02, -1.235748E-02, 6.24912E-03
-6.93257E-08, 1.298183E-02, -1.362211E-02, 6.08050E-03
-6.93194E-08, 1.403569E-02, -1.467597E-02, 5.78542E-03
-6.93132E-08, 1.350876E-02, -1.562444E-02, 5.57465E-03
-6.93069E-08, 1.350876E-02, -1.678368E-02, 5.27957E-03
-6.93007E-08, 1.456262E-02, -1.752138E-02, 4.90018E-03
-6.92944E-08, 1.508955E-02, -1.815369E-02, 4.56295E-03
-6.92882E-08, 1.508955E-02, -1.889139E-02, 4.26787E-03
-6.92819E-08, 1.667033E-02, -1.941832E-02, 3.93063E-03
-6.92757E-08, 1.772419E-02, -1.983986E-02, 3.59340E-03
-6.92694E-08, 1.877804E-02, -1.994525E-02, 3.21401E-03
-6.92632E-08, 2.088575E-02, -2.026140E-02, 2.87678E-03
-6.92569E-08, 2.193961E-02, -2.005063E-02, 2.45524E-03
-6.92507E-08, 2.404732E-02, -1.983986E-02, 2.28662E-03
-6.92444E-08, 2.510118E-02, -1.952370E-02, 1.90723E-03
-6.92382E-08, 2.668196E-02, -1.910216E-02, 1.69646E-03
-6.92319E-08, 2.773582E-02, -1.846985E-02, 1.44353E-03
-6.92257E-08, 2.878967E-02, -1.773215E-02, 1.23276E-03
-6.92194E-08, 3.089738E-02, -1.667829E-02, 1.02199E-03
-6.92132E-08, 3.195124E-02, -1.572982E-02, 8.9553E-04
-6.92069E-08, 3.247816E-02, -1.467597E-02, 7.6907E-04
-6.92007E-08, 3.353202E-02, -1.351672E-02, 6.0045E-04
-6.91944E-08, 3.458588E-02, -1.235748E-02, 5.5830E-04
-6.91882E-08, 3.458588E-02, -1.109286E-02, 4.7399E-04
-6.91819E-08, 3.511281E-02, -9.82823E-03, 4.3183E-04
-6.91757E-08, 3.511281E-02, -8.45822E-03, 4.7399E-04
-6.91694E-08, 3.405895E-02, -7.50975E-03, 5.1614E-04
-6.91632E-08, 3.247816E-02, -5.92896E-03, 6.0045E-04
-6.91569E-08, 3.247816E-02, -4.76972E-03, 6.0045E-04
-6.91507E-08, 3.142431E-02, -3.82125E-03, 7.6907E-04
-6.91444E-08, 2.878967E-02, -2.76740E-03, 7.2691E-04
-6.91382E-08, 2.668196E-02, -1.71354E-03, 9.3768E-04
-6.91319E-08, 2.404732E-02, -8.7046E-04, 1.02199E-03
-6.91257E-08, 2.088575E-02, -2.3814E-04, 1.14845E-03
-6.91194E-08, 1.930497E-02, 4.9956E-04, 1.27492E-03
-6.91132E-08, 1.614340E-02, 1.02648E-03, 1.44353E-03
-6.91069E-08, 1.192798E-02, 1.44803E-03, 1.52784E-03
-6.91007E-08, 8.76641E-03, 1.76418E-03, 1.73861E-03
-6.90944E-08, 5.07792E-03, 2.18573E-03, 1.78077E-03
-6.90882E-08, 1.38942E-03, 2.29111E-03, 1.99154E-03
-6.90819E-08, -2.29907E-03, 2.50188E-03, 2.11800E-03
-6.90757E-08, -6.51450E-03, 2.29111E-03, 2.24446E-03
-6.90694E-08, -1.020299E-02, 2.39650E-03, 2.45524E-03
-6.90632E-08, -1.336456E-02, 2.18573E-03, 2.53954E-03
-6.90569E-08, -1.652613E-02, 1.97495E-03, 2.70816E-03
-6.90507E-08, -1.968769E-02, 1.76418E-03, 2.87678E-03
-6.90444E-08, -2.179541E-02, 1.65880E-03, 3.00324E-03
-6.90382E-08, -2.495697E-02, 1.13187E-03, 3.12970E-03
-6.90319E-08, -2.706468E-02, 9.2110E-04, 3.29832E-03
-6.90257E-08, -2.864547E-02, 3.9417E-04, 3.42478E-03
-6.90194E-08, -2.969932E-02, 3.9417E-04, 3.55125E-03
-6.90132E-08, -3.128011E-02, -2.737E-05, 3.67771E-03
-6.90069E-08, -3.128011E-02, -5.5430E-04, 3.71986E-03
-6.90007E-08, -3.233396E-02, -8.7046E-04, 3.80417E-03
-6.89944E-08, -3.180704E-02, -1.18661E-03, 3.88848E-03
-6.89882E-08, -3.075318E-02, -1.60815E-03, 4.01494E-03
-6.89819E-08, -3.022625E-02, -1.92431E-03, 3.97279E-03
-6.89757E-08, -2.969932E-02, -2.45124E-03, 4.09925E-03
-6.89694E-08, -2.706468E-02, -2.66201E-03, 4.14140E-03
-6.89632E-08, -2.548390E-02, -3.29432E-03, 4.14140E-03
-6.89569E-08, -2.337619E-02, -3.39971E-03, 4.09925E-03
-6.89507E-08, -2.074155E-02, -4.13741E-03, 4.18356E-03
-6.89444E-08, -1.863384E-02, -4.55895E-03, 4.09925E-03
-6.89382E-08, -1.599920E-02, -5.19126E-03, 4.09925E-03
-6.89319E-08, -1.441841E-02, -5.82358E-03, 4.09925E-03
-6.89257E-08, -1.125685E-02, -6.56128E-03, 4.01494E-03
-6.89194E-08, -9.67606E-03, -7.19359E-03, 3.97279E-03
-6.89132E-08, -7.56835E-03, -8.14206E-03, 3.88848E-03
-6.89069E-08, -5.46064E-03, -8.77437E-03, 3.80417E-03
-6.89007E-08, -3.35293E-03, -9.61746E-03, 3.63555E-03
-6.88944E-08, -1.77215E-03, -1.056593E-02, 3.59340E-03
-6.88882E-08, -1.9136E-04, -1.172517E-02, 3.50909E-03
-6.88819E-08, -1.9136E-04, -1.256825E-02, 3.29832E-03
-6.88757E-08, 8.6249E-04, -1.341134E-02, 3.17186E-03
-6.88694E-08, 1.91635E-03, -1.467597E-02, 2.96109E-03
-6.88632E-08, 2.44328E-03, -1.562444E-02, 2.83462E-03
-6.88569E-08, 2.97021E-03, -1.636213E-02, 2.62385E-03
-6.88507E-08, 2.44328E-03, -1.752138E-02, 2.41308E-03
-6.88444E-08, 2.44328E-03, -1.836446E-02, 2.24446E-03
-6.88382E-08, 1.91635E-03, -1.920754E-02, 2.03369E-03
-6.88319E-08, 1.91635E-03, -2.005063E-02, 1.86508E-03
-6.88257E-08, 1.91635E-03, -2.078833E-02, 1.65431E-03
-6.88194E-08, 1.91635E-03, -2.131526E-02, 1.44353E-03
-6.88132E-08, 3.3557E-04, -2.194757E-02, 1.27492E-03
-6.88069E-08, 1.38942E-03, -2.215834E-02, 9.7984E-04
-6.88007E-08, 1.38942E-03, -2.236911E-02, 7.6907E-04
-6.87944E-08, 1.38942E-03, -2.226373E-02, 5.1614E-04
-6.87882E-08, 8.6249E-04, -2.215834E-02, 3.8968E-04
-6.87819E-08, 1.38942E-03, -2.205296E-02, 1.3675E-04
-6.87757E-08, 2.44328E-03, -2.152603E-02, -7.402E-05
-6.87694E-08, 3.49713E-03, -2.110448E-02, -2.4263E-04
-6.87632E-08, 4.55099E-03, -2.026140E-02, -4.9556E-04
-6.87569E-08, 6.65870E-03, -1.920754E-02, -7.0633E-04
-6.87507E-08, 8.23948E-03, -1.846985E-02, -7.4849E-04
-6.87444E-08, 1.087412E-02, -1.741599E-02, -8.7495E-04
-6.87382E-08, 1.192798E-02, -1.615136E-02, -1.00141E-03
-6.87319E-08, 1.403569E-02, -1.509751E-02, -1.08572E-03
-6.87257E-08, 1.667033E-02, -1.383288E-02, -1.17003E-03
-6.87194E-08, 1.983190E-02, -1.246287E-02, -1.25434E-03
-6.87132E-08, 2.141268E-02, -1.119824E-02, -1.25434E-03
-6.87069E-08, 2.352039E-02, -9.72284E-03, -1.25434E-03
-6.87007E-08, 2.668196E-02, -8.45822E-03, -1.25434E-03
-6.86944E-08, 2.984353E-02, -7.19359E-03, -1.29649E-03
-6.86882E-08, 2.984353E-02, -5.92896E-03, -1.21218E-03
-6.86819E-08, 3.195124E-02, -4.76972E-03, -1.21218E-03
-6.86757E-08, 3.247816E-02, -4.03202E-03, -1.04357E-03
-6.86694E-08, 3.405895E-02, -3.18894E-03, -8.7495E-04
-6.86632E-08, 3.405895E-02, -2.34585E-03, -7.4849E-04
-6.86569E-08, 3.563973E-02, -1.81893E-03, -6.2202E-04
-6.86507E-08, 3.405895E-02, -1.29200E-03, -4.9556E-04
-6.86444E-08, 3.458588E-02, -9.7584E-04, -3.2694E-04
-6.86382E-08, 3.300510E-02, -8.7046E-04, -1.5833E-04
-6.86319E-08, 3.195124E-02, -8.7046E-04, 1.029E-05
-6.86257E-08, 2.984353E-02, -8.7046E-04, 1.3675E-04
-6.86194E-08, 2.878967E-02, -1.08123E-03, 3.0537E-04
-6.86132E-08, 2.615503E-02, -1.50277E-03, 4.7399E-04
-6.86069E-08, 2.352039E-02, -2.02970E-03, 6.0045E-04
-6.86007E-08, 2.193961E-02, -2.45124E-03, 7.6907E-04
-6.85944E-08, 1.877804E-02, -2.97817E-03, 8.5338E-04
-6.85882E-08, 1.561647E-02, -3.50509E-03, 9.7984E-04
