,Channel 2,Channel 3,Channel 4
Revision:           ,0,0,0
Type:               ,interpolation,interpolation,interpolation
Start:              ,0,0,0
Points:             ,32015,32015,32015
Count:              ,1,1,1
XDispRange:         ,2.00000E-07,2.00000E-07,2.00000E-07
XDispOrg:           ,-7.0000000000E-08,-7.0000000000E-08,-7.0000000000E-08
XInc:               ,6.250000E-12,6.250000E-12,6.250000E-12
XOrg:               ,-7.0053958024E-08,-7.0053958024E-08,-7.0053958024E-08
Units:              ,Second,Second,Second
XReference:         ,4,4,4
YDispRange:         ,8.00000E+00,1.60000E+00,6.40000E-01
YDispOrg:           ,-3.00000000000000E+00,-6.99999988079071E-01,2.95300006866455E-01
YInc:               ,1.31731969304383E-04,2.6346393497079E-05,1.0538557035034E-05
YOrg:               ,-2.88354070588684E+00,-6.76708141498989E-01,3.04616743078784E-01
Units:              ,Volt,Volt,Volt
YReference:         ,1,1,1
Frame:              ,MSO9254A:MY53310147,MSO9254A:MY53310147,MSO9254A:MY53310147
Date:               ,12 NOV 2024,12 NOV 2024,12 NOV 2024
Time:               ,10:07:07,10:07:07,10:07:07
Max Bandwidth:      ,2500000000,2500000000,2500000000
Min Bandwidth:      ,0,0,0
Time Tags (Channel 2),Channel 2,Channel 3,Channel 4
-7.00540E-08, -3.87986E-03, -1.3276E-04, 2.96109E-03
-7.00477E-08, -5.46064E-03, -2.3814E-04, 3.00324E-03
-7.00415E-08, -7.04142E-03, -2.3814E-04, 3.12970E-03
-7.00352E-08, -1.020299E-02, -6.5968E-04, 3.12970E-03
-7.00290E-08, -1.125685E-02, -8.7046E-04, 3.12970E-03
-7.00227E-08, -1.283763E-02, -1.29200E-03, 3.08755E-03
-7.00165E-08, -1.494534E-02, -1.71354E-03, 3.12970E-03
-7.00102E-08, -1.652613E-02, -2.34585E-03, 3.12970E-03
-7.00040E-08, -1.652613E-02, -2.66201E-03, 3.08755E-03
-6.99977E-08, -1.810691E-02, -3.29432E-03, 3.00324E-03
-6.99915E-08, -1.652613E-02, -3.71587E-03, 2.96109E-03
-6.99852E-08, -1.916077E-02, -4.45356E-03, 2.87678E-03
-6.99790E-08, -1.705305E-02, -5.08588E-03, 2.75032E-03
-6.99727E-08, -1.757998E-02, -5.50742E-03, 2.58170E-03
-6.99665E-08, -1.599920E-02, -6.24512E-03, 2.41308E-03
-6.99602E-08, -1.547227E-02, -6.87743E-03, 2.20231E-03
-6.99540E-08, -1.547227E-02, -7.61513E-03, 2.07585E-03
-6.99477E-08, -1.494534E-02, -8.24745E-03, 1.90723E-03
-6.99415E-08, -1.336456E-02, -8.87976E-03, 1.65431E-03
-6.99352E-08, -1.231070E-02, -9.61746E-03, 1.44353E-03
-6.99290E-08, -1.125685E-02, -1.014439E-02, 1.19061E-03
-6.99227E-08, -9.67606E-03, -1.056593E-02, 1.02199E-03
-6.99165E-08, -1.020299E-02, -1.130363E-02, 7.2691E-04
-6.99102E-08, -8.62221E-03, -1.140901E-02, 5.5830E-04
-6.99040E-08, -8.09528E-03, -1.172517E-02, 3.0537E-04
-6.98977E-08, -7.56835E-03, -1.214671E-02, 9.460E-05
-6.98915E-08, -7.04142E-03, -1.235748E-02, -3.186E-05
-6.98852E-08, -8.09528E-03, -1.235748E-02, -2.0048E-04
-6.98790E-08, -8.09528E-03, -1.246287E-02, -3.6910E-04
-6.98727E-08, -9.14914E-03, -1.267364E-02, -4.5341E-04
-6.98665E-08, -1.020299E-02, -1.246287E-02, -4.5341E-04
-6.98602E-08, -1.125685E-02, -1.256825E-02, -4.9556E-04
-6.98540E-08, -1.389149E-02, -1.214671E-02, -4.9556E-04
-6.98477E-08, -1.494534E-02, -1.193594E-02, -4.5341E-04
-6.98415E-08, -1.705305E-02, -1.161978E-02, -4.1125E-04
-6.98352E-08, -1.916077E-02, -1.130363E-02, -2.0048E-04
-6.98290E-08, -2.126848E-02, -1.088209E-02, -7.402E-05
-6.98227E-08, -2.390312E-02, -1.056593E-02, 1.7891E-04
-6.98165E-08, -2.653776E-02, -1.014439E-02, 3.4752E-04
-6.98102E-08, -2.917239E-02, -9.61746E-03, 7.2691E-04
-6.98040E-08, -3.022625E-02, -8.87976E-03, 1.02199E-03
-6.97977E-08, -3.233396E-02, -8.45822E-03, 1.35923E-03
-6.97915E-08, -3.391474E-02, -7.93129E-03, 1.78077E-03
-6.97852E-08, -3.391474E-02, -7.19359E-03, 2.11800E-03
-6.97790E-08, -3.496860E-02, -6.66666E-03, 2.53954E-03
-6.97727E-08, -3.549553E-02, -6.24512E-03, 2.91893E-03
-6.97665E-08, -3.496860E-02, -5.50742E-03, 3.29832E-03
-6.97602E-08, -3.549553E-02, -5.08588E-03, 3.71986E-03
-6.97540E-08, -3.444167E-02, -4.45356E-03, 4.14140E-03
-6.97477E-08, -3.286089E-02, -4.13741E-03, 4.39433E-03
-6.97415E-08, -3.022625E-02, -3.50509E-03, 4.68941E-03
-6.97352E-08, -2.811854E-02, -2.87278E-03, 5.02664E-03
-6.97290E-08, -2.495697E-02, -2.66201E-03, 5.27957E-03
-6.97227E-08, -2.179541E-02, -2.45124E-03, 5.44819E-03
-6.97165E-08, -1.916077E-02, -2.02970E-03, 5.65896E-03
-6.97102E-08, -1.547227E-02, -1.71354E-03, 5.82757E-03
-6.97040E-08, -1.072992E-02, -1.08123E-03, 5.78542E-03
-6.96977E-08, -7.04142E-03, -1.18661E-03, 5.91188E-03
-6.96915E-08, -2.82600E-03, -7.6507E-04, 5.86973E-03
-6.96852E-08, 1.38942E-03, -4.4891E-04, 5.74327E-03
-6.96790E-08, 5.60485E-03, -1.3276E-04, 5.57465E-03
-6.96727E-08, 9.82027E-03, -2.737E-05, 5.49034E-03
-6.96665E-08, 1.350876E-02, 3.9417E-04, 5.36388E-03
-6.96602E-08, 1.667033E-02, 4.9956E-04, 5.15311E-03
-6.96540E-08, 1.930497E-02, 6.0494E-04, 4.94234E-03
-6.96477E-08, 2.246654E-02, 1.02648E-03, 4.68941E-03
-6.96415E-08, 2.457425E-02, 1.34264E-03, 4.39433E-03
-6.96352E-08, 2.615503E-02, 1.55341E-03, 4.18356E-03
-6.96290E-08, 2.773582E-02, 1.76418E-03, 3.88848E-03
-6.96227E-08, 2.720889E-02, 1.86957E-03, 3.67771E-03
-6.96165E-08, 2.668196E-02, 2.18573E-03, 3.46694E-03
-6.96102E-08, 2.615503E-02, 2.39650E-03, 3.25617E-03
-6.96040E-08, 2.457425E-02, 2.60727E-03, 3.04540E-03
-6.95977E-08, 2.193961E-02, 2.81804E-03, 2.91893E-03
-6.95915E-08, 1.877804E-02, 3.13420E-03, 2.79247E-03
-6.95852E-08, 1.614340E-02, 3.45035E-03, 2.66601E-03
-6.95790E-08, 1.192798E-02, 3.76651E-03, 2.58170E-03
-6.95727E-08, 8.23948E-03, 3.87190E-03, 2.53954E-03
-6.95665E-08, 3.49713E-03, 4.18805E-03, 2.58170E-03
-6.95602E-08, -1.24522E-03, 4.08267E-03, 2.62385E-03
-6.95540E-08, -6.51450E-03, 4.18805E-03, 2.66601E-03
-6.95477E-08, -1.231070E-02, 4.39882E-03, 2.79247E-03
-6.95415E-08, -1.652613E-02, 4.39882E-03, 2.91893E-03
-6.95352E-08, -2.284926E-02, 4.39882E-03, 3.04540E-03
-6.95290E-08, -2.811854E-02, 4.39882E-03, 3.17186E-03
-6.95227E-08, -3.338782E-02, 4.18805E-03, 3.34047E-03
-6.95165E-08, -3.813017E-02, 3.97728E-03, 3.42478E-03
-6.95102E-08, -4.287252E-02, 3.76651E-03, 3.55125E-03
-6.95040E-08, -4.550716E-02, 3.55574E-03, 3.55125E-03
-6.94977E-08, -5.024951E-02, 3.13420E-03, 3.67771E-03
-6.94915E-08, -5.288415E-02, 2.81804E-03, 3.67771E-03
-6.94852E-08, -5.604572E-02, 2.18573E-03, 3.63555E-03
-6.94790E-08, -5.709957E-02, 1.76418E-03, 3.55125E-03
-6.94727E-08, -5.920728E-02, 1.23726E-03, 3.46694E-03
-6.94665E-08, -5.920728E-02, 6.0494E-04, 3.34047E-03
-6.94602E-08, -5.920728E-02, -1.3276E-04, 3.17186E-03
-6.94540E-08, -5.920728E-02, -9.7584E-04, 2.91893E-03
-6.94477E-08, -5.709957E-02, -1.60815E-03, 2.53954E-03
-6.94415E-08, -5.551879E-02, -2.55662E-03, 2.20231E-03
-6.94352E-08, -5.288415E-02, -3.18894E-03, 1.86508E-03
-6.94290E-08, -5.024951E-02, -4.03202E-03, 1.40138E-03
-6.94227E-08, -4.708794E-02, -4.87511E-03, 1.02199E-03
-6.94165E-08, -4.287252E-02, -5.71819E-03, 5.1614E-04
-6.94102E-08, -3.813017E-02, -6.56128E-03, 9.460E-05
-6.94040E-08, -3.233396E-02, -7.40436E-03, -4.5341E-04
-6.93977E-08, -2.759161E-02, -7.93129E-03, -8.7495E-04
-6.93915E-08, -2.126848E-02, -8.66899E-03, -1.33864E-03
-6.93852E-08, -1.547227E-02, -9.30130E-03, -1.84450E-03
-6.93790E-08, -9.67606E-03, -9.93362E-03, -2.22388E-03
-6.93727E-08, -3.87986E-03, -1.024977E-02, -2.56112E-03
-6.93665E-08, 2.44328E-03, -1.056593E-02, -2.89835E-03
-6.93602E-08, 8.76641E-03, -1.088209E-02, -3.15128E-03
-6.93540E-08, 1.456262E-02, -1.130363E-02, -3.31989E-03
-6.93477E-08, 1.983190E-02, -1.130363E-02, -3.40420E-03
-6.93415E-08, 2.615503E-02, -1.119824E-02, -3.44636E-03
-6.93352E-08, 3.037046E-02, -1.119824E-02, -3.40420E-03
-6.93290E-08, 3.616666E-02, -1.098747E-02, -3.36205E-03
-6.93227E-08, 4.038208E-02, -1.056593E-02, -3.23559E-03
-6.93165E-08, 4.248980E-02, -1.003900E-02, -2.85620E-03
-6.93102E-08, 4.670522E-02, -9.40669E-03, -2.60327E-03
-6.93040E-08, 5.039372E-02, -8.77437E-03, -2.30819E-03
-6.92977E-08, 5.144757E-02, -8.03667E-03, -1.92880E-03
-6.92915E-08, 5.355528E-02, -7.40436E-03, -1.42295E-03
-6.92852E-08, 5.408221E-02, -6.45589E-03, -9.5926E-04
-6.92790E-08, 5.460914E-02, -5.50742E-03, -4.9556E-04
-6.92727E-08, 5.355528E-02, -4.45356E-03, 9.460E-05
-6.92665E-08, 5.355528E-02, -3.39971E-03, 6.0045E-04
-6.92602E-08, 5.144757E-02, -2.45124E-03, 1.19061E-03
-6.92540E-08, 4.881293E-02, -1.18661E-03, 1.65431E-03
-6.92477E-08, 4.670522E-02, -2.3814E-04, 2.11800E-03
-6.92415E-08, 4.301672E-02, 9.2110E-04, 2.53954E-03
-6.92352E-08, 3.880130E-02, 1.76418E-03, 2.96109E-03
-6.92290E-08, 3.511281E-02, 2.92343E-03, 3.38263E-03
-6.92227E-08, 2.984353E-02, 3.55574E-03, 3.59340E-03
-6.92165E-08, 2.510118E-02, 4.39882E-03, 3.93063E-03
-6.92102E-08, 2.035883E-02, 4.92575E-03, 4.09925E-03
-6.92040E-08, 1.561647E-02, 5.66345E-03, 4.09925E-03
-6.91977E-08, 1.087412E-02, 6.29576E-03, 4.26787E-03
-6.91915E-08, 5.60485E-03, 6.61192E-03, 4.18356E-03
-6.91852E-08, 8.6249E-04, 6.92808E-03, 4.05710E-03
-6.91790E-08, -3.35293E-03, 6.92808E-03, 3.88848E-03
-6.91727E-08, -7.56835E-03, 6.82269E-03, 3.71986E-03
-6.91665E-08, -1.231070E-02, 6.82269E-03, 3.46694E-03
-6.91602E-08, -1.547227E-02, 6.50653E-03, 3.17186E-03
-6.91540E-08, -1.810691E-02, 6.08499E-03, 2.91893E-03
-6.91477E-08, -2.179541E-02, 5.66345E-03, 2.53954E-03
-6.91415E-08, -2.337619E-02, 5.03114E-03, 2.11800E-03
-6.91352E-08, -2.495697E-02, 4.29344E-03, 1.82292E-03
-6.91290E-08, -2.601083E-02, 3.55574E-03, 1.44353E-03
-6.91227E-08, -2.653776E-02, 2.60727E-03, 1.06415E-03
-6.91165E-08, -2.706468E-02, 1.76418E-03, 8.1122E-04
-6.91102E-08, -2.653776E-02, 7.1033E-04, 5.5830E-04
-6.91040E-08, -2.495697E-02, -3.4353E-04, 2.2106E-04
-6.90977E-08, -2.390312E-02, -1.29200E-03, 9.460E-05
-6.90915E-08, -2.232233E-02, -2.45124E-03, -1.1617E-04
-6.90852E-08, -1.968769E-02, -3.29432E-03, -2.8479E-04
-6.90790E-08, -1.705305E-02, -4.34818E-03, -4.1125E-04
-6.90727E-08, -1.441841E-02, -5.50742E-03, -4.1125E-04
-6.90665E-08, -1.125685E-02, -6.45589E-03, -2.8479E-04
-6.90602E-08, -9.14914E-03, -7.50975E-03, -2.4263E-04
-6.90540E-08, -7.04142E-03, -8.45822E-03, -7.402E-05
-6.90477E-08, -3.35293E-03, -9.40669E-03, 5.244E-05
-6.90415E-08, -7.1829E-04, -1.024977E-02, 2.6322E-04
-6.90352E-08, 8.6249E-04, -1.088209E-02, 5.5830E-04
-6.90290E-08, 2.97021E-03, -1.161978E-02, 7.6907E-04
-6.90227E-08, 4.02406E-03, -1.246287E-02, 1.06415E-03
-6.90165E-08, 4.55099E-03, -1.277903E-02, 1.31707E-03
-6.90102E-08, 5.60485E-03, -1.372750E-02, 1.73861E-03
-6.90040E-08, 6.65870E-03, -1.393827E-02, 1.99154E-03
-6.89977E-08, 4.55099E-03, -1.457058E-02, 2.37093E-03
-6.89915E-08, 2.97021E-03, -1.509751E-02, 2.62385E-03
-6.89852E-08, 1.91635E-03, -1.520289E-02, 2.87678E-03
-6.89790E-08, -1.9136E-04, -1.551905E-02, 3.04540E-03
-6.89727E-08, -2.29907E-03, -1.604598E-02, 3.34047E-03
-6.89665E-08, -5.46064E-03, -1.604598E-02, 3.50909E-03
-6.89602E-08, -8.62221E-03, -1.646752E-02, 3.63555E-03
-6.89540E-08, -1.336456E-02, -1.688906E-02, 3.71986E-03
-6.89477E-08, -1.652613E-02, -1.688906E-02, 3.88848E-03
-6.89415E-08, -2.126848E-02, -1.720522E-02, 3.88848E-03
-6.89352E-08, -2.495697E-02, -1.731060E-02, 3.97279E-03
-6.89290E-08, -2.917239E-02, -1.741599E-02, 3.93063E-03
-6.89227E-08, -3.338782E-02, -1.762676E-02, 3.93063E-03
-6.89165E-08, -3.707631E-02, -1.741599E-02, 3.80417E-03
-6.89102E-08, -4.076481E-02, -1.741599E-02, 3.76202E-03
-6.89040E-08, -4.339945E-02, -1.741599E-02, 3.63555E-03
-6.88977E-08, -4.708794E-02, -1.783753E-02, 3.63555E-03
-6.88915E-08, -4.919565E-02, -1.762676E-02, 3.55125E-03
-6.88852E-08, -5.077644E-02, -1.752138E-02, 3.46694E-03
-6.88790E-08, -5.288415E-02, -1.720522E-02, 3.46694E-03
-6.88727E-08, -5.341108E-02, -1.720522E-02, 3.38263E-03
-6.88665E-08, -5.235722E-02, -1.688906E-02, 3.34047E-03
-6.88602E-08, -5.341108E-02, -1.636213E-02, 3.42478E-03
-6.88540E-08, -5.235722E-02, -1.594059E-02, 3.55125E-03
-6.88477E-08, -5.024951E-02, -1.551905E-02, 3.55125E-03
-6.88415E-08, -4.866873E-02, -1.509751E-02, 3.63555E-03
-6.88352E-08, -4.498023E-02, -1.446519E-02, 3.88848E-03
-6.88290E-08, -4.129174E-02, -1.393827E-02, 4.01494E-03
-6.88227E-08, -3.865710E-02, -1.320057E-02, 4.26787E-03
-6.88165E-08, -3.444167E-02, -1.235748E-02, 4.47864E-03
-6.88102E-08, -2.969932E-02, -1.172517E-02, 4.77372E-03
-6.88040E-08, -2.495697E-02, -1.067131E-02, 5.02664E-03
-6.87977E-08, -2.021462E-02, -9.93362E-03, 5.32172E-03
-6.87915E-08, -1.599920E-02, -9.09053E-03, 5.65896E-03
-6.87852E-08, -1.125685E-02, -8.03667E-03, 5.86973E-03
-6.87790E-08, -5.46064E-03, -7.29898E-03, 6.16481E-03
-6.87727E-08, -1.24522E-03, -6.35051E-03, 6.45989E-03
-6.87665E-08, 2.97021E-03, -5.61281E-03, 6.67066E-03
-6.87602E-08, 6.65870E-03, -4.76972E-03, 6.88143E-03
-6.87540E-08, 1.034720E-02, -3.82125E-03, 7.00789E-03
-6.87477E-08, 1.456262E-02, -2.97817E-03, 7.09220E-03
-6.87415E-08, 1.772419E-02, -2.45124E-03, 7.21866E-03
-6.87352E-08, 2.035883E-02, -1.71354E-03, 7.26082E-03
-6.87290E-08, 2.193961E-02, -1.08123E-03, 7.17651E-03
-6.87227E-08, 2.352039E-02, -5.5430E-04, 7.17651E-03
-6.87165E-08, 2.457425E-02, -2.3814E-04, 7.00789E-03
-6.87102E-08, 2.615503E-02, 1.8340E-04, 6.79712E-03
-6.87040E-08, 2.668196E-02, 4.9956E-04, 6.45989E-03
-6.86977E-08, 2.457425E-02, 4.9956E-04, 6.16481E-03
-6.86915E-08, 2.457425E-02, 7.1033E-04, 5.91188E-03
-6.86852E-08, 2.299346E-02, 7.1033E-04, 5.40603E-03
-6.86790E-08, 2.246654E-02, 6.0494E-04, 4.98449E-03
-6.86727E-08, 2.088575E-02, 2.8879E-04, 4.43648E-03
-6.86665E-08, 1.825111E-02, 7.801E-05, 3.93063E-03
-6.86602E-08, 1.614340E-02, -3.4353E-04, 3.42478E-03
-6.86540E-08, 1.561647E-02, -8.7046E-04, 2.91893E-03
-6.86477E-08, 1.245491E-02, -1.29200E-03, 2.45524E-03
-6.86415E-08, 1.034720E-02, -1.71354E-03, 1.86508E-03
-6.86352E-08, 8.23948E-03, -2.45124E-03, 1.40138E-03
-6.86290E-08, 6.13177E-03, -2.97817E-03, 8.5338E-04
-6.86227E-08, 3.49713E-03, -3.82125E-03, 4.7399E-04
-6.86165E-08, 1.38942E-03, -4.45356E-03, 1.029E-05
-6.86102E-08, -7.1829E-04, -5.29665E-03, -3.2694E-04
-6.86040E-08, -1.77215E-03, -5.82358E-03, -7.4849E-04
-6.85977E-08, -3.87986E-03, -6.56128E-03, -9.1710E-04
-6.85915E-08, -4.93371E-03, -7.19359E-03, -1.08572E-03
-6.85852E-08, -5.98757E-03, -7.50975E-03, -1.29649E-03
-6.85790E-08, -6.51450E-03, -8.14206E-03, -1.42295E-03
-6.85727E-08, -8.09528E-03, -8.45822E-03, -1.42295E-03
