MetaData,Height,Sig X,Sig Y,average sig,avg both sig,diff 
"Aperture wide open, collimator fully right",11583,2.123304501,2.972626301,2.547965401,5.095930802,2.547965401
,11683,5.095930802,5.095930802,5.095930802,,
,11483,4.671269902,5.520591702,5.095930802,,
"Aperture wide open, collimator 1 turn left",11263,2.123304501,2.547965401,2.335634951,4.777435127,2.441800176
,11363,5.945252602,5.095930802,5.520591702,,
,11163,3.397287201,4.671269902,4.034278551,,
"Aperture wide open, collimator 2 turns left",10943,2.123304501,2.547965401,2.335634951,4.565104677,2.229469726
,11043,6.369913502,5.095930802,5.732922152,,
,10843,2.972626301,3.821948101,3.397287201,,
"Aperture wide open, collimator fully left",10473,2.149221846,2.972626301,2.560924074,4.777435127,2.216511053
,10573,6.369913502,5.095930802,5.732922152,,
,10373,3.397287201,4.246609001,3.821948101,,
,,,,,,
,,,,,,
"Collimator fully left, Aperture Fully Open",10473,,,,,
,10573,,,,,
,10373,,,,,
